Vicon Pose Position (t_x);t_y;t_z;Vicon Pose Quat (q_w);q_x;q_y;q_z;EKF Pose Position (t_x);t_y;t_z;EKF Pose Quat (q_w);q_x;q_y;q_z;
-0.152335;-0.454527;1.27913;0.666364;-0.0194059;0.0269951;-0.744885;0;0;0;0;0;0;0;
-0.15404;-0.454961;1.27825;0.665857;-0.0201476;0.0276304;-0.745295;0;0;0;0;0;0;0;
-0.155641;-0.45537;1.27811;0.666381;-0.0192577;0.0272799;-0.744864;0.137682;0.834885;1.28518;-0.804867;-0.0220464;-0.0120758;0.592923;
-0.156133;-0.456116;1.27835;0.66864;-0.0191663;0.0267253;-0.742859;0.130182;0.815968;1.28521;-0.80723;-0.0225878;-0.0124006;0.589675;
-0.156149;-0.45613;1.27837;0.668858;-0.0178161;0.0261356;-0.742717;0.12352;0.795789;1.28528;-0.811481;-0.0224513;-0.0119692;0.583825;
-0.157129;-0.457527;1.27874;0.672085;-0.0170744;0.0246029;-0.739868;0.12352;0.795789;1.28528;-0.811481;-0.0224513;-0.0119692;0.583825;
-0.157181;-0.45762;1.27877;0.672204;-0.0170594;0.0244099;-0.739767;0.11814;0.774927;1.28543;-0.816394;-0.0234161;-0.0107561;0.57692;
-0.15739;-0.459741;1.27924;0.681712;-0.0191756;0.0226802;-0.731018;0.11814;0.774927;1.28543;-0.816394;-0.0234161;-0.0107561;0.57692;
-0.15741;-0.459823;1.27922;0.682546;-0.0193687;0.0230358;-0.730223;0.117165;0.754372;1.28413;-0.826392;-0.0217758;-0.0103242;0.562579;
-0.155067;-0.462072;1.27876;0.706924;-0.0227992;0.0282753;-0.706356;0.117165;0.754372;1.28413;-0.826392;-0.0217758;-0.0103242;0.562579;
-0.154892;-0.462122;1.27873;0.708397;-0.0229675;0.0284335;-0.704867;0.122788;0.739159;1.28207;-0.848844;-0.0166067;-0.0173158;0.528099;
-0.148216;-0.460782;1.27743;0.756609;-0.0293542;0.0282932;-0.652596;0.122788;0.739159;1.28207;-0.848844;-0.0166067;-0.0173158;0.528099;
-0.147756;-0.460695;1.27725;0.75901;-0.0302073;0.0285747;-0.64975;0.136892;0.731814;1.27726;-0.887998;-0.00758997;-0.0206398;0.45932;
-0.132341;-0.458159;1.27221;0.810319;-0.0354322;0.0332483;-0.583971;0.136892;0.731814;1.27726;-0.887998;-0.00758997;-0.0206398;0.45932;
-0.131309;-0.457791;1.27208;0.813257;-0.0363927;0.0333345;-0.579808;0.162519;0.740336;1.27213;-0.926611;-0.000125292;-0.0302624;0.374801;
-0.0934006;-0.442771;1.26918;0.872547;-0.0458908;0.0193927;-0.485983;0.162519;0.740336;1.27213;-0.926611;-0.000125292;-0.0302624;0.374801;
-0.0365677;-0.417231;1.2675;0.927248;-0.0349799;0.00545052;-0.37277;0.207002;0.776504;1.27137;-0.965246;0.00825278;-0.0200708;0.260441;
0.00985676;-0.384735;1.27569;0.965422;-0.0454259;0.000299757;-0.256705;0.24173;0.822517;1.27404;-0.990582;-0.00147068;-0.0205172;0.135369;
0.0426217;-0.359258;1.28142;0.987323;-0.0419252;0.00208682;-0.153075;0.259644;0.861157;1.28169;-0.999745;0.00823617;-0.0173454;0.0118594;
0.0435754;-0.35843;1.2814;0.987934;-0.0425197;0.00144995;-0.148915;0.264358;0.881353;1.28214;-0.994972;0.0136353;-0.022813;-0.096562;
0.0575276;-0.346837;1.28189;0.995085;-0.0496218;-0.00243503;-0.0856542;0.264358;0.881353;1.28214;-0.994972;0.0136353;-0.022813;-0.096562;
0.0581347;-0.346709;1.28199;0.995238;-0.049342;-0.00275798;-0.0840176;0.273194;0.880011;1.28042;-0.986294;0.0207025;-0.021152;-0.16232;
0.0743477;-0.344695;1.27959;0.997429;-0.0381144;-0.00391616;-0.0605534;0.273194;0.880011;1.28042;-0.986294;0.0207025;-0.021152;-0.16232;
0.0752228;-0.344824;1.27939;0.997443;-0.0379463;-0.00368511;-0.0604467;0.297478;0.870541;1.27244;-0.982017;0.0103466;-0.0231226;-0.187086;
0.107796;-0.3495;1.27269;0.997935;-0.0454768;-0.00261404;-0.0452858;0.297478;0.870541;1.27244;-0.982017;0.0103466;-0.0231226;-0.187086;
0.109888;-0.349438;1.27236;0.997983;-0.0449142;-0.00284332;-0.0447692;0.351002;0.876209;1.26561;-0.978015;0.0168678;-0.0237006;-0.206496;
0.179675;-0.346397;1.26898;0.998645;-0.033909;-0.00603952;-0.0390155;0.351002;0.876209;1.26561;-0.978015;0.0168678;-0.0237006;-0.206496;
0.183625;-0.34624;1.26885;0.998631;-0.0343735;-0.00701255;-0.0388031;0.447297;0.904534;1.26535;-0.976349;0.00599773;-0.0196638;-0.215222;
0.297183;-0.339732;1.2663;0.997802;-0.037679;-0.0346579;-0.0420691;0.447297;0.904534;1.26535;-0.976349;0.00599773;-0.0196638;-0.215222;
0.303158;-0.339532;1.26652;0.997757;-0.0382976;-0.0355261;-0.0418642;0.578957;0.952842;1.27615;-0.976338;0.00602439;0.00907445;-0.215978;
0.437706;-0.331486;1.28524;0.997501;-0.0332599;-0.0257222;-0.0567766;0.578957;0.952842;1.27615;-0.976338;0.00602439;0.00907445;-0.215978;
0.443399;-0.331319;1.28638;0.997484;-0.0332856;-0.0265683;-0.0566792;0.710288;0.997274;1.3014;-0.97846;0.00242961;0.000797794;-0.20642;
0.579142;-0.334839;1.29736;0.996722;-0.0392538;-0.0450439;-0.0545413;0.710288;0.997274;1.3014;-0.97846;0.00242961;0.000797794;-0.20642;
