Vicon Pose Position (t_x);t_y;t_z;Vicon Pose Quat (q_w);q_x;q_y;q_z
0.576864;-0.608346;1.08107;0.703264;0.00211319;0.0126558;0.710813
0.580318;-0.609287;1.08002;0.703818;0.00307178;0.0112931;0.710284
0.584196;-0.610487;1.07886;0.704649;0.0020982;0.0121115;0.709449
0.59202;-0.612346;1.07632;0.705787;0.00291342;0.0124701;0.708308
0.59629;-0.613166;1.07506;0.706285;0.00292805;0.0121951;0.707817
0.600641;-0.613892;1.0736;0.706623;0.00317695;0.0125125;0.707473
0.604997;-0.614583;1.07229;0.7071;0.0034614;0.0130346;0.706985
0.614302;-0.615574;1.06929;0.707788;0.00432193;0.0137689;0.706278
0.619069;-0.615948;1.06787;0.707796;0.00424954;0.0147856;0.70625
0.623919;-0.616183;1.06638;0.70855;0.00477948;0.0148421;0.705488
0.62887;-0.616257;1.06497;0.708453;0.00510469;0.016137;0.705555
0.633986;-0.616186;1.06378;0.70876;0.00495647;0.0159914;0.705251
0.644453;-0.615794;1.06132;0.708741;0.00524919;0.0174092;0.705235
0.650017;-0.615341;1.06037;0.708593;0.00552906;0.0173009;0.705383
0.655734;-0.614884;1.0595;0.708278;0.00515684;0.0178725;0.705688
0.661647;-0.614397;1.05878;0.707824;0.00501128;0.017983;0.706142
0.667506;-0.613877;1.05814;0.707584;0.00421823;0.0190562;0.706359
0.67361;-0.613237;1.05779;0.706977;0.00369419;0.0197158;0.706952
0.685967;-0.612407;1.05741;0.706833;0.00150933;0.021486;0.707053
0.69233;-0.61216;1.05758;0.70683;0.000464276;0.0216878;0.707051
0.69868;-0.611934;1.05785;0.706798;-0.000807254;0.0225432;0.707056
0.705236;-0.612045;1.05837;0.707203;-0.00170864;0.0222919;0.706657
0.711452;-0.612003;1.05886;0.707305;-0.00245505;0.0228468;0.706535
0.724242;-0.612675;1.06054;0.708184;-0.00374709;0.0221753;0.705669
0.730504;-0.61323;1.06156;0.709191;-0.00387768;0.0212921;0.704684
0.736936;-0.614047;1.06272;0.710112;-0.00403545;0.0205089;0.703778
0.742976;-0.614826;1.06396;0.71145;-0.00403987;0.0196019;0.702451
0.755074;-0.616507;1.0666;0.713336;-0.002309;0.0172474;0.700606
0.760954;-0.617302;1.06795;0.71468;-0.0015244;0.0161511;0.699263
0.766795;-0.618142;1.06941;0.715796;-0.000151796;0.0149774;0.698149
0.772707;-0.618945;1.07086;0.716751;0.000730189;0.01459;0.697176
0.778421;-0.619622;1.07269;0.717688;0.00153916;0.0135707;0.696231
0.784231;-0.620265;1.07448;0.718697;0.00258338;0.0126748;0.695203
0.795536;-0.621351;1.07861;0.72044;0.00299475;0.0109393;0.693425
0.801224;-0.621763;1.08095;0.721141;0.00335271;0.0100299;0.692708
0.806846;-0.622038;1.08349;0.721813;0.00325656;0.00913468;0.69202
0.812543;-0.622229;1.0862;0.722287;0.00303294;0.0078495;0.691543
0.818151;-0.622413;1.08906;0.72266;0.00175723;0.00682974;0.691168
0.829423;-0.622601;1.09501;0.723342;-0.000417566;0.0034439;0.690482
0.83502;-0.622653;1.0981;0.723659;-0.00177173;0.00211206;0.690152
0.84059;-0.622748;1.10114;0.723808;-0.00363046;0.00145758;0.689991
0.846062;-0.622777;1.10416;0.724215;-0.00427223;-0.000800281;0.68956
0.85668;-0.622913;1.1098;0.724655;-0.00766765;-0.00299995;0.689062
0.861899;-0.623073;1.11239;0.724871;-0.00843235;-0.00407888;0.688821
0.867111;-0.623193;1.11483;0.724921;-0.00949354;-0.0047906;0.68875
0.872139;-0.623385;1.11711;0.725232;-0.0100585;-0.00581742;0.688407
0.877213;-0.623635;1.11923;0.725554;-0.0107099;-0.00672043;0.688049
0.882234;-0.623975;1.12115;0.726017;-0.0107749;-0.00753495;0.687551
0.892376;-0.624512;1.12446;0.726408;-0.0112417;-0.00838158;0.687121
0.89756;-0.624764;1.12601;0.726579;-0.0107517;-0.00899938;0.68694
0.902719;-0.625012;1.12734;0.727027;-0.0108796;-0.0100614;0.686449
0.908008;-0.62526;1.12867;0.727135;-0.011393;-0.010657;0.686317
0.913316;-0.625419;1.12988;0.727473;-0.0114624;-0.0117171;0.685941
0.924349;-0.625765;1.1319;0.727812;-0.012236;-0.0122095;0.685559
