time (NSec);Turtlebot Base Quaternion (q_w);q_x;q_y;q_z;Turtlebot Base Position (t_x);t_y;t_z;
1560339600874201707;-0.395849;-0.0100802;0.0158771;0.918123;0.554902;2.96236;0.109688;
1560339600882640347;-0.395897;-0.0101723;0.0158532;0.918102;0.554914;2.96237;0.109692;
1560339600890895866;-0.395878;-0.0101878;0.0158616;0.91811;0.554908;2.96237;0.109698;
1560339600907585588;-0.395869;-0.0101774;0.0158932;0.918113;0.554911;2.96237;0.109694;
1560339600916050748;-0.395875;-0.0101901;0.0158365;0.918111;0.554905;2.96237;0.109682;
1560339600924375877;-0.39588;-0.0101683;0.0158414;0.918109;0.554908;2.96236;0.109684;
1560339600932698876;-0.395892;-0.0101732;0.0158617;0.918104;0.554909;2.96237;0.109694;
1560339600940991672;-0.395909;-0.010131;0.0159528;0.918095;0.554923;2.96238;0.109711;
1560339600957710796;-0.395864;-0.0101449;0.0158419;0.918116;0.554908;2.96236;0.109682;
1560339600966065995;-0.395863;-0.0101853;0.0159022;0.918115;0.554909;2.96237;0.1097;
1560339600974174612;-0.395922;-0.0101751;0.0158482;0.918091;0.55492;2.96237;0.109684;
1560339600982760537;-0.395897;-0.0101786;0.0159315;0.9181;0.554906;2.96238;0.109703;
1560339600990958151;-0.395837;-0.0101039;0.015883;0.918128;0.554903;2.96236;0.109684;
1560339601007763528;-0.395915;-0.0102309;0.0158896;0.918093;0.554921;2.96238;0.109701;
1560339601016063644;-0.39591;-0.0101475;0.0158801;0.918096;0.554906;2.96237;0.109693;
1560339601024354038;-0.395862;-0.0102121;0.0158527;0.918116;0.554905;2.96237;0.109695;
1560339601032658929;-0.395893;-0.0101806;0.0158933;0.918102;0.554903;2.96237;0.109701;
1560339601041140769;-0.395926;-0.0102075;0.0158909;0.918088;0.554926;2.96237;0.10971;
1560339601057513979;-0.395897;-0.0102126;0.0158032;0.918102;0.554913;2.96237;0.109686;
1560339601066059688;-0.395871;-0.0101788;0.0158206;0.918113;0.554899;2.96236;0.109688;
1560339601074326541;-0.395891;-0.0101905;0.0158269;0.918104;0.554904;2.96237;0.109689;
1560339601082700118;-0.395915;-0.0102344;0.0158718;0.918093;0.554908;2.96237;0.109697;
1560339601091063254;-0.395851;-0.0101184;0.0158384;0.918122;0.554902;2.96237;0.109683;
1560339601107542640;-0.395717;-0.0100998;0.0156575;0.918183;0.554846;2.96235;0.109653;
1560339601115831332;-0.395778;-0.0101596;0.015753;0.918155;0.554854;2.96237;0.109679;
1560339601124265413;-0.395892;-0.0102326;0.0158824;0.918103;0.554916;2.96237;0.109701;
1560339601132651964;-0.395888;-0.0101422;0.0158446;0.918106;0.554909;2.96237;0.10968;
1560339601140953109;-0.395865;-0.010122;0.0159345;0.918115;0.554907;2.96237;0.109698;
1560339601157664886;-0.395869;-0.0101222;0.0158734;0.918114;0.554897;2.96237;0.109683;
1560339601166011460;-0.395881;-0.0100786;0.0158528;0.91811;0.554912;2.96236;0.109678;
1560339601174101895;-0.395849;-0.010147;0.0159025;0.918122;0.554901;2.96237;0.109697;
1560339601182636776;-0.395742;-0.0101124;0.0156571;0.918172;0.554846;2.96236;0.109653;
1560339601190974799;-0.395872;-0.0101879;0.0158609;0.918112;0.554904;2.96237;0.109694;
1560339601207694387;-0.395835;-0.0101501;0.0158592;0.918129;0.554902;2.96236;0.10969;
1560339601216003139;-0.395862;-0.010149;0.0159285;0.918116;0.55491;2.96236;0.109698;
1560339601224322367;-0.39585;-0.010185;0.0158574;0.918122;0.554895;2.96236;0.109693;
1560339601232690807;-0.395726;-0.0101027;0.0156527;0.91818;0.554841;2.96235;0.109651;
1560339601240954528;-0.395866;-0.0101731;0.0158484;0.918115;0.554897;2.96236;0.109682;
1560339601257727396;-0.395904;-0.0101521;0.0158246;0.918099;0.554915;2.96238;0.109689;
1560339601266052145;-0.395835;-0.0101037;0.0158752;0.918129;0.55491;2.96236;0.109684;
1560339601274169379;-0.395891;-0.0101772;0.0159324;0.918103;0.554907;2.96237;0.109705;
1560339601282716692;-0.395908;-0.0101648;0.0158925;0.918096;0.554914;2.96237;0.109686;
1560339601290920734;-0.395881;-0.0101961;0.0158242;0.918109;0.554904;2.96237;0.109683;
1560339601299183686;-0.395832;-0.0100936;0.0158821;0.91813;0.554895;2.96236;0.109679;
1560339601315996671;-0.395725;-0.0100741;0.0156425;0.91818;0.554843;2.96235;0.109639;
1560339601324243187;-0.395872;-0.0101721;0.0158779;0.918112;0.554897;2.96237;0.109693;
1560339601332640522;-0.395882;-0.0101608;0.0158153;0.918109;0.554904;2.96237;0.10968;
1560339601340985778;-0.395829;-0.0101852;0.0158081;0.918132;0.554896;2.96237;0.10968;
1560339601349465598;-0.395847;-0.0101192;0.0158853;0.918123;0.554898;2.96236;0.109693;
1560339601366034705;-0.39584;-0.0101525;0.0157915;0.918128;0.554894;2.96236;0.10968;
1560339601374183117;-0.395885;-0.0101852;0.0158918;0.918106;0.554903;2.96237;0.109697;
1560339601382691822;-0.395884;-0.010117;0.0159328;0.918107;0.554891;2.96237;0.109708;
1560339601390997046;-0.395947;-0.0102642;0.0159747;0.918077;0.554898;2.96239;0.109721;
1560339601407563885;-0.395895;-0.0101806;0.0157797;0.918104;0.554902;2.96237;0.109671;
1560339601416081824;-0.395871;-0.0101273;0.0157494;0.918115;0.55491;2.96237;0.109663;
1560339601424362716;-0.395863;-0.010119;0.0159226;0.918116;0.554892;2.96237;0.109692;
1560339601432703440;-0.395885;-0.0101612;0.0158982;0.918106;0.554909;2.96237;0.109696;
1560339601440971791;-0.395842;-0.0101286;0.0158687;0.918126;0.554903;2.96237;0.109687;
1560339601449329123;-0.395831;-0.010077;0.0158953;0.91813;0.554902;2.96236;0.109686;
1560339601465992928;-0.395887;-0.0101409;0.0158937;0.918106;0.554902;2.96237;0.109688;
1560339601474165937;-0.395936;-0.0102047;0.0158935;0.918084;0.55491;2.96239;0.109696;
1560339601482579884;-0.395905;-0.0101188;0.015891;0.918098;0.554916;2.96237;0.109684;
1560339601490975585;-0.395905;-0.0101767;0.0159313;0.918097;0.554909;2.96238;0.109693;
1560339601507700188;-0.395874;-0.0101335;0.015871;0.918112;0.554919;2.96236;0.109678;
1560339601515954777;-0.395845;-0.0100836;0.0158337;0.918125;0.554899;2.96236;0.109669;
1560339601524343731;-0.395852;-0.0101937;0.0157453;0.918123;0.554908;2.96236;0.10967;
1560339601532656262;-0.395874;-0.0101972;0.0158671;0.918111;0.554906;2.96237;0.109698;
1560339601540968211;-0.395863;-0.0101606;0.0158576;0.918117;0.554895;2.96237;0.109701;
1560339601557700587;-0.395883;-0.0102049;0.0158178;0.918108;0.554892;2.96237;0.109684;
1560339601566145647;-0.395901;-0.0101689;0.0158966;0.918099;0.554898;2.96237;0.109694;
1560339601574199537;-0.395858;-0.010112;0.0158563;0.918119;0.554893;2.96236;0.109682;
1560339601582725086;-0.395827;-0.0101449;0.0158123;0.918133;0.554894;2.96236;0.109677;
1560339601591018658;-0.395831;-0.010141;0.0157835;0.918132;0.554891;2.96236;0.109673;
1560339601607706320;-0.395911;-0.0100836;0.0158363;0.918097;0.55491;2.96237;0.109683;
1560339601616028802;-0.395837;-0.0101022;0.0158863;0.918128;0.554897;2.96236;0.109693;
1560339601624401939;-0.395844;-0.0101368;0.0158599;0.918125;0.554903;2.96237;0.109697;
1560339601632742429;-0.395883;-0.0100663;0.0159666;0.918107;0.554902;2.96238;0.109706;
1560339601641007580;-0.395899;-0.0101364;0.0158615;0.918101;0.554913;2.96237;0.109691;
1560339601657741832;-0.395871;-0.0101621;0.0158841;0.918112;0.554912;2.96236;0.109679;
1560339601666094786;-0.395863;-0.0101674;0.0159547;0.918114;0.554898;2.96236;0.109694;
1560339601674236913;-0.395921;-0.0101116;0.0159579;0.91809;0.554926;2.96237;0.109705;
1560339601682747308;-0.39588;-0.0101247;0.0159324;0.918108;0.55491;2.96237;0.109697;
1560339601691073155;-0.395872;-0.0101251;0.0158688;0.918113;0.554909;2.96236;0.109688;
1560339601699275650;-0.395865;-0.0101059;0.0158759;0.918116;0.554912;2.96236;0.109688;
1560339601715885222;-0.395859;-0.0101235;0.0158222;0.918119;0.554918;2.96236;0.109678;
1560339601724346202;-0.395874;-0.0101198;0.0159423;0.918111;0.554904;2.96237;0.1097;
1560339601732681425;-0.395888;-0.0101367;0.0158578;0.918106;0.554907;2.96237;0.109686;
1560339601741000275;-0.395846;-0.0101243;0.0158006;0.918125;0.554901;2.96236;0.109676;
1560339601757735025;-0.395892;-0.0100966;0.0159081;0.918104;0.554907;2.96237;0.109692;
1560339601766048597;-0.395869;-0.01011;0.0158837;0.918114;0.55491;2.96237;0.109689;
1560339601774343586;-0.395847;-0.0101092;0.0158473;0.918124;0.554912;2.96236;0.109676;
1560339601782679194;-0.395832;-0.0100754;0.0158117;0.918132;0.554911;2.96235;0.109673;
1560339601790922833;-0.395913;-0.0101595;0.0159648;0.918093;0.554902;2.96238;0.109713;
1560339601807684001;-0.395899;-0.0100965;0.0159081;0.918101;0.554911;2.96238;0.109702;
1560339601815964748;-0.395862;-0.0100969;0.015843;0.918118;0.554896;2.96236;0.109674;
1560339601824299400;-0.395871;-0.0101391;0.0158718;0.918113;0.554902;2.96236;0.109683;
1560339601832639941;-0.395857;-0.0101229;0.0158719;0.918119;0.554904;2.96237;0.109689;
1560339601840929211;-0.395745;-0.0101254;0.015672;0.918171;0.55484;2.96235;0.109647;
1560339601857647936;-0.395832;-0.0100887;0.0158614;0.918131;0.554908;2.96236;0.109687;
1560339601865999149;-0.395937;-0.0101751;0.0158839;0.918084;0.554933;2.96238;0.109693;
1560339601874248153;-0.39588;-0.0101867;0.0159347;0.918107;0.55491;2.96237;0.109698;
1560339601882745709;-0.395878;-0.0101538;0.0158615;0.91811;0.554919;2.96237;0.109681;
1560339601891104366;-0.395879;-0.0101278;0.0158508;0.91811;0.554921;2.96237;0.109678;
1560339601899275204;-0.395872;-0.0101532;0.0159202;0.918112;0.55491;2.96236;0.109689;
1560339601916101507;-0.395849;-0.0101168;0.0159037;0.918122;0.554906;2.96236;0.109688;
1560339601924413620;-0.395845;-0.0100438;0.0158965;0.918125;0.554904;2.96237;0.109688;
1560339601932751325;-0.395794;-0.00999894;0.015628;0.918152;0.554885;2.96239;0.109689;
1560339601941018896;-0.395705;-0.00990231;0.0152287;0.918198;0.554805;2.9625;0.109694;
1560339601957747433;-0.395589;-0.00956751;0.0146463;0.918261;0.554203;2.963;0.109657;
1560339601966126608;-0.395706;-0.00967086;0.0147914;0.918207;0.553723;2.96345;0.109679;
1560339601974406860;-0.395832;-0.00993755;0.0151867;0.918144;0.553156;2.964;0.109714;
1560339601982663797;-0.39588;-0.010035;0.0155674;0.918115;0.552572;2.96461;0.109732;
1560339601991002950;-0.395821;-0.00994444;0.0159552;0.918135;0.551919;2.96521;0.109738;
