time (NSec);Turtlebot Base Quaternion (q_w);q_x;q_y;q_z;Turtlebot Base Position (t_x);t_y;t_z;
1561361318938066998;0.708522;-0.00192083;0.00522279;0.705667;0.219086;3.10268;0.0995284;
1561361318946368876;0.708507;-0.00193582;0.00511312;0.705682;0.219087;3.10267;0.0995107;
1561361318963030590;0.708512;-0.00194206;0.00516077;0.705678;0.219086;3.10268;0.099511;
1561361318971338611;0.708519;-0.00193772;0.00515079;0.70567;0.219087;3.10268;0.0995124;
1561361318979688871;0.708514;-0.00192559;0.00514692;0.705675;0.219089;3.10267;0.0995073;
1561361318988012942;0.708523;-0.00193542;0.00516935;0.705666;0.219091;3.10268;0.0995193;
1561361318996390604;0.708503;-0.00189903;0.00518173;0.705686;0.219095;3.10268;0.0995183;
1561361319012946870;0.708495;-0.00195044;0.00512439;0.705695;0.219092;3.10268;0.0995084;
1561361319021265980;0.70853;-0.00193149;0.00513715;0.70566;0.219087;3.10268;0.099517;
1561361319029644268;0.708507;-0.0019293;0.00517133;0.705682;0.219096;3.10268;0.0995182;
1561361319037997633;0.708502;-0.00193916;0.00513093;0.705688;0.21909;3.10268;0.0995136;
1561361319046332816;0.708528;-0.00189896;0.00519239;0.705661;0.219088;3.10268;0.0995137;
1561361319054702678;0.708535;-0.00189044;0.00520882;0.705654;0.219082;3.10269;0.0995237;
1561361319071364419;0.708512;-0.00190681;0.00519481;0.705677;0.219087;3.10268;0.0995088;
1561361319079673255;0.70852;-0.00192499;0.0051173;0.705669;0.219088;3.10268;0.0995101;
1561361319087991299;0.708513;-0.00191698;0.0051893;0.705676;0.219089;3.10268;0.0995195;
1561361319096311568;0.708529;-0.00194837;0.00517153;0.70566;0.219089;3.10268;0.0995167;
1561361319104716212;0.708519;-0.00187794;0.00518867;0.70567;0.219087;3.10268;0.0995149;
1561361319121311990;0.708522;-0.00195713;0.00520641;0.705667;0.219084;3.10268;0.0995232;
1561361319129569688;0.708525;-0.00194573;0.00517445;0.705664;0.219077;3.10269;0.0995218;
1561361319137984422;0.708523;-0.00194442;0.00518888;0.705666;0.219083;3.10269;0.0995164;
1561361319146303189;0.708519;-0.00192327;0.00512542;0.70567;0.219084;3.10269;0.099518;
1561361319162975247;0.708527;-0.00192078;0.00520372;0.705662;0.219087;3.10268;0.0995207;
1561361319171309224;0.708541;-0.00193827;0.00513622;0.705648;0.219081;3.10268;0.0995164;
1561361319179639465;0.708536;-0.00192823;0.00517102;0.705653;0.219085;3.10268;0.0995233;
