time (NSec);Turtlebot Base Quaternion (q_w);q_x;q_y;q_z;Turtlebot Base Position (t_x);t_y;t_z;
1563278249997794823;-0.377308;0.00390482;0.0041395;0.92607;1.29672;0.347479;0.0820234
1563278250008567090;-0.377306;0.00388944;0.00407332;0.926072;1.29672;0.34748;0.0820206
1563278250015492282;-0.377309;0.00396869;0.00419649;0.926069;1.29671;0.347484;0.0820294
1563278250042722191;-0.377247;0.00371144;0.00404025;0.926097;1.29672;0.347473;0.0820194
1563278250057079224;-0.377236;0.00370273;0.00402237;0.926101;1.29673;0.347475;0.082025
1563278250074667959;-0.377326;0.00387694;0.00411859;0.926063;1.29671;0.347482;0.0820186
1563278250086446183;-0.377308;0.00386659;0.00406082;0.926071;1.29672;0.34749;0.0820124
1563278250105330884;-0.377227;0.00365849;0.00401533;0.926105;1.29673;0.347478;0.0820191
1563278250128446745;-0.377327;0.00384289;0.00394006;0.926064;1.29671;0.347483;0.0820079
1563278250148893116;-0.377331;0.00388141;0.00408499;0.926061;1.29672;0.347483;0.0820209
1563278250163046122;-0.377295;0.00380325;0.0039814;0.926077;1.29671;0.34748;0.0820092
1563278250179498938;-0.377262;0.00366354;0.00394597;0.926091;1.29672;0.347472;0.0820131
1563278250196133847;-0.377262;0.00372118;0.0040279;0.92609;1.29673;0.347469;0.0820222
1563278250220640365;-0.377326;0.00388761;0.00413092;0.926063;1.29672;0.347477;0.0820171
1563278250226585157;-0.377258;0.00372251;0.00401603;0.926092;1.29672;0.347474;0.0820238
1563278250234327165;-0.377264;0.00374378;0.00404186;0.926089;1.29672;0.347474;0.0820267
1563278250250930515;-0.377325;0.0038359;0.0040364;0.926064;1.29672;0.347485;0.0820137
1563278250258314035;-0.377214;0.00366133;0.00395957;0.92611;1.29672;0.34748;0.0820124
1563278250270481615;-0.377221;0.00371475;0.00398915;0.926107;1.29672;0.347474;0.0820162
1563278250308509007;-0.377317;0.00386703;0.00405499;0.926067;1.29672;0.34748;0.0820115
1563278250315483201;-0.377236;0.00365148;0.00397142;0.926102;1.29672;0.347474;0.0820114
1563278250323666312;-0.377323;0.00385279;0.00405514;0.926065;1.29672;0.347479;0.0820062
1563278250342346426;-0.377334;0.00391899;0.00410854;0.92606;1.29672;0.347475;0.0820178
1563278250348680644;-0.377309;0.00387398;0.00411964;0.92607;1.29671;0.34748;0.0820111
1563278250358625486;-0.377305;0.00387952;0.00409677;0.926072;1.29671;0.347479;0.0820156
1563278250365725303;-0.377322;0.00385964;0.00403138;0.926065;1.29671;0.347479;0.0820074
1563278250408933519;-0.377244;0.00371656;0.00409331;0.926097;1.29672;0.347472;0.0820149
1563278250424383040;-0.377236;0.00373729;0.00404711;0.926101;1.29673;0.347478;0.0820242
1563278250441645958;-0.377309;0.00390077;0.00413993;0.92607;1.29671;0.347475;0.0820171
1563278250449057641;-0.377258;0.00369442;0.0040345;0.926092;1.29672;0.34747;0.0820219
1563278250496937481;-0.377307;0.00388539;0.00409481;0.926071;1.29672;0.347481;0.0820214
1563278250527348701;-0.377241;0.00377768;0.00409356;0.926098;1.29672;0.347474;0.0820313
1563278250541224248;-0.377238;0.00369206;0.0040127;0.9261;1.29673;0.347473;0.0820256
1563278250548967785;-0.377234;0.00368374;0.00404203;0.926102;1.29673;0.347475;0.0820187
1563278250557261692;-0.377335;0.00384138;0.00404625;0.92606;1.29672;0.347475;0.0820128
1563278250567301169;-0.377338;0.00390543;0.0040788;0.926058;1.29672;0.34748;0.0820128
1563278250581372375;-0.377309;0.00390223;0.00408061;0.92607;1.29672;0.347481;0.0820133
1563278250600541624;-0.377317;0.00388833;0.0040993;0.926067;1.29671;0.347476;0.0820134
1563278250639519191;-0.377347;0.00394608;0.00412547;0.926054;1.29671;0.34748;0.0820159
1563278250643025633;-0.377321;0.00392619;0.00416339;0.926065;1.29672;0.347484;0.082025
1563278250670122510;-0.37726;0.00365889;0.00396339;0.926092;1.29673;0.347468;0.0820115
1563278250710889104;-0.377309;0.00381599;0.00402619;0.926071;1.29672;0.347485;0.0820046
1563278250752129900;-0.377334;0.00379483;0.00395432;0.926061;1.29672;0.347478;0.0820013
1563278250762924574;-0.377291;0.00375082;0.00410129;0.926078;1.29674;0.347471;0.0820336
1563278250786555036;-0.377199;0.00377112;0.00411259;0.926116;1.29672;0.34747;0.0820383
1563278250811478792;-0.377318;0.0038825;0.00412272;0.926067;1.29672;0.347483;0.0820091
1563278250818176120;-0.377335;0.00393016;0.00415154;0.926059;1.29672;0.347475;0.0820145
1563278250840618799;-0.377331;0.0038515;0.00405243;0.926062;1.29672;0.34748;0.0820052
1563278250861387936;-0.377256;0.0037409;0.00403587;0.926093;1.29673;0.347469;0.0820232
1563278250891568212;-0.37725;0.00370832;0.00401954;0.926095;1.29672;0.34747;0.0820154
1563278250917477374;-0.377236;0.00371007;0.00403378;0.926101;1.29672;0.347476;0.0820229
1563278250932610027;-0.377244;0.00368926;0.00403684;0.926098;1.29672;0.347478;0.0820239
1563278250952628235;-0.377319;0.00388555;0.00410037;0.926066;1.29671;0.347479;0.0820135
1563278250961965110;-0.377232;0.00363639;0.00397877;0.926103;1.29672;0.347475;0.0820104
1563278250975229429;-0.377318;0.00384038;0.00401068;0.926067;1.29671;0.347488;0.0820019
1563278250990300249;-0.377278;0.00376226;0.00403445;0.926084;1.29673;0.34747;0.0820246
1563278251007316785;-0.37725;0.00377801;0.00410879;0.926095;1.29672;0.347477;0.0820187
1563278251032312636;-0.377335;0.00384866;0.00402961;0.92606;1.29672;0.347478;0.0820188
