time (NSec);Turtlebot Base Quaternion (q_w);q_x;q_y;q_z;Turtlebot Base Position (t_x);t_y;t_z;
1560340116236130258;0.552209;0.00872049;-0.0170406;-0.833486;0.423082;3.06502;0.104775;
1560340116244458037;0.552094;0.00894557;-0.0165893;-0.833569;0.423123;3.06502;0.104784;
1560340116252825232;0.552201;0.00874507;-0.0169646;-0.833492;0.423088;3.06502;0.104776;
1560340116269515241;0.552208;0.00867977;-0.0170445;-0.833487;0.423088;3.06502;0.10478;
1560340116277869894;0.552197;0.00869318;-0.0170248;-0.833494;0.423094;3.06502;0.104775;
1560340116286189373;0.552193;0.0087203;-0.0170258;-0.833497;0.423091;3.06502;0.104775;
1560340116294522788;0.552201;0.0087269;-0.0169735;-0.833493;0.423087;3.06502;0.104769;
1560340116302826263;0.55221;0.00870457;-0.0170394;-0.833485;0.423087;3.06502;0.104778;
1560340116311144385;0.552219;0.00871618;-0.0170197;-0.83348;0.423087;3.06502;0.104776;
1560340116319492826;0.552191;0.00872033;-0.0170484;-0.833498;0.423087;3.06501;0.104772;
1560340116336202426;0.552198;0.00869934;-0.0170532;-0.833493;0.423087;3.06502;0.104775;
1560340116344570760;0.552216;0.00871911;-0.0170358;-0.833482;0.423084;3.06502;0.104774;
1560340116352876270;0.552208;0.0087348;-0.0170014;-0.833487;0.423088;3.06502;0.104773;
1560340116361029554;0.552109;0.00890221;-0.0166267;-0.833559;0.423127;3.06503;0.104787;
1560340116377855127;0.552201;0.00874533;-0.0170179;-0.833492;0.423082;3.06502;0.104783;
1560340116386253064;0.552204;0.00870488;-0.0170506;-0.833489;0.423084;3.06502;0.104787;
1560340116394559254;0.552209;0.00873053;-0.0170382;-0.833486;0.423085;3.06501;0.104783;
1560340116402861122;0.552112;0.00893088;-0.0166089;-0.833556;0.423123;3.06503;0.104782;
1560340116411188209;0.552226;0.00870098;-0.0170334;-0.833475;0.423085;3.06502;0.104776;
1560340116427879373;0.552205;0.00871362;-0.0170467;-0.833488;0.423087;3.06502;0.104785;
1560340116436096693;0.552192;0.00870501;-0.0170094;-0.833498;0.423084;3.06502;0.104775;
1560340116444547170;0.552214;0.00871238;-0.0170392;-0.833483;0.423085;3.06502;0.104781;
1560340116452907193;0.552118;0.00886919;-0.0166984;-0.833552;0.423118;3.06502;0.104786;
1560340116461139234;0.552209;0.00874798;-0.0170203;-0.833486;0.423086;3.06501;0.104777;
1560340116477856855;0.552207;0.00868329;-0.0170706;-0.833487;0.423082;3.06501;0.104782;
1560340116486048586;0.552209;0.00869693;-0.0170479;-0.833486;0.423089;3.06502;0.104786;
1560340116494382841;0.552198;0.00871147;-0.0169934;-0.833495;0.423087;3.06502;0.104775;
1560340116502925333;0.552214;0.00869632;-0.0170562;-0.833483;0.423082;3.06502;0.104785;
1560340116511003801;0.552098;0.00887423;-0.0166553;-0.833565;0.423124;3.06502;0.104783;
1560340116527840544;0.552117;0.00893707;-0.0166004;-0.833553;0.42312;3.06502;0.10478;
1560340116536255050;0.552197;0.00867342;-0.017091;-0.833494;0.423078;3.06502;0.104784;
1560340116544557957;0.552219;0.00870051;-0.0171013;-0.833478;0.423079;3.06502;0.104782;
1560340116552922982;0.552194;0.00866609;-0.0170747;-0.833495;0.423089;3.06501;0.104778;
1560340116561175064;0.552193;0.00873414;-0.0170344;-0.833496;0.423082;3.06502;0.104773;
1560340116577839671;0.552203;0.00872069;-0.0170512;-0.83349;0.423087;3.06502;0.10478;
1560340116586346536;0.552196;0.00878763;-0.0169739;-0.833495;0.423088;3.06501;0.104775;
1560340116594548709;0.552212;0.00870104;-0.0170313;-0.833484;0.423087;3.06502;0.104777;
1560340116602888693;0.552212;0.00870473;-0.0170342;-0.833484;0.423087;3.06502;0.10478;
1560340116611218351;0.552198;0.00870802;-0.0170162;-0.833494;0.423087;3.06502;0.104778;
1560340116619558104;0.552186;0.008718;-0.0170115;-0.833502;0.423087;3.06501;0.104779;
1560340116636211669;0.552192;0.0087065;-0.0170238;-0.833498;0.423081;3.06502;0.104777;
1560340116644601807;0.552111;0.00890987;-0.0166571;-0.833557;0.423126;3.06502;0.104782;
1560340116652864238;0.552213;0.00872093;-0.0170302;-0.833483;0.423086;3.06502;0.104779;
1560340116661189669;0.552198;0.00869565;-0.0170468;-0.833493;0.423085;3.06502;0.104781;
1560340116677863366;0.552193;0.00873133;-0.017021;-0.833497;0.423085;3.06502;0.104775;
1560340116686214634;0.552206;0.00870417;-0.017037;-0.833488;0.423088;3.06502;0.104783;
1560340116694530025;0.552213;0.00873114;-0.0169962;-0.833484;0.423085;3.06502;0.104771;
1560340116702856734;0.552192;0.00870042;-0.0170412;-0.833497;0.423086;3.06502;0.104777;
1560340116711177371;0.552198;0.00869266;-0.0170569;-0.833493;0.423082;3.06502;0.104776;
1560340116727885807;0.552114;0.00889875;-0.0166779;-0.833554;0.423124;3.06502;0.10478;
1560340116736204003;0.552194;0.00872395;-0.0170038;-0.833497;0.42308;3.06502;0.104771;
1560340116744561141;0.5522;0.00869605;-0.0170391;-0.833492;0.423089;3.06502;0.104785;
1560340116752848918;0.552198;0.00872561;-0.0170258;-0.833493;0.423085;3.06502;0.104778;
1560340116761186875;0.552211;0.00867851;-0.0170807;-0.833484;0.423085;3.06502;0.104785;
1560340116777839145;0.552206;0.00869254;-0.0170889;-0.833487;0.423087;3.06502;0.104776;
1560340116786252964;0.552187;0.0087254;-0.0170226;-0.833501;0.423089;3.06502;0.104773;
1560340116794554980;0.55221;0.00875279;-0.0170267;-0.833485;0.423081;3.06502;0.104769;
1560340116802917648;0.552202;0.00872851;-0.0170437;-0.83349;0.423087;3.06502;0.104766;
1560340116811173303;0.552215;0.00869611;-0.0170474;-0.833482;0.423088;3.06502;0.104774;
1560340116827852420;0.552107;0.00892933;-0.0166038;-0.83356;0.423133;3.06503;0.104782;
1560340116836237102;0.552102;0.00894313;-0.0166367;-0.833563;0.423123;3.06503;0.10478;
