time (NSec);Turtlebot Base Quaternion (q_w);q_x;q_y;q_z;Turtlebot Base Position (t_x);t_y;t_z;
1560413441067107254;0.0323587;0.00521345;0.0103037;0.99941;0.0802486;1.13569;0.104264;
1560413441075448003;0.0324881;0.00497376;0.0101335;0.999408;0.080239;1.13566;0.104207;
1560413441083835667;0.0324043;0.00472171;0.00945226;0.999419;0.080272;1.13568;0.10404;
1560413441100520141;0.0325005;0.00481872;0.0094229;0.999416;0.0802621;1.1357;0.104062;
1560413441108894988;0.0323913;0.00502091;0.00946325;0.999418;0.0802585;1.13569;0.104082;
1560413441117271297;0.032473;0.00506589;0.00932336;0.999416;0.0802203;1.13569;0.10404;
1560413441125565306;0.032536;0.00509154;0.00936921;0.999414;0.0802034;1.13569;0.104065;
1560413441133923267;0.0324427;0.00512901;0.00946232;0.999416;0.0802213;1.1357;0.104088;
1560413441142284810;0.0325089;0.00486647;0.00951797;0.999414;0.0802594;1.13569;0.10407;
1560413441158901914;0.0324612;0.00502621;0.00953294;0.999415;0.0802336;1.13568;0.104096;
1560413441167250327;0.032541;0.00490655;0.00950891;0.999413;0.0802625;1.13568;0.104072;
1560413441175503422;0.0324582;0.00483401;0.0094919;0.999416;0.0802582;1.13568;0.104057;
1560413441183826390;0.032434;0.00498537;0.00952652;0.999416;0.0802429;1.13568;0.10409;
1560413441200522404;0.0323893;0.00517324;0.0093728;0.999418;0.0802398;1.13569;0.104068;
1560413441208860267;0.0325786;0.00483107;0.00930124;0.999414;0.0802366;1.13571;0.10403;
1560413441217181263;0.0325322;0.00500311;0.00932955;0.999415;0.0802075;1.13569;0.104057;
1560413441225549918;0.0324804;0.00519112;0.00949216;0.999414;0.0802133;1.13569;0.104094;
1560413441233777360;0.0324789;0.00495326;0.00934272;0.999416;0.0802301;1.13568;0.104051;
1560413441250472578;0.0326984;0.00498322;0.01003;0.999403;0.0802171;1.13568;0.104184;
1560413441258651982;0.0324605;0.00503655;0.00947337;0.999415;0.0802229;1.13569;0.10408;
1560413441267087507;0.0323394;0.0047388;0.0101377;0.999414;0.0803033;1.13566;0.10418;
1560413441275436767;0.0324877;0.00511695;0.0101201;0.999408;0.0802337;1.13567;0.104213;
1560413441283761944;0.0324338;0.00470487;0.00945173;0.999418;0.0802749;1.13569;0.104049;
1560413441300483067;0.0325415;0.0048108;0.00945815;0.999414;0.0802649;1.13569;0.104072;
1560413441308827345;0.0324254;0.00516995;0.00954311;0.999415;0.080241;1.13569;0.104087;
1560413441317178368;0.0324228;0.0051707;0.00926134;0.999418;0.0802391;1.13569;0.104044;
