time (NSec);Turtlebot Base Quaternion (q_w);q_x;q_y;q_z;Turtlebot Base Position (t_x);t_y;t_z;
1560338875930460809;0.0994917;0.00307081;0.00230854;0.995031;1.26597;3.90961;0.121354;
1560338875938819685;0.0993792;0.00287164;0.00226506;0.995043;1.26595;3.90962;0.121356;
1560338875947028507;0.0994503;0.00295048;0.00228343;0.995036;1.26596;3.90961;0.12136;
1560338875955378698;0.0994657;0.00294085;0.0022624;0.995034;1.26597;3.90961;0.121345;
1560338875963843689;0.0992884;0.00303666;0.0025065;0.995051;1.26597;3.90964;0.121401;
1560338875980573498;0.0993868;0.00292615;0.00224772;0.995042;1.26594;3.90961;0.121356;
1560338875988878668;0.0993289;0.00302601;0.0025607;0.995047;1.26599;3.90963;0.121414;
1560338875997155510;0.0994885;0.00307838;0.00232983;0.995031;1.26596;3.90961;0.121355;
1560338876005542769;0.0992433;0.00290157;0.00251663;0.995056;1.26598;3.90963;0.121413;
1560338876013818792;0.0992959;0.00296477;0.00250216;0.99505;1.26597;3.90965;0.121424;
1560338876030557574;0.0992861;0.00298891;0.00257128;0.995051;1.26598;3.90961;0.121402;
1560338876038860349;0.0994498;0.00300079;0.00219277;0.995036;1.26595;3.90963;0.121334;
1560338876047178113;0.0994348;0.00298039;0.00218563;0.995037;1.26596;3.90961;0.121336;
1560338876055533702;0.0993929;0.0029117;0.00213612;0.995042;1.26594;3.90961;0.121334;
1560338876063814389;0.0992776;0.00294733;0.00249124;0.995052;1.26597;3.90963;0.121403;
1560338876080546551;0.0993476;0.00303778;0.00253848;0.995045;1.26598;3.90964;0.121411;
1560338876088889910;0.0994085;0.0028804;0.00216297;0.99504;1.26595;3.90962;0.121332;
1560338876097158837;0.0992962;0.00296818;0.0025541;0.99505;1.26598;3.90963;0.121412;
1560338876105549236;0.0994235;0.00301534;0.00226822;0.995038;1.26595;3.90962;0.121352;
1560338876113849365;0.0993966;0.00299285;0.00228868;0.995041;1.26595;3.90962;0.121356;
1560338876130536092;0.0993155;0.00303538;0.00251623;0.995048;1.26598;3.90963;0.121411;
1560338876138758675;0.0992886;0.00298677;0.00257479;0.995051;1.26599;3.90962;0.121416;
