time (NSec);Turtlebot Base Quaternion (q_w);q_x;q_y;q_z;Turtlebot Base Position (t_x);t_y;t_z;
1560413417709129885;0.0317212;0.00482853;0.00966076;0.999438;0.0804932;1.13545;0.104114;
1560413417725710282;0.0316523;0.00503147;0.00949425;0.999441;0.0804588;1.13546;0.104102;
1560413417734194390;0.0318815;0.00553869;0.00950261;0.999431;0.0804547;1.13548;0.10416;
1560413417742522051;0.0319173;0.00515377;0.00949404;0.999432;0.0804754;1.13547;0.104129;
1560413417750852347;0.0318891;0.00461057;0.00968359;0.999434;0.0804455;1.13547;0.104092;
1560413417759187576;0.0322575;0.00516011;0.0101276;0.999415;0.0802754;1.13567;0.104247;
1560413417775880992;0.0333056;0.00392473;0.0102317;0.999385;0.080785;1.13488;0.104204;
1560413417784178554;0.0329395;0.00415381;0.00937326;0.999405;0.0808235;1.13492;0.104111;
1560413417792534694;0.0328992;0.00345881;0.00996085;0.999403;0.080894;1.13484;0.104118;
1560413417800824368;0.0330023;0.00450401;0.00994526;0.999396;0.0808286;1.13488;0.104255;
1560413417809134825;0.033181;0.00373379;0.0100597;0.999392;0.0806468;1.13518;0.104189;
1560413417825801963;0.0317393;0.0049745;0.00979563;0.999436;0.0804398;1.13547;0.104147;
1560413417834125277;0.0316643;0.00519093;0.00961303;0.999439;0.0804565;1.13546;0.104133;
1560413417842524860;0.031677;0.00487602;0.00938152;0.999442;0.0804608;1.13547;0.104077;
1560413417850837700;0.0314705;0.00562431;0.00950714;0.999444;0.0803949;1.13544;0.10417;
1560413417859131044;0.0317867;0.00496661;0.00959196;0.999436;0.0804505;1.13545;0.104118;
1560413417875863966;0.0316929;0.00461796;0.00960249;0.999441;0.0805093;1.13545;0.104084;
1560413417884210862;0.0316385;0.00492186;0.0096216;0.999441;0.0804742;1.13546;0.104125;
1560413417892519545;0.0316772;0.00484169;0.00956773;0.999441;0.0804661;1.13545;0.104115;
1560413417900886047;0.031615;0.00507635;0.00957826;0.999441;0.0804765;1.13546;0.104127;
1560413417909152422;0.0326034;0.00373714;0.00945337;0.999417;0.0807818;1.13521;0.104053;
1560413417925886009;0.0318089;0.00475479;0.00948274;0.999438;0.0804821;1.13547;0.104078;
1560413417934184643;0.0317682;0.00480739;0.00947816;0.999439;0.0804409;1.13546;0.104086;
1560413417942518836;0.0317164;0.00484138;0.00955845;0.999439;0.080443;1.13546;0.1041;
1560413417950838983;0.0316678;0.0048979;0.00956313;0.999441;0.080461;1.13546;0.104112;
1560413417959136690;0.0317842;0.00481703;0.00950534;0.999438;0.0804817;1.13547;0.104073;
1560413417975849256;0.0318789;0.00497376;0.0100504;0.999429;0.0804101;1.13544;0.104203;
