time (NSec) 	Kinova Tip Position (t_x) 	t_y 	t_z 	Kinova Tip Angle (theta_x) 	Kinova Tip Angle (theta_y) 	Kinova Tip Angle (theta_z) 	Kinova Joint Angle (j1) 	(j2) 	(j3) 	(j4) 	Kinova Joint Angle (j5) 	(j6) 	(j7)
1.55602 	-0.00383047 	-0.485773 	-0.243211 	1.76535 	0.0102512 	-3.10831 	90.0095 	62.1184 	-0.550488 	268.65 	360.766 	285.029 	539.18 	
1.57276 	-0.00383047 	-0.485773 	-0.243211 	1.76535 	0.0102512 	-3.10831 	90.0094 	62.1187 	-0.550488 	268.65 	360.766 	285.029 	539.18 	
1.67583 	-0.0038295 	-0.485831 	-0.243091 	1.76537 	0.0102551 	-3.12192 	90.0095 	62.1193 	-0.550488 	268.663 	360.766 	285.029 	539.45 	
1.77721 	-0.0038295 	-0.485831 	-0.243091 	1.76537 	0.0102551 	-3.12541 	90.0094 	62.1193 	-0.550488 	268.684 	360.766 	285.029 	539.746 	
1.8787 	-0.0038295 	-0.485831 	-0.243091 	1.76537 	0.0102551 	-3.12541 	90.0095 	62.1194 	-0.550488 	268.688 	360.766 	285.029 	539.769 	
1.98016 	-0.0038295 	-0.485831 	-0.243091 	1.76537 	0.0102551 	-3.12541 	90.0095 	62.1195 	-0.550488 	268.689 	360.766 	285.029 	539.775 	
2.08235 	-0.0038295 	-0.485831 	-0.243091 	1.76537 	0.0102551 	-3.12541 	90.0095 	62.1195 	-0.550488 	268.689 	360.766 	285.029 	539.777 	
2.16158 	-0.0038295 	-0.485831 	-0.243091 	1.76537 	0.0102551 	-3.12541 	90.0094 	62.1196 	-0.550488 	268.689 	360.766 	285.029 	539.779 	
2.26295 	-0.00386461 	-0.49319 	-0.237823 	1.74826 	0.0101595 	-3.12547 	90.0094 	62.3679 	-0.550488 	268.488 	360.766 	285.028 	539.78 	
2.3643 	-0.00393798 	-0.507741 	-0.226765 	1.71336 	0.00995963 	-3.12558 	90.0095 	63.2588 	-0.550488 	267.65 	360.766 	285.028 	539.781 	
2.46661 	-0.00401917 	-0.523421 	-0.214083 	1.67496 	0.00974296 	-3.1257 	90.0095 	64.2331 	-0.550488 	266.69 	360.766 	285.028 	539.782 	
2.5695 	-0.00408593 	-0.535984 	-0.203311 	1.64355 	0.00956823 	-3.1258 	90.0094 	65.3293 	-0.550488 	265.593 	360.766 	285.028 	539.783 	
2.67118 	-0.00416044 	-0.549646 	-0.190933 	1.60864 	0.00937682 	-3.12592 	90.0094 	66.3101 	-0.550488 	264.608 	360.766 	285.028 	539.783 	
2.77424 	-0.00423526 	-0.562985 	-0.178131 	1.57374 	0.00918834 	-3.12604 	90.0095 	67.3064 	-0.550488 	263.615 	360.766 	285.028 	539.784 	
2.87559 	-0.00431034 	-0.575985 	-0.164916 	1.53883 	0.00900286 	-3.12617 	90.0094 	68.2763 	-0.550488 	262.616 	360.766 	285.028 	539.784 	
2.97754 	-0.00438566 	-0.588634 	-0.151298 	1.50393 	0.00882044 	-3.12629 	90.0094 	69.2664 	-0.550488 	261.623 	360.766 	285.028 	539.784 	
3.07986 	-0.00446118 	-0.600918 	-0.137287 	1.46902 	0.00864111 	-3.12643 	90.0095 	70.3398 	-0.550488 	260.53 	360.766 	285.028 	539.784 	
3.18206 	-0.00453686 	-0.612824 	-0.122894 	1.43412 	0.00846495 	-3.12656 	90.0095 	71.3365 	-0.550488 	259.543 	360.766 	285.028 	539.785 	
3.28346 	-0.00462025 	-0.62547 	-0.106634 	1.39572 	0.00827487 	-3.12671 	90.0094 	72.3165 	-0.550488 	258.547 	360.766 	285.028 	539.785 	
3.38486 	-0.00468857 	-0.635455 	-0.0930084 	1.36431 	0.00812228 	-3.12684 	90.0095 	73.3063 	-0.550488 	257.552 	360.766 	285.028 	539.785 	
3.48605 	-0.00476453 	-0.646155 	-0.0775394 	1.3294 	0.00795586 	-3.12698 	90.0095 	74.3061 	-0.550488 	256.562 	360.766 	285.028 	539.785 	
