time (NSec) 	Kinova Tip Position (t_x) 	t_y 	t_z 	Kinova Tip Angle (theta_x) 	Kinova Tip Angle (theta_y) 	Kinova Tip Angle (theta_z) 	Kinova Joint Angle (j1) 	(j2) 	(j3) 	(j4) 	Kinova Joint Angle (j5) 	(j6) 	(j7)
0.0249259 	-0.00382993 	-0.485722 	-0.24323 	1.76551 	0.010253 	-3.10831 	90.0527 	63.1221 	-0.618262 	268.778 	360.844 	285.275 	539.112 	
0.0466802 	-0.00382993 	-0.485722 	-0.24323 	1.76551 	0.010253 	-3.10831 	90.0527 	63.1227 	-0.618164 	268.778 	360.844 	285.275 	539.112 	
0.0661869 	-0.00382993 	-0.485722 	-0.24323 	1.76551 	0.010253 	-3.10831 	90.0527 	63.1225 	-0.618066 	268.779 	360.844 	285.275 	539.112 	
0.170051 	-0.00382825 	-0.485985 	-0.243015 	1.7654 	0.0102607 	-3.10936 	90.0527 	63.3865 	-0.618359 	269.046 	360.844 	285.274 	539.304 	
0.275184 	-0.00374454 	-0.491655 	-0.23161 	1.76539 	0.0106059 	-3.12532 	90.0526 	64.3617 	-0.618262 	269.985 	360.844 	285.274 	539.678 	
0.378143 	-0.00369848 	-0.494685 	-0.225127 	1.76539 	0.010801 	-3.12527 	90.0527 	65.3486 	-0.618066 	270.97 	360.844 	285.274 	539.693 	
0.482151 	-0.00365315 	-0.4976 	-0.218592 	1.76539 	0.010997 	-3.12523 	90.0528 	66.3597 	-0.617969 	271.973 	360.844 	285.274 	539.696 	
0.585091 	-0.00360854 	-0.500401 	-0.212008 	1.76539 	0.0111938 	-3.12519 	90.0527 	67.4482 	-0.618262 	273.076 	360.844 	285.274 	539.697 	
0.687076 	-0.00356469 	-0.503087 	-0.205375 	1.76539 	0.0113912 	-3.12515 	90.0526 	68.4495 	-0.618164 	274.075 	360.844 	285.274 	539.698 	
0.789052 	-0.00352159 	-0.505657 	-0.198697 	1.76539 	0.0115893 	-3.12512 	90.0527 	69.4491 	-0.618262 	275.071 	360.844 	285.274 	539.699 	
0.891162 	-0.00347926 	-0.508109 	-0.191975 	1.76539 	0.0117879 	-3.12509 	90.0527 	70.4413 	-0.618262 	276.069 	360.844 	285.274 	539.699 	
0.997867 	-0.00343772 	-0.510444 	-0.185211 	1.76539 	0.011987 	-3.12506 	90.0527 	71.5559 	-0.618066 	277.179 	360.844 	285.274 	539.7 	
1.09989 	-0.00339698 	-0.512661 	-0.178407 	1.76539 	0.0121866 	-3.12503 	90.0527 	72.5653 	-0.618164 	278.171 	360.844 	285.274 	539.7 	
1.20199 	-0.00335704 	-0.514758 	-0.171566 	1.76539 	0.0123866 	-3.12501 	90.0526 	73.5648 	-0.618359 	279.168 	360.844 	285.274 	539.7 	
1.30393 	-0.00331793 	-0.516736 	-0.164689 	1.76539 	0.012587 	-3.125 	90.0527 	74.6723 	-0.618164 	280.168 	360.844 	285.274 	539.701 	
1.40585 	-0.00327965 	-0.518593 	-0.157779 	1.76539 	0.0127875 	-3.12498 	90.0527 	75.6561 	-0.618164 	281.279 	360.844 	285.274 	539.701 	
1.50782 	-0.00324222 	-0.520329 	-0.150837 	1.76539 	0.0129883 	-3.12497 	90.0528 	76.682 	-0.617773 	282.282 	360.844 	285.274 	539.701 	
1.60983 	-0.00320565 	-0.521945 	-0.143866 	1.76539 	0.0131893 	-3.12497 	90.0526 	77.6799 	-0.618359 	283.272 	360.844 	285.274 	539.701 	
1.71171 	-0.00316995 	-0.523438 	-0.136868 	1.76539 	0.0133903 	-3.12496 	90.0525 	78.6618 	-0.618457 	284.279 	360.844 	285.274 	539.702 	
1.81388 	-0.00313512 	-0.524809 	-0.129845 	1.76539 	0.0135914 	-3.12496 	90.0527 	79.7769 	-0.618262 	285.27 	360.844 	285.274 	539.702 	
1.91574 	-0.00310118 	-0.526056 	-0.122799 	1.76539 	0.0137924 	-3.12497 	90.0527 	80.7818 	-0.618066 	286.375 	360.844 	285.274 	539.702 	
2.01774 	-0.00306815 	-0.527181 	-0.115732 	1.76539 	0.0139933 	-3.12497 	90.0527 	81.7636 	-0.618164 	287.379 	360.844 	285.274 	539.702 	
2.12021 	-0.00303602 	-0.528183 	-0.108647 	1.76539 	0.0141941 	-3.12498 	90.0526 	82.7914 	-0.618262 	288.379 	360.844 	285.274 	539.702 	
2.22304 	-0.00300482 	-0.52906 	-0.101545 	1.76539 	0.0143946 	-3.125 	90.0524 	83.7886 	-0.618457 	289.379 	360.844 	285.274 	539.702 	
2.326 	-0.00297454 	-0.529814 	-0.0944292 	1.76539 	0.0145948 	-3.12502 	90.0525 	84.8847 	-0.61875 	290.479 	360.844 	285.274 	539.702 	
2.429 	-0.0029452 	-0.530442 	-0.0873013 	1.76539 	0.0147948 	-3.12504 	90.0528 	85.8868 	-0.618652 	291.479 	360.844 	285.274 	539.702 	
2.532 	-0.00291681 	-0.530947 	-0.0801635 	1.76539 	0.0149943 	-3.12506 	90.0527 	86.8668 	-0.618359 	292.476 	360.844 	285.274 	539.702 	
2.63492 	-0.00288938 	-0.531327 	-0.073018 	1.7654 	0.0151933 	-3.12509 	90.0527 	87.9512 	-0.618262 	293.586 	360.844 	285.274 	539.702 	
2.73807 	-0.00286292 	-0.531582 	-0.0658669 	1.7654 	0.0153918 	-3.12512 	90.0527 	89.0009 	-0.617969 	294.577 	360.844 	285.274 	539.702 	
2.84082 	-0.00283742 	-0.531713 	-0.0587124 	1.7654 	0.0155898 	-3.12516 	90.0527 	89.9908 	-0.618066 	295.582 	360.844 	285.274 	539.703 	
2.94389 	-0.00281291 	-0.531718 	-0.0515568 	1.7654 	0.015787 	-3.1252 	90.0528 	91.1012 	-0.618164 	296.581 	360.844 	285.274 	539.703 	
3.04735 	-0.00278938 	-0.531599 	-0.0444022 	1.7654 	0.0159836 	-3.12524 	90.0527 	92.0801 	-0.618262 	297.683 	360.844 	285.274 	539.703 	
3.15006 	-0.00276685 	-0.531354 	-0.0372507 	1.7654 	0.0161794 	-3.12529 	90.0526 	93.0671 	-0.618457 	298.676 	360.844 	285.274 	539.703 	
3.25322 	-0.00274532 	-0.530985 	-0.0301046 	1.7654 	0.0163744 	-3.12533 	90.0527 	94.0696 	-0.618262 	299.675 	360.844 	285.274 	539.703 	
3.35577 	-0.0027248 	-0.530491 	-0.022966 	1.7654 	0.0165685 	-3.12539 	90.0527 	95.1749 	-0.618262 	300.782 	360.844 	285.274 	539.703 	
3.46187 	-0.00270529 	-0.529873 	-0.0158372 	1.7654 	0.0167617 	-3.12544 	90.0528 	96.1662 	-0.618359 	301.773 	360.844 	285.274 	539.703 	
3.56519 	-0.00268681 	-0.529131 	-0.00872016 	1.7654 	0.0169538 	-3.1255 	90.0527 	97.2623 	-0.618359 	302.873 	360.844 	285.273 	539.703 	
3.6676 	-0.00266935 	-0.528264 	-0.00161723 	1.7654 	0.0171449 	-3.12556 	90.0525 	98.2864 	-0.618457 	303.879 	360.844 	285.273 	539.703 	
3.77064 	-0.00265293 	-0.527273 	0.00546958 	1.76541 	0.0173349 	-3.12563 	90.0525 	99.2872 	-0.618359 	304.886 	360.844 	285.273 	539.703 	
