time (NSec) 	Kinova Tip Position (t_x) 	t_y 	t_z 	Kinova Tip Angle (theta_x) 	Kinova Tip Angle (theta_y) 	Kinova Tip Angle (theta_z) 	Kinova Joint Angle (j1) 	(j2) 	(j3) 	(j4) 	Kinova Joint Angle (j5) 	(j6) 	(j7)
1.92561 	-0.0612206 	0.0491367 	1.2512 	0.0863735 	-0.170675 	3.02372 	86.9236 	183.768 	353.847 	175.254 	223.066 	196.082 	334.248 	
2.02864 	-0.0612178 	0.04854 	1.25121 	0.0873094 	-0.170847 	3.02307 	87.0439 	183.641 	353.693 	175.359 	223.124 	196.175 	334.291 	
2.13548 	-0.0612368 	0.0339348 	1.25139 	0.110196 	-0.175185 	3.00703 	87.5019 	183.185 	353.218 	175.802 	223.585 	196.636 	334.735 	
2.23802 	-0.0614299 	0.0190578 	1.25128 	0.133467 	-0.179873 	2.99066 	87.987 	182.664 	352.729 	176.305 	224.097 	197.149 	335.224 	
2.34122 	-0.0617986 	0.00421531 	1.2509 	0.156653 	-0.184824 	2.97432 	88.5365 	182.118 	352.181 	176.841 	224.633 	197.69 	335.753 	
2.44703 	-0.0623427 	-0.0105847 	1.25024 	0.179752 	-0.190036 	2.95799 	89.0823 	181.628 	351.677 	177.333 	225.127 	198.18 	336.313 	
2.55222 	-0.0630616 	-0.0253339 	1.24931 	0.202763 	-0.195508 	2.9417 	89.6407 	181.091 	351.128 	177.874 	225.695 	198.735 	336.852 	
2.65522 	-0.0646995 	-0.05503 	1.24662 	0.249706 	-0.20577 	2.91506 	89.9578 	180.601 	350.628 	178.376 	226.191 	199.235 	337.341 	
2.75814 	-0.0652435 	-0.0701595 	1.24487 	0.274272 	-0.209518 	2.90749 	90.0859 	180.122 	350.137 	178.864 	226.672 	199.723 	337.836 	
2.86105 	-0.0657014 	-0.0852239 	1.24285 	0.298809 	-0.213119 	2.89987 	90.1805 	179.569 	349.581 	179.414 	227.247 	200.271 	338.34 	
2.96417 	-0.0660741 	-0.100217 	1.24056 	0.323314 	-0.216576 	2.89222 	90.224 	179.071 	349.083 	179.913 	227.747 	200.769 	338.89 	
3.07001 	-0.0663623 	-0.115132 	1.23802 	0.347782 	-0.219891 	2.88452 	90.1874 	178.536 	348.581 	180.408 	228.23 	201.257 	339.383 	
3.17304 	-0.0665669 	-0.129963 	1.23521 	0.372211 	-0.223065 	2.87678 	90.1865 	178.044 	348.036 	180.956 	228.801 	201.811 	339.934 	
3.27618 	-0.0666887 	-0.144705 	1.23215 	0.396597 	-0.226102 	2.86897 	90.1864 	177.562 	347.54 	181.447 	229.303 	202.299 	340.433 	
3.37907 	-0.0667287 	-0.159351 	1.22884 	0.420936 	-0.229004 	2.86111 	90.1864 	177.064 	347.037 	181.943 	229.78 	202.802 	340.919 	
3.48176 	-0.0666878 	-0.173895 	1.22527 	0.445226 	-0.231774 	2.85319 	90.1863 	176.525 	346.485 	182.49 	230.349 	203.344 	341.468 	
3.58509 	-0.0665671 	-0.188332 	1.22147 	0.469461 	-0.234415 	2.8452 	90.1863 	176.043 	345.989 	182.985 	230.853 	203.842 	341.981 	
3.68787 	-0.0663675 	-0.202656 	1.21742 	0.49364 	-0.236929 	2.83713 	90.1863 	175.563 	345.491 	183.476 	231.338 	204.329 	342.482 	
3.79094 	-0.0660901 	-0.216862 	1.21313 	0.517757 	-0.239319 	2.82899 	90.1863 	175.011 	344.94 	184.02 	231.901 	204.885 	342.983 	
3.89372 	-0.065736 	-0.230944 	1.2086 	0.541811 	-0.241589 	2.82077 	90.1863 	174.523 	344.441 	184.515 	232.406 	205.382 	343.538 	
3.99698 	-0.0653064 	-0.244899 	1.20385 	0.565796 	-0.243741 	2.81246 	90.1863 	174.013 	343.936 	185.021 	232.897 	205.881 	344.018 	
4.09986 	-0.0648023 	-0.258719 	1.19887 	0.58971 	-0.245778 	2.80407 	90.1863 	173.491 	343.448 	185.505 	233.413 	206.372 	344.512 	
4.20283 	-0.0642251 	-0.272401 	1.19367 	0.61355 	-0.247705 	2.79558 	90.1863 	172.959 	342.891 	186.069 	233.958 	206.924 	345.074 	
4.30572 	-0.0635758 	-0.285941 	1.18825 	0.637312 	-0.249524 	2.787 	90.1863 	172.5 	342.393 	186.551 	234.452 	207.409 	345.569 	
4.40888 	-0.0628559 	-0.299332 	1.18262 	0.660992 	-0.251239 	2.77832 	90.1863 	172.064 	341.891 	187.028 	234.958 	207.894 	346.08 	
4.51167 	-0.0620664 	-0.312572 	1.17678 	0.684588 	-0.252853 	2.76954 	90.1864 	171.432 	341.355 	187.598 	235.52 	208.493 	346.639 	
4.61463 	-0.0612087 	-0.325656 	1.17073 	0.708096 	-0.254369 	2.76065 	90.1859 	170.979 	340.843 	188.091 	236.008 	208.945 	347.119 	
4.71765 	-0.0602842 	-0.33858 	1.16449 	0.731512 	-0.255792 	2.75166 	90.1859 	170.517 	340.344 	188.572 	236.503 	209.429 	347.618 	
4.82067 	-0.0592941 	-0.351339 	1.15805 	0.754834 	-0.257125 	2.74255 	90.1861 	169.941 	339.803 	189.12 	237.076 	210.021 	348.113 	
4.92363 	-0.0582399 	-0.363931 	1.15143 	0.778059 	-0.258372 	2.73333 	90.1854 	169.416 	339.29 	189.64 	237.562 	210.49 	348.658 	
5.0265 	-0.0571227 	-0.376352 	1.14461 	0.801184 	-0.259535 	2.72399 	90.1852 	168.963 	338.794 	190.122 	238.057 	210.993 	349.179 	
5.13475 	-0.055944 	-0.388598 	1.13762 	0.824205 	-0.260619 	2.71454 	90.1853 	168.423 	338.245 	190.659 	238.629 	211.551 	349.731 	
5.23738 	-0.0545782 	-0.401863 	1.12973 	0.849405 	-0.261725 	2.704 	90.1852 	167.902 	337.744 	191.171 	239.124 	212.038 	350.215 	
5.34059 	-0.053408 	-0.412553 	1.12312 	0.869924 	-0.262565 	2.69526 	90.1852 	167.37 	337.193 	191.712 	239.659 	212.592 	350.708 	
5.443 	-0.0520533 	-0.424256 	1.11562 	0.892617 	-0.263434 	2.68544 	90.1852 	166.893 	336.703 	192.205 	240.176 	213.085 	351.26 	
5.54717 	-0.0506429 	-0.435772 	1.10796 	0.915195 	-0.264239 	2.67549 	90.1852 	166.386 	336.195 	192.706 	240.674 	213.586 	351.772 	
5.65134 	-0.049178 	-0.447099 	1.10015 	0.937654 	-0.264982 	2.66541 	90.1852 	165.859 	335.648 	193.247 	241.21 	214.132 	352.326 	
5.75398 	-0.0460908 	-0.469176 	1.08409 	0.98221 	-0.266302 	2.64486 	90.1853 	165.357 	335.148 	193.74 	241.738 	214.639 	352.829 	
5.85746 	-0.0444712 	-0.479922 	1.07584 	1.0043 	-0.266885 	2.63439 	90.1853 	164.858 	334.647 	194.242 	242.237 	215.132 	353.328 	
5.96021 	-0.0428032 	-0.49047 	1.06747 	1.02626 	-0.267422 	2.62379 	90.1853 	164.342 	334.097 	194.782 	242.774 	215.681 	353.813 	
6.06347 	-0.0410877 	-0.500818 	1.05897 	1.0481 	-0.267916 	2.61305 	90.1853 	163.843 	333.599 	195.28 	243.287 	216.177 	354.364 	
6.17025 	-0.0393266 	-0.510965 	1.05034 	1.06979 	-0.26837 	2.60218 	90.1853 	163.286 	333.095 	195.784 	243.784 	216.684 	354.864 	
6.27308 	-0.0375213 	-0.520909 	1.0416 	1.09136 	-0.268789 	2.59117 	90.1853 	162.794 	332.542 	196.332 	244.325 	217.222 	355.422 	
6.37627 	-0.0354858 	-0.531612 	1.03186 	1.11492 	-0.269212 	2.5789 	90.1853 	162.3 	332.044 	196.83 	244.84 	217.729 	355.935 	
6.47913 	-0.0337831 	-0.540184 	1.0238 	1.13407 	-0.269532 	2.56874 	90.1853 	161.791 	331.539 	197.328 	245.352 	218.228 	356.437 	
6.5821 	-0.0318534 	-0.549514 	1.01474 	1.15521 	-0.269864 	2.55732 	90.1854 	161.267 	330.999 	197.868 	245.887 	218.771 	356.962 	
6.68516 	-0.029885 	-0.558636 	1.00559 	1.17621 	-0.270172 	2.54577 	90.1853 	160.779 	330.494 	198.363 	246.389 	219.265 	357.463 	
6.78817 	-0.0278793 	-0.567551 	0.996344 	1.19706 	-0.270461 	2.53408 	90.1856 	160.277 	329.997 	198.866 	246.902 	219.78 	357.964 	
6.89121 	-0.0258381 	-0.576258 	0.987016 	1.21776 	-0.270734 	2.52225 	90.1856 	159.75 	329.444 	199.404 	247.443 	220.318 	358.511 	
6.99409 	-0.0237622 	-0.584757 	0.97761 	1.23831 	-0.270992 	2.51029 	90.1857 	159.26 	328.948 	199.903 	247.941 	220.81 	359.026 	
7.09708 	-0.0216535 	-0.593048 	0.968129 	1.25871 	-0.271241 	2.49819 	90.1861 	158.759 	328.45 	200.394 	248.466 	221.331 	359.525 	
7.19995 	-0.019513 	-0.60113 	0.95858 	1.27895 	-0.271481 	2.48596 	90.186 	158.216 	327.891 	200.954 	249.003 	221.809 	360.011 	
7.30272 	-0.0173422 	-0.609003 	0.948966 	1.29904 	-0.271716 	2.47359 	90.1861 	157.741 	327.393 	201.445 	249.496 	222.369 	360.564 	
7.40604 	-0.0151425 	-0.616668 	0.939294 	1.31896 	-0.271948 	2.46108 	90.1861 	157.239 	326.902 	201.939 	250.007 	222.878 	361.061 	
7.50921 	-0.0129149 	-0.624125 	0.929567 	1.33873 	-0.272181 	2.44845 	90.186 	156.692 	326.393 	202.454 	250.499 	223.366 	361.567 	
7.61213 	-0.0106612 	-0.631375 	0.919792 	1.35833 	-0.272415 	2.43568 	90.1861 	156.208 	325.845 	202.99 	251.046 	223.928 	362.128 	
7.7149 	-0.00838237 	-0.638418 	0.909973 	1.37776 	-0.272655 	2.42278 	90.186 	155.726 	325.341 	203.492 	251.571 	224.412 	362.629 	
7.81772 	-0.0060797 	-0.645255 	0.900115 	1.39703 	-0.272902 	2.40975 	90.186 	155.241 	324.834 	203.986 	252.072 	224.916 	363.119 	
7.92124 	-0.00375452 	-0.651887 	0.890223 	1.41614 	-0.273157 	2.39659 	90.1862 	154.679 	324.294 	204.534 	252.605 	225.477 	363.664 	
8.02388 	-0.00140796 	-0.658315 	0.880301 	1.43507 	-0.273424 	2.38331 	90.1862 	154.206 	323.791 	205.02 	253.123 	225.973 	364.157 	
8.12709 	0.000958711 	-0.66454 	0.870354 	1.45382 	-0.273703 	2.36989 	90.1861 	153.696 	323.296 	205.531 	253.629 	226.481 	364.658 	
8.23488 	0.00334433 	-0.670562 	0.860387 	1.47241 	-0.273998 	2.35636 	90.1861 	153.161 	322.742 	206.075 	254.154 	227.02 	365.219 	
8.33743 	0.0057477 	-0.676385 	0.850404 	1.49082 	-0.274308 	2.34269 	90.1864 	152.657 	322.301 	206.511 	254.622 	227.481 	365.685 	
8.44035 	0.00816784 	-0.682008 	0.84041 	1.50905 	-0.274637 	2.32891 	90.1861 	152.101 	321.683 	207.13 	255.237 	228.09 	366.274 	
8.54351 	0.0106032 	-0.687433 	0.830408 	1.5271 	-0.274985 	2.31501 	90.1863 	151.58 	321.192 	207.633 	255.705 	228.591 	366.76 	
8.64721 	0.015517 	-0.697699 	0.810402 	1.56267 	-0.275743 	2.28685 	90.1862 	151.107 	320.685 	208.13 	256.211 	229.072 	367.263 	
8.75116 	0.0179929 	-0.702542 	0.800404 	1.58017 	-0.276156 	2.2726 	90.1868 	150.584 	320.141 	208.661 	256.788 	229.645 	367.815 	
8.85433 	0.0204801 	-0.707194 	0.790417 	1.5975 	-0.276593 	2.25823 	90.1867 	150.084 	319.633 	209.174 	257.267 	230.138 	368.311 	
8.95708 	0.0229775 	-0.711658 	0.780443 	1.61463 	-0.277055 	2.24376 	90.1887 	149.574 	319.143 	209.662 	257.779 	230.64 	368.825 	
9.06058 	0.0254845 	-0.715936 	0.770487 	1.63158 	-0.277542 	2.22917 	90.1887 	149.04 	318.585 	210.221 	258.35 	231.205 	369.374 	
9.16366 	0.0279998 	-0.720029 	0.760551 	1.64833 	-0.278055 	2.21448 	90.1875 	148.55 	318.076 	210.724 	258.828 	231.685 	369.852 	
9.27029 	0.0305222 	-0.72394 	0.750641 	1.6649 	-0.278596 	2.19968 	90.1914 	147.992 	317.54 	211.269 	259.387 	232.254 	370.409 	
9.37338 	0.0330515 	-0.727672 	0.740759 	1.68127 	-0.279164 	2.18478 	90.1909 	147.492 	317.031 	211.765 	259.906 	232.75 	370.91 	
9.47632 	0.0355864 	-0.731225 	0.730909 	1.69745 	-0.279759 	2.16978 	90.1906 	146.995 	316.532 	212.272 	260.384 	233.244 	371.406 	
9.57935 	0.0381259 	-0.734604 	0.721094 	1.71343 	-0.280383 	2.15467 	90.1892 	146.454 	315.971 	212.827 	260.921 	233.736 	371.92 	
9.6823 	0.0406696 	-0.73781 	0.711318 	1.72922 	-0.281033 	2.13948 	90.1918 	145.949 	315.486 	213.317 	261.46 	234.319 	372.466 	
9.78527 	0.0432164 	-0.740846 	0.701584 	1.7448 	-0.281712 	2.12418 	90.1858 	145.484 	314.965 	213.828 	261.94 	234.797 	372.951 	
9.88825 	0.0457656 	-0.743715 	0.691895 	1.76019 	-0.282418 	2.1088 	90.1875 	145 	314.484 	214.308 	262.418 	235.305 	373.455 	
9.99121 	0.0483166 	-0.746419 	0.682254 	1.77538 	-0.283152 	2.09332 	90.1875 	144.45 	313.93 	214.865 	263 	235.85 	374.008 	
10.0944 	0.0511236 	-0.749205 	0.671707 	1.79185 	-0.28399 	2.0762 	90.1891 	143.967 	313.422 	215.357 	263.503 	236.357 	374.5 	
10.1975 	0.0534205 	-0.751342 	0.663126 	1.80515 	-0.2847 	2.06211 	90.1907 	143.462 	312.922 	215.868 	263.976 	236.863 	375.013 	
10.3004 	0.0559722 	-0.753567 	0.653646 	1.81973 	-0.285513 	2.04638 	90.1902 	142.917 	312.372 	216.412 	264.553 	237.409 	375.577 	
10.4032 	0.0585228 	-0.755638 	0.644225 	1.8341 	-0.286352 	2.03056 	90.1903 	142.406 	311.868 	216.927 	265.059 	237.926 	376.068 	
10.5062 	0.0610718 	-0.757558 	0.634865 	1.84827 	-0.287214 	2.01467 	90.1905 	141.919 	311.37 	217.415 	265.545 	238.422 	376.555 	
10.6094 	0.0636184 	-0.759329 	0.62557 	1.86223 	-0.288101 	1.9987 	90.1868 	141.364 	310.806 	217.981 	266.102 	238.912 	377.06 	
10.7122 	0.0661621 	-0.760955 	0.616341 	1.87598 	-0.28901 	1.98266 	90.1879 	140.907 	310.311 	218.457 	266.619 	239.485 	377.607 	
10.8151 	0.0689565 	-0.762579 	0.606268 	1.89087 	-0.290034 	1.96494 	90.1876 	140.372 	309.813 	218.975 	267.081 	239.981 	378.105 	
10.918 	0.071239 	-0.763781 	0.598091 	1.90286 	-0.290891 	1.95037 	90.1877 	139.875 	309.31 	219.474 	267.591 	240.475 	378.63 	
11.0214 	0.0737708 	-0.764987 	0.589074 	1.91598 	-0.291861 	1.93413 	90.1872 	139.351 	308.756 	220.026 	268.168 	241.038 	379.171 	
11.1245 	0.0762978 	-0.766059 	0.580132 	1.9289 	-0.292848 	1.91782 	90.1879 	138.856 	308.255 	220.522 	268.648 	241.544 	379.648 	
11.227 	0.078819 	-0.767 	0.571267 	1.9416 	-0.293853 	1.90145 	90.1875 	138.341 	307.757 	221.026 	269.147 	242.035 	380.159 	
11.3335 	0.0813348 	-0.767813 	0.56248 	1.95409 	-0.294872 	1.88502 	90.1876 	137.801 	307.201 	221.587 	269.719 	242.6 	380.705 	
11.4377 	0.0840943 	-0.768562 	0.552908 	1.96759 	-0.296009 	1.86688 	90.1878 	137.318 	306.701 	222.076 	270.196 	243.1 	381.202 	
11.5412 	0.0863463 	-0.769064 	0.54515 	1.97844 	-0.296949 	1.85199 	90.188 	136.752 	306.152 	222.637 	270.744 	243.644 	381.771 	
11.6441 	0.089091 	-0.769547 	0.535759 	1.99146 	-0.298109 	1.83374 	90.1882 	136.252 	305.651 	223.127 	271.276 	244.149 	382.27 	
11.7479 	0.0915778 	-0.769864 	0.527312 	2.00308 	-0.299172 	1.8171 	90.188 	135.759 	305.146 	223.64 	271.762 	244.661 	382.754 	
11.8518 	0.0938095 	-0.770052 	0.519783 	2.01335 	-0.300134 	1.80209 	90.1902 	135.239 	304.596 	224.176 	272.294 	245.212 	383.307 	
11.9544 	0.0987442 	-0.77015 	0.503307 	2.03556 	-0.302285 	1.7686 	90.1894 	134.699 	304.085 	224.696 	272.82 	245.714 	383.807 	
12.0574 	0.101198 	-0.77004 	0.495204 	2.04635 	-0.303362 	1.7518 	90.1927 	134.211 	303.596 	225.178 	273.311 	246.228 	384.291 	
12.1608 	0.103643 	-0.769828 	0.487191 	2.05692 	-0.304437 	1.73497 	90.1872 	133.664 	303.035 	225.742 	273.839 	246.747 	384.864 	
12.2639 	0.106079 	-0.769516 	0.479271 	2.06728 	-0.30551 	1.7181 	90.1916 	133.194 	302.539 	226.227 	274.386 	247.251 	385.372 	
12.3703 	0.108504 	-0.769106 	0.471443 	2.07742 	-0.306577 	1.70121 	90.1875 	132.633 	301.971 	226.798 	274.924 	247.818 	385.906 	
12.4736 	0.11092 	-0.768603 	0.463709 	2.08736 	-0.307637 	1.68429 	90.1919 	132.14 	301.476 	227.291 	275.41 	248.328 	386.412 	
