time (NSec) 	Kinova Tip Position (t_x) 	t_y 	t_z 	Kinova Tip Angle (theta_x) 	Kinova Tip Angle (theta_y) 	Kinova Tip Angle (theta_z) 	Kinova Joint Angle (j1) 	(j2) 	(j3) 	(j4) 	Kinova Joint Angle (j5) 	(j6) 	(j7)
2.45478 	-0.015996 	-0.607552 	0.663823 	0.440057 	-0.00201999 	-3.13031 	90.95 	143.372 	359.664 	269.488 	0.35142 	280.37 	179.032 	
5.64394 	0.140541 	-0.625581 	0.422115 	0.822686 	0.25707 	-3.03371 	90.1676 	127.958 	344.397 	284.809 	15.5523 	284.734 	194.236 	
8.13657 	0.243199 	-0.654618 	0.362705 	0.85524 	0.421927 	-3.03346 	90.1644 	116.808 	332.814 	274.615 	27.1964 	273.926 	205.91 	
9.56793 	0.294565 	-0.65381 	0.411459 	0.73254 	0.496742 	-3.06091 	90.163 	116.803 	325.731 	267.53 	34.304 	266.888 	212.963 	
33.4072 	-0.0948275 	-0.0485053 	0.349072 	-2.97861 	-0.845966 	0.659997 	90.1628 	116.866 	207.032 	317.591 	152.909 	284.84 	331.528 	
