time (NSec) 	Kinova Tip Position (t_x) 	t_y 	t_z 	Kinova Tip Angle (theta_x) 	Kinova Tip Angle (theta_y) 	Kinova Tip Angle (theta_z) 	Kinova Joint Angle (j1) 	(j2) 	(j3) 	(j4) 	Kinova Joint Angle (j5) 	(j6) 	(j7)
1.5721 	0.142589 	-0.163769 	1.15961 	0.219125 	0.765925 	-0.940345 	52.2104 	174.27 	273.867 	159.989 	212.08 	237.132 	327.656 	
1.67389 	0.150122 	-0.168265 	1.15618 	0.230632 	0.782979 	-0.959262 	52.4666 	174.008 	273.674 	160.154 	212.267 	237.347 	327.831 	
1.77531 	0.170967 	-0.182019 	1.14352 	0.279624 	0.839558 	-1.04362 	53.3189 	173.131 	272.736 	161.069 	214.043 	239.209 	329.392 	
1.87652 	0.190814 	-0.196421 	1.1293 	0.339666 	0.895893 	-1.14032 	54.2792 	172.012 	271.741 	162.052 	216.046 	241.204 	331.581 	
1.97896 	0.209205 	-0.211068 	1.11412 	0.410075 	0.949238 	-1.2462 	55.2746 	171.027 	270.757 	163.05 	218.039 	243.211 	333.552 	
2.08079 	0.226104 	-0.225883 	1.09805 	0.492716 	0.998885 	-1.36317 	56.2634 	170.012 	269.759 	164.06 	220.023 	245.209 	335.544 	
2.18248 	0.241482 	-0.240794 	1.08119 	0.589544 	1.04394 	-1.49323 	57.3703 	168.996 	268.772 	165.041 	222.035 	247.198 	337.551 	
2.28401 	0.255321 	-0.255729 	1.06363 	0.702261 	1.08332 	-1.63811 	58.3576 	167.893 	267.66 	166.161 	224.232 	249.404 	339.547 	
2.38532 	0.267611 	-0.270622 	1.04547 	0.8317 	1.11574 	-1.79866 	59.3621 	166.874 	266.661 	167.16 	226.234 	251.427 	341.759 	
2.48784 	0.278351 	-0.285406 	1.0268 	0.976934 	1.13987 	-1.97399 	60.3633 	165.861 	265.667 	168.164 	228.236 	253.433 	343.736 	
2.5912 	0.287547 	-0.300019 	1.0077 	1.13446 	1.15454 	-2.16059 	61.3605 	164.854 	264.661 	169.162 	230.221 	255.419 	345.765 	
2.69414 	0.295215 	-0.314402 	0.988264 	1.29808 	1.159 	-2.3523 	62.4552 	163.738 	263.573 	170.26 	232.432 	257.392 	347.755 	
2.79613 	0.301377 	-0.3285 	0.968586 	1.46011 	1.1532 	-2.54142 	63.4592 	162.736 	262.567 	171.263 	234.417 	259.64 	349.946 	
2.89773 	0.306062 	-0.342262 	0.948748 	1.61339 	1.13786 	-2.7208 	64.4629 	161.729 	261.57 	172.26 	236.432 	261.633 	351.965 	
3.00069 	0.309305 	-0.355641 	0.928832 	1.75305 	1.11421 	-2.88557 	65.4576 	160.713 	260.566 	173.271 	238.449 	263.601 	353.968 	
3.10335 	0.311147 	-0.368594 	0.908917 	1.87701 	1.08373 	-3.03362 	66.562 	159.613 	259.576 	174.265 	240.431 	265.6 	355.96 	
3.20595 	0.311634 	-0.381082 	0.889078 	1.98536 	1.04788 	3.11813 	67.5617 	158.601 	258.481 	175.371 	242.636 	267.828 	358.159 	
3.30797 	0.310818 	-0.393073 	0.869386 	2.07951 	1.00795 	3.00193 	68.5662 	157.583 	257.473 	176.368 	244.626 	269.815 	360.15 	
3.41004 	0.308753 	-0.404534 	0.849906 	2.16137 	0.964982 	2.89907 	69.5626 	156.578 	256.48 	177.365 	246.623 	271.79 	362.163 	
3.52614 	0.305498 	-0.41544 	0.8307 	2.23291 	0.919814 	2.80761 	70.6641 	155.468 	255.482 	178.372 	248.637 	273.799 	364.148 	
3.62817 	0.301114 	-0.425769 	0.811825 	2.29592 	0.8731 	2.72578 	71.7616 	154.353 	254.283 	179.562 	251.02 	276.223 	366.548 	
3.73014 	0.295664 	-0.435502 	0.793333 	2.35196 	0.825348 	2.65208 	72.7665 	153.355 	253.28 	180.571 	253.02 	278.185 	368.563 	
3.83367 	0.289215 	-0.444624 	0.775271 	2.40229 	0.776957 	2.58524 	73.8667 	152.239 	252.19 	181.568 	255.028 	280.175 	370.547 	
3.9436 	0.281832 	-0.453126 	0.75768 	2.44799 	0.728241 	2.52427 	74.8667 	151.24 	251.192 	182.669 	257.222 	282.403 	372.754 	
4.04552 	0.273583 	-0.460997 	0.740596 	2.4899 	0.679451 	2.46834 	75.9723 	150.124 	250.079 	183.78 	259.429 	284.437 	374.754 	
4.148 	0.258695 	-0.481502 	0.715824 	2.52001 	0.600414 	2.39424 	76.9653 	149.124 	249.096 	184.765 	261.434 	284.889 	376.961 	
4.25263 	0.251768 	-0.493452 	0.706495 	2.51862 	0.567682 	2.36718 	77.9624 	148.119 	248.091 	185.766 	263.421 	284.936 	378.944 	
4.35609 	0.244381 	-0.505111 	0.697347 	2.51714 	0.535448 	2.34003 	79.0754 	147.003 	246.985 	186.864 	265.637 	284.94 	380.961 	
4.45779 	0.23655 	-0.516475 	0.688386 	2.51556 	0.503705 	2.3128 	80.0688 	145.996 	245.988 	187.863 	267.636 	284.943 	383.182 	
4.55942 	0.227443 	-0.52863 	0.678753 	2.51369 	0.469345 	2.28281 	81.0773 	144.988 	244.986 	188.871 	269.645 	284.944 	385.191 	
4.66098 	0.219622 	-0.538304 	0.671048 	2.51204 	0.441659 	2.25826 	82.0757 	143.987 	243.994 	189.867 	271.612 	284.945 	387.16 	
4.76376 	0.210554 	-0.548762 	0.662678 	2.51007 	0.411337 	2.23098 	83.1656 	142.89 	242.903 	190.854 	273.612 	284.946 	389.164 	
4.86608 	0.201104 	-0.558913 	0.654512 	2.50796 	0.381467 	2.20374 	84.1568 	141.878 	241.904 	191.946 	275.796 	284.947 	391.349 	
4.96804 	0.191283 	-0.568752 	0.64655 	2.50569 	0.352037 	2.17656 	85.163 	140.868 	240.914 	192.946 	277.799 	284.947 	393.352 	
5.07016 	0.181104 	-0.578276 	0.638795 	2.50327 	0.323033 	2.14945 	86.1585 	139.864 	239.913 	193.946 	279.791 	284.947 	395.342 	
5.17589 	0.170579 	-0.587482 	0.631247 	2.5007 	0.294439 	2.12244 	87.2721 	138.744 	238.799 	195.047 	282.023 	284.947 	397.368 	
5.27867 	0.15972 	-0.596365 	0.623905 	2.49797 	0.266241 	2.09556 	88.2655 	137.74 	237.823 	196.04 	283.991 	284.948 	399.544 	
5.38095 	0.148535 	-0.604922 	0.61677 	2.49508 	0.238419 	2.06881 	89.2618 	136.738 	236.818 	197.031 	285.982 	284.948 	401.549 	
5.48347 	0.14238 	-0.611929 	0.609839 	2.49355 	0.21623 	2.03512 	89.9197 	135.63 	235.822 	198.02 	287.982 	284.948 	403.54 	
5.58547 	0.141441 	-0.617547 	0.603111 	2.49291 	0.199692 	1.99461 	89.972 	134.625 	234.722 	199.126 	290.18 	284.948 	405.746 	
5.68854 	0.140433 	-0.623053 	0.596584 	2.4915 	0.183544 	1.95448 	89.9772 	133.626 	233.724 	200.118 	292.167 	284.948 	407.746 	
5.79126 	0.139351 	-0.628452 	0.590254 	2.48938 	0.167781 	1.91472 	89.9778 	132.623 	232.721 	201.13 	294.176 	284.948 	409.748 	
5.89416 	0.138194 	-0.633745 	0.584118 	2.48656 	0.152399 	1.87535 	89.9837 	131.511 	231.626 	202.217 	296.154 	284.948 	411.741 	
5.99629 	0.136958 	-0.638934 	0.578173 	2.48307 	0.137389 	1.83638 	89.9835 	130.51 	230.633 	203.218 	298.357 	284.948 	413.961 	
