time (NSec) 	Kinova Tip Position (t_x) 	t_y 	t_z 	Kinova Tip Angle (theta_x) 	Kinova Tip Angle (theta_y) 	Kinova Tip Angle (theta_z) 	Kinova Joint Angle (j1) 	(j2) 	(j3) 	(j4) 	Kinova Joint Angle (j5) 	(j6) 	(j7)
1.75767 	-0.00382885 	-0.485827 	-0.243207 	1.76559 	0.0102576 	-3.10796 	90.1569 	62.3618 	-0.591113 	268.847 	360.634 	284.635 	539.161 	
1.78212 	-0.00382885 	-0.485827 	-0.243207 	1.76559 	0.0102576 	-3.10796 	90.1569 	62.3619 	-0.591113 	268.847 	360.634 	284.635 	539.161 	
1.88749 	-0.00382262 	-0.486646 	-0.241981 	1.76491 	0.0102848 	-3.11215 	90.1569 	62.4339 	-0.591113 	268.937 	360.634 	284.635 	539.187 	
1.98945 	-0.00379894 	-0.488267 	-0.238791 	1.76491 	0.0103815 	-3.12084 	90.1569 	62.7762 	-0.591113 	269.322 	360.634 	284.635 	539.547 	
2.09163 	-0.00377542 	-0.48986 	-0.235587 	1.76491 	0.0104784 	-3.12536 	90.1569 	63.2329 	-0.591113 	269.799 	360.634 	284.635 	539.741 	
2.1934 	-0.00375208 	-0.491426 	-0.232368 	1.7649 	0.0105756 	-3.12533 	90.157 	63.7924 	-0.591016 	270.346 	360.634 	284.635 	539.776 	
2.29547 	-0.00372892 	-0.492963 	-0.229136 	1.7649 	0.010673 	-3.12531 	90.1568 	64.2783 	-0.591113 	270.849 	360.634 	284.635 	539.786 	
2.39754 	-0.00370593 	-0.494471 	-0.225891 	1.7649 	0.0107706 	-3.12528 	90.1566 	64.7938 	-0.591113 	271.347 	360.634 	284.635 	539.788 	
2.49953 	-0.00368313 	-0.495952 	-0.222632 	1.76489 	0.0108684 	-3.12526 	90.1567 	65.266 	-0.591113 	271.846 	360.634 	284.635 	539.79 	
2.60133 	-0.0036605 	-0.497404 	-0.219361 	1.76489 	0.0109664 	-3.12524 	90.1567 	65.7863 	-0.591113 	272.345 	360.634 	284.635 	539.79 	
2.70363 	-0.00363805 	-0.498827 	-0.216077 	1.76489 	0.0110646 	-3.12522 	90.1567 	66.3199 	-0.591113 	272.893 	360.634 	284.635 	539.791 	
2.80551 	-0.0036158 	-0.500222 	-0.212781 	1.76488 	0.0111629 	-3.1252 	90.1566 	66.8321 	-0.591113 	273.397 	360.634 	284.635 	539.791 	
2.90769 	-0.00359372 	-0.501588 	-0.209473 	1.76488 	0.0112615 	-3.12518 	90.1567 	67.3197 	-0.591113 	273.897 	360.634 	284.635 	539.792 	
3.00965 	-0.00357183 	-0.502925 	-0.206154 	1.76488 	0.0113602 	-3.12516 	90.1567 	67.8181 	-0.591113 	274.397 	360.634 	284.635 	539.792 	
3.11173 	-0.00355013 	-0.504233 	-0.202822 	1.76487 	0.0114591 	-3.12514 	90.1567 	68.3277 	-0.591113 	274.896 	360.634 	284.635 	539.792 	
3.21355 	-0.00352863 	-0.505511 	-0.19948 	1.76487 	0.0115581 	-3.12512 	90.1566 	68.8609 	-0.591113 	275.448 	360.634 	284.635 	539.792 	
3.31547 	-0.00350731 	-0.506761 	-0.196126 	1.76486 	0.0116573 	-3.12511 	90.1567 	69.375 	-0.591113 	275.943 	360.634 	284.635 	539.792 	
3.41761 	-0.00348619 	-0.507981 	-0.192761 	1.76486 	0.0117566 	-3.12509 	90.1567 	69.8512 	-0.591113 	276.448 	360.634 	284.635 	539.793 	
3.51995 	-0.00346527 	-0.509172 	-0.189387 	1.76486 	0.011856 	-3.12508 	90.1566 	70.3746 	-0.591113 	276.944 	360.634 	284.635 	539.793 	
3.62768 	-0.00344454 	-0.510334 	-0.186001 	1.76485 	0.0119556 	-3.12506 	90.1566 	70.8987 	-0.591113 	277.499 	360.634 	284.635 	539.793 	
3.73075 	-0.00342401 	-0.511465 	-0.182606 	1.76485 	0.0120553 	-3.12505 	90.1568 	71.3699 	-0.591113 	277.942 	360.634 	284.635 	539.793 	
