time (NSec) 	Kinova Tip Position (t_x) 	t_y 	t_z 	Kinova Tip Angle (theta_x) 	Kinova Tip Angle (theta_y) 	Kinova Tip Angle (theta_z) 	Kinova Joint Angle (j1) 	(j2) 	(j3) 	(j4) 	Kinova Joint Angle (j5) 	(j6) 	(j7)
0.0339053 	-0.0479597 	-0.532825 	-0.172119 	2.02303 	-0.0480147 	2.1441 	275.19 	275.312 	179.743 	284.96 	1.84545 	264.91 	239.589 	
0.137041 	-0.0441273 	-0.536516 	-0.168943 	2.01218 	-0.0406472 	2.14135 	274.979 	275.102 	179.504 	284.709 	2.08693 	265.266 	239.796 	
0.240114 	-0.0216523 	-0.555473 	-0.149359 	1.94518 	0.00770208 	2.11621 	274.132 	274.18 	178.647 	283.822 	3.77912 	267.046 	241.447 	
0.343352 	0.00243523 	-0.572903 	-0.127172 	1.87231 	0.0605151 	2.09034 	273.08 	273.088 	177.573 	282.73 	5.94886 	269.265 	243.59 	
0.446291 	0.0266566 	-0.588066 	-0.103785 	1.79855 	0.112367 	2.06973 	272.054 	272.066 	176.549 	281.727 	7.97912 	271.283 	245.597 	
0.549279 	0.0508483 	-0.600911 	-0.0793381 	1.72347 	0.162807 	2.05443 	271.04 	271.073 	175.537 	280.716 	9.96562 	273.257 	247.585 	
0.652479 	0.0748471 	-0.611408 	-0.053975 	1.64664 	0.21136 	2.04454 	269.971 	269.947 	174.437 	279.607 	12.171 	275.482 	249.794 	
0.755886 	0.0984937 	-0.619547 	-0.0278451 	1.56767 	0.257527 	2.04012 	268.966 	268.954 	173.438 	278.594 	14.1777 	277.488 	251.789 	
0.858153 	0.121633 	-0.625337 	-0.00110148 	1.48622 	0.300784 	2.04121 	267.96 	267.955 	172.433 	277.59 	16.1786 	279.472 	253.792 	
0.961473 	0.144116 	-0.62881 	0.0261005 	1.40204 	0.340584 	2.04782 	266.864 	266.864 	171.323 	276.486 	18.3828 	281.667 	255.801 	
1.06412 	0.165803 	-0.630013 	0.0536052 	1.315 	0.376364 	2.05985 	265.857 	265.852 	170.317 	275.474 	20.3849 	283.659 	257.991 	
1.1665 	0.186723 	-0.629128 	0.0807404 	1.22726 	0.408218 	2.07623 	264.854 	264.84 	169.306 	274.469 	22.3807 	284.932 	259.98 	
1.26913 	0.208895 	-0.627824 	0.101635 	1.16356 	0.444586 	2.08597 	263.857 	263.841 	168.301 	273.462 	24.3916 	285.097 	261.999 	
1.37558 	0.231154 	-0.625477 	0.121143 	1.10398 	0.480864 	2.09565 	262.755 	262.739 	167.19 	272.358 	26.5913 	285.134 	264.205 	
1.47828 	0.252911 	-0.621738 	0.140883 	1.04137 	0.514637 	2.10812 	261.762 	261.738 	166.194 	271.354 	28.5912 	285.137 	266.189 	
1.58277 	0.274099 	-0.616636 	0.160797 	0.975672 	0.54564 	2.12342 	260.663 	260.632 	165.084 	270.248 	30.7832 	285.137 	268.401 	
1.68731 	0.294659 	-0.610205 	0.180825 	0.906911 	0.5736 	2.14148 	259.662 	259.63 	164.078 	269.332 	32.7722 	285.138 	270.395 	
1.79323 	0.334105 	-0.589715 	0.216316 	0.777668 	0.626694 	2.18604 	258.567 	258.52 	162.969 	268.856 	34.9841 	285.138 	272.592 	
1.89514 	0.352858 	-0.576192 	0.232075 	0.715253 	0.651643 	2.21298 	257.57 	257.532 	161.962 	268.772 	36.9903 	285.138 	274.595 	
1.99718 	0.370775 	-0.56165 	0.247784 	0.649426 	0.673335 	2.24292 	256.573 	256.518 	160.963 	268.756 	38.9849 	285.138 	276.586 	
2.0992 	0.387807 	-0.546134 	0.263407 	0.580429 	0.69148 	2.2756 	255.568 	255.536 	159.96 	268.754 	40.9686 	285.138 	278.596 	
2.20247 	0.40391 	-0.529691 	0.278908 	0.508628 	0.705806 	2.31065 	254.465 	254.423 	158.855 	268.752 	43.1723 	285.138 	280.79 	
2.30534 	0.419041 	-0.512372 	0.294252 	0.434517 	0.716073 	2.34759 	253.461 	253.431 	157.844 	268.751 	45.1815 	285.138 	282.781 	
2.41225 	0.433163 	-0.49423 	0.309404 	0.358705 	0.722091 	2.38578 	252.354 	252.329 	156.738 	268.749 	47.3618 	285.138 	285.014 	
2.51462 	0.446241 	-0.475323 	0.32433 	0.281894 	0.723727 	2.42452 	251.359 	251.334 	155.725 	268.748 	49.3764 	285.138 	287.007 	
2.61785 	0.458245 	-0.45571 	0.338997 	0.204834 	0.720918 	2.46305 	250.35 	250.332 	154.731 	268.748 	51.3625 	285.138 	289.001 	
2.72088 	0.469149 	-0.435453 	0.35337 	0.128284 	0.713673 	2.5006 	249.251 	249.238 	153.622 	268.747 	53.3716 	285.138 	290.994 	
2.82374 	0.478931 	-0.414615 	0.36742 	0.0529559 	0.702071 	2.53643 	248.248 	248.247 	152.624 	268.746 	55.5619 	285.138 	293.21 	
2.9268 	0.487573 	-0.393263 	0.381114 	-0.020518 	0.686253 	2.56989 	247.253 	247.242 	151.615 	268.745 	57.5565 	285.138 	295.191 	
3.02971 	0.495062 	-0.371464 	0.394425 	-0.0916199 	0.666419 	2.60044 	246.249 	246.252 	150.613 	268.743 	59.5405 	285.138 	297.211 	
3.13277 	0.50139 	-0.349286 	0.407323 	-0.159961 	0.642802 	2.62767 	245.151 	245.154 	149.511 	268.734 	61.7425 	285.138 	299.402 	
3.23604 	0.506552 	-0.326798 	0.419781 	-0.225281 	0.615666 	2.65127 	244.151 	244.156 	148.505 	268.723 	63.7344 	285.138 	301.416 	
3.33856 	0.510549 	-0.304071 	0.431776 	-0.287443 	0.585289 	2.6711 	243.153 	243.153 	147.499 	268.719 	65.7206 	285.138 	303.399 	
3.44177 	0.513386 	-0.281173 	0.443282 	-0.346417 	0.55195 	2.68706 	242.056 	242.076 	146.39 	268.719 	67.9286 	285.138 	305.381 	
