time (NSec) 	Kinova Tip Position (t_x) 	t_y 	t_z 	Kinova Tip Angle (theta_x) 	Kinova Tip Angle (theta_y) 	Kinova Tip Angle (theta_z) 	Kinova Joint Angle (j1) 	(j2) 	(j3) 	(j4) 	Kinova Joint Angle (j5) 	(j6) 	(j7)
0.0264521 	-0.00383036 	-0.485763 	-0.243215 	1.76538 	0.0102515 	-3.10831 	90.1274 	63.1656 	-0.603711 	268.904 	360.829 	285.138 	539.208 	
0.0687797 	-0.0038306 	-0.485937 	-0.243052 	1.76505 	0.0102515 	-3.10866 	90.1274 	63.1659 	-0.603711 	268.904 	360.829 	285.138 	539.209 	
0.0880401 	-0.0038306 	-0.485937 	-0.243052 	1.76505 	0.0102515 	-3.10866 	90.1274 	63.1658 	-0.603711 	268.904 	360.829 	285.138 	539.209 	
0.191635 	-0.00381493 	-0.486901 	-0.241233 	1.7654 	0.0103148 	-3.11668 	90.1274 	63.3797 	-0.603711 	269.108 	360.829 	285.138 	539.432 	
0.294806 	-0.00376783 	-0.490098 	-0.234831 	1.76539 	0.0105086 	-3.12535 	90.1273 	64.3461 	-0.603809 	269.92 	360.829 	285.138 	539.686 	
0.397778 	-0.00372142 	-0.493184 	-0.228375 	1.76539 	0.0107033 	-3.1253 	90.1274 	65.3034 	-0.603711 	270.988 	360.829 	285.138 	539.695 	
0.5008 	-0.00367573 	-0.496157 	-0.221866 	1.76539 	0.0108989 	-3.12525 	90.1274 	66.3154 	-0.603711 	271.979 	360.829 	285.138 	539.696 	
0.603655 	-0.00363075 	-0.499015 	-0.215306 	1.76539 	0.0110953 	-3.12521 	90.1274 	67.3207 	-0.603711 	272.982 	360.829 	285.138 	539.697 	
0.707115 	-0.00358652 	-0.501759 	-0.208697 	1.76539 	0.0112924 	-3.12517 	90.1274 	68.4144 	-0.603711 	274.075 	360.829 	285.138 	539.698 	
0.809663 	-0.00354304 	-0.504386 	-0.202042 	1.76539 	0.0114901 	-3.12513 	90.1268 	69.4247 	-0.603809 	275.076 	360.829 	285.138 	539.698 	
0.912627 	-0.00350033 	-0.506898 	-0.195341 	1.76539 	0.0116885 	-3.1251 	90.1197 	70.4143 	-0.603516 	276.072 	360.829 	285.138 	539.699 	
1.01553 	-0.00345839 	-0.509291 	-0.188598 	1.76539 	0.0118874 	-3.12507 	90.1239 	71.5312 	-0.603418 	277.18 	360.829 	285.138 	539.699 	
1.11875 	-0.00341725 	-0.511567 	-0.181814 	1.76539 	0.0120868 	-3.12505 	90.1262 	72.5439 	-0.603809 	278.173 	360.829 	285.138 	539.699 	
1.22196 	-0.00337691 	-0.513724 	-0.174991 	1.76539 	0.0122866 	-3.12502 	90.1246 	73.546 	-0.604102 	279.176 	360.829 	285.138 	539.699 	
1.32466 	-0.00333738 	-0.515762 	-0.168132 	1.76539 	0.0124868 	-3.125 	90.1245 	74.6229 	-0.603613 	280.183 	360.829 	285.138 	539.7 	
1.42774 	-0.00329869 	-0.517679 	-0.161238 	1.76539 	0.0126872 	-3.12499 	90.1245 	75.6688 	-0.603516 	281.274 	360.829 	285.138 	539.7 	
1.53107 	-0.00326083 	-0.519477 	-0.154311 	1.76539 	0.0128879 	-3.12498 	90.1241 	76.7147 	-0.603906 	282.269 	360.829 	285.138 	539.7 	
1.63907 	-0.00322383 	-0.521152 	-0.147355 	1.76539 	0.0130888 	-3.12497 	90.1241 	77.8337 	-0.603711 	283.372 	360.829 	285.138 	539.7 	
1.74177 	-0.00318769 	-0.522707 	-0.14037 	1.76539 	0.0132898 	-3.12496 	90.1249 	78.7904 	-0.603418 	284.378 	360.829 	285.138 	539.7 	
