time (NSec) 	Kinova Tip Position (t_x) 	t_y 	t_z 	Kinova Tip Angle (theta_x) 	Kinova Tip Angle (theta_y) 	Kinova Tip Angle (theta_z) 	Kinova Joint Angle (j1) 	(j2) 	(j3) 	(j4) 	Kinova Joint Angle (j5) 	(j6) 	(j7)
1.5515 	-0.00383052 	-0.485876 	-0.243109 	1.76517 	0.0102515 	-3.10796 	90.1566 	62.3629 	-0.591113 	268.846 	360.635 	285.028 	539.159 	
1.57415 	-0.00383052 	-0.485876 	-0.243109 	1.76517 	0.0102515 	-3.10796 	90.1566 	62.363 	-0.591113 	268.846 	360.635 	285.028 	539.16 	
1.67816 	-0.00382175 	-0.486563 	-0.242012 	1.76516 	0.0102876 	-3.11214 	90.1566 	62.4368 	-0.591113 	268.947 	360.635 	285.028 	539.189 	
1.78154 	-0.00379807 	-0.488184 	-0.238822 	1.76516 	0.0103843 	-3.12084 	90.1566 	62.781 	-0.591113 	269.339 	360.635 	285.028 	539.553 	
1.88461 	-0.00377457 	-0.489777 	-0.235617 	1.76516 	0.0104813 	-3.12536 	90.1566 	63.239 	-0.591113 	269.812 	360.635 	285.028 	539.744 	
1.98755 	-0.00375123 	-0.491342 	-0.232399 	1.76516 	0.0105785 	-3.12533 	90.1566 	63.8016 	-0.591113 	270.359 	360.635 	285.028 	539.781 	
2.09059 	-0.00372808 	-0.492879 	-0.229167 	1.76515 	0.0106758 	-3.12531 	90.1566 	64.2826 	-0.591113 	270.861 	360.635 	285.028 	539.788 	
2.19366 	-0.0037051 	-0.494388 	-0.225921 	1.76515 	0.0107734 	-3.12528 	90.1566 	64.7995 	-0.591113 	271.363 	360.635 	285.028 	539.79 	
2.29677 	-0.00368229 	-0.495869 	-0.222663 	1.76515 	0.0108713 	-3.12526 	90.1566 	65.3218 	-0.591113 	271.914 	360.635 	285.028 	539.791 	
2.39966 	-0.00365968 	-0.497321 	-0.219392 	1.76514 	0.0109693 	-3.12524 	90.1566 	65.8398 	-0.591113 	272.411 	360.635 	285.028 	539.792 	
2.50264 	-0.00363724 	-0.498744 	-0.216108 	1.76514 	0.0110675 	-3.12522 	90.1566 	66.3229 	-0.591113 	272.911 	360.635 	285.028 	539.792 	
2.60555 	-0.00361498 	-0.500139 	-0.212812 	1.76513 	0.0111658 	-3.12519 	90.1566 	66.8835 	-0.591113 	273.411 	360.635 	285.028 	539.793 	
2.7085 	-0.00359291 	-0.501505 	-0.209504 	1.76513 	0.0112644 	-3.12517 	90.1566 	67.3679 	-0.591113 	273.964 	360.635 	285.028 	539.793 	
2.81177 	-0.00357103 	-0.502841 	-0.206184 	1.76513 	0.0113631 	-3.12516 	90.1566 	67.8719 	-0.591113 	274.457 	360.635 	285.028 	539.794 	
2.92048 	-0.00354934 	-0.504149 	-0.202853 	1.76512 	0.011462 	-3.12514 	90.1566 	68.4188 	-0.591113 	275.009 	360.635 	285.028 	539.794 	
3.02356 	-0.00352784 	-0.505428 	-0.19951 	1.76512 	0.011561 	-3.12512 	90.1566 	68.9135 	-0.591113 	275.509 	360.635 	285.028 	539.795 	
3.12913 	-0.00350653 	-0.506678 	-0.196157 	1.76512 	0.0116602 	-3.1251 	90.1566 	69.469 	-0.591113 	276.059 	360.635 	285.028 	539.795 	
3.23257 	-0.00348332 	-0.508018 	-0.192455 	1.76511 	0.0117695 	-3.12509 	90.1566 	69.955 	-0.591113 	276.561 	360.635 	285.028 	539.795 	
3.33618 	-0.00344378 	-0.51025 	-0.186032 	1.76511 	0.0119585 	-3.12506 	90.1566 	70.5231 	-0.591113 	277.106 	360.635 	285.028 	539.795 	
3.43942 	-0.00342326 	-0.511382 	-0.182637 	1.7651 	0.0120582 	-3.12505 	90.1566 	71.0013 	-0.591113 	277.613 	360.635 	285.028 	539.796 	
3.54237 	-0.00340293 	-0.512484 	-0.179232 	1.7651 	0.012158 	-3.12504 	90.1566 	71.5206 	-0.591113 	278.109 	360.635 	285.028 	539.796 	
3.64534 	-0.00338282 	-0.513556 	-0.175818 	1.7651 	0.0122579 	-3.12503 	90.1566 	72.0413 	-0.591113 	278.613 	360.635 	285.028 	539.796 	
3.74835 	-0.0033629 	-0.514599 	-0.172394 	1.76509 	0.0123579 	-3.12502 	90.1566 	72.5651 	-0.591113 	279.159 	360.635 	285.028 	539.796 	
3.85157 	-0.00334319 	-0.515611 	-0.168961 	1.76509 	0.012458 	-3.12501 	90.1566 	73.0404 	-0.591113 	279.66 	360.635 	285.028 	539.796 	
