time (NSec) 	Kinova Tip Position (t_x) 	t_y 	t_z 	Kinova Tip Angle (theta_x) 	Kinova Tip Angle (theta_y) 	Kinova Tip Angle (theta_z) 	Kinova Joint Angle (j1) 	(j2) 	(j3) 	(j4) 	Kinova Joint Angle (j5) 	(j6) 	(j7)
2.03975 	-0.00255779 	-0.519685 	0.147241 	1.66199 	0.0196338 	-3.12691 	90.1612 	116.613 	-0.591113 	317.361 	360.634 	284.632 	539.793 	
2.14217 	-0.00255994 	-0.520541 	0.145677 	1.66164 	0.0195848 	-3.12687 	90.1612 	116.566 	-0.591113 	317.257 	360.634 	284.632 	539.793 	
2.24522 	-0.00256183 	-0.52215 	0.142481 	1.66164 	0.0194995 	-3.12682 	90.1612 	116.183 	-0.591113 	316.824 	360.634 	284.632 	539.793 	
2.34852 	-0.00256399 	-0.523731 	0.139271 	1.66164 	0.0194138 	-3.12677 	90.1613 	115.702 	-0.591113 	316.331 	360.634 	284.632 	539.793 	
2.45616 	-0.00256642 	-0.525284 	0.136047 	1.66165 	0.0193276 	-3.12671 	90.1612 	115.158 	-0.591113 	315.789 	360.634 	284.632 	539.793 	
2.55896 	-0.00256911 	-0.526809 	0.13281 	1.66165 	0.0192409 	-3.12666 	90.1612 	114.653 	-0.591113 	315.284 	360.634 	284.632 	539.793 	
2.66197 	-0.00257208 	-0.528305 	0.12956 	1.66165 	0.0191539 	-3.12661 	90.1612 	114.157 	-0.591113 	314.787 	360.634 	284.632 	539.793 	
2.76494 	-0.00257532 	-0.529773 	0.126297 	1.66165 	0.0190664 	-3.12656 	90.1612 	113.599 	-0.591113 	314.238 	360.634 	284.632 	539.793 	
2.86834 	-0.00257882 	-0.531213 	0.123021 	1.66166 	0.0189784 	-3.12652 	90.1612 	113.1 	-0.591113 	313.735 	360.634 	284.632 	539.793 	
2.97116 	-0.00258259 	-0.532624 	0.119733 	1.66166 	0.0188901 	-3.12647 	90.1612 	112.596 	-0.591113 	313.234 	360.634 	284.632 	539.793 	
3.07426 	-0.00258663 	-0.534006 	0.116432 	1.66166 	0.0188013 	-3.12642 	90.1612 	112.052 	-0.591113 	312.737 	360.634 	284.632 	539.793 	
3.1773 	-0.00259094 	-0.535359 	0.11312 	1.66166 	0.0187121 	-3.12637 	90.1612 	111.542 	-0.591113 	312.187 	360.634 	284.632 	539.793 	
3.28029 	-0.00259551 	-0.536683 	0.109795 	1.66167 	0.0186225 	-3.12633 	90.1612 	111.041 	-0.591113 	311.683 	360.634 	284.632 	539.793 	
3.38339 	-0.00260036 	-0.537979 	0.10646 	1.66167 	0.0185325 	-3.12628 	90.1612 	110.539 	-0.591113 	311.183 	360.634 	284.632 	539.793 	
3.48642 	-0.00260547 	-0.539245 	0.103113 	1.66167 	0.0184422 	-3.12624 	90.1612 	109.986 	-0.591113 	310.634 	360.634 	284.632 	539.793 	
3.58901 	-0.00261084 	-0.540481 	0.0997554 	1.66167 	0.0183514 	-3.1262 	90.1612 	109.489 	-0.591113 	310.136 	360.634 	284.632 	539.793 	
3.69645 	-0.00261648 	-0.541689 	0.0963871 	1.66167 	0.0182603 	-3.12615 	90.1612 	108.934 	-0.591113 	309.584 	360.634 	284.632 	539.793 	
3.7992 	-0.00262239 	-0.542867 	0.0930083 	1.66168 	0.0181688 	-3.12611 	90.1612 	108.439 	-0.591113 	309.085 	360.634 	284.632 	539.793 	
3.90198 	-0.00262856 	-0.544015 	0.0896193 	1.66168 	0.018077 	-3.12607 	90.1612 	107.932 	-0.591113 	308.583 	360.634 	284.632 	539.793 	
4.00695 	-0.00264169 	-0.546224 	0.0828119 	1.66168 	0.0178922 	-3.12599 	90.1612 	107.387 	-0.591113 	308.037 	360.634 	284.632 	539.793 	
4.11102 	-0.00264866 	-0.547283 	0.0793941 	1.66169 	0.0177994 	-3.12595 	90.1612 	106.88 	-0.591113 	307.539 	360.634 	284.632 	539.793 	
4.21308 	-0.00265588 	-0.548313 	0.0759671 	1.66169 	0.0177062 	-3.12592 	90.1612 	106.383 	-0.591113 	307.037 	360.634 	284.632 	539.793 	
4.31592 	-0.00266337 	-0.549312 	0.0725311 	1.66169 	0.0176126 	-3.12588 	90.1612 	105.828 	-0.591113 	306.486 	360.634 	284.632 	539.793 	
4.41818 	-0.00267112 	-0.550282 	0.0690867 	1.6617 	0.0175188 	-3.12584 	90.1612 	105.327 	-0.591113 	305.984 	360.634 	284.632 	539.793 	
4.52136 	-0.00267913 	-0.551221 	0.065634 	1.6617 	0.0174246 	-3.12581 	90.1612 	104.825 	-0.591113 	305.492 	360.634 	284.632 	539.793 	
4.62431 	-0.0026874 	-0.552131 	0.062173 	1.6617 	0.0173301 	-3.12577 	90.1612 	104.275 	-0.591113 	304.984 	360.634 	284.632 	539.793 	
4.7271 	-0.00269594 	-0.55301 	0.0587044 	1.6617 	0.0172354 	-3.12574 	90.1612 	103.777 	-0.591113 	304.435 	360.634 	284.632 	539.793 	
4.83018 	-0.00270473 	-0.553858 	0.0552281 	1.66171 	0.0171403 	-3.12571 	90.1612 	103.271 	-0.591113 	303.933 	360.634 	284.632 	539.793 	
4.93336 	-0.00271378 	-0.554677 	0.0517445 	1.66171 	0.017045 	-3.12568 	90.1612 	102.771 	-0.591113 	303.442 	360.634 	284.632 	539.793 	
5.03649 	-0.00272308 	-0.555465 	0.048254 	1.66171 	0.0169494 	-3.12565 	90.1612 	102.221 	-0.591113 	302.885 	360.634 	284.632 	539.793 	
5.13921 	-0.00273265 	-0.556222 	0.0447566 	1.66171 	0.0168535 	-3.12562 	90.1612 	101.723 	-0.591113 	302.387 	360.634 	284.632 	539.793 	
5.24235 	-0.00274247 	-0.556949 	0.0412528 	1.66172 	0.0167574 	-3.12559 	90.1612 	101.215 	-0.591113 	301.885 	360.634 	284.632 	539.793 	
5.34524 	-0.00275255 	-0.557646 	0.0377429 	1.66172 	0.016661 	-3.12556 	90.1612 	100.668 	-0.591113 	301.338 	360.634 	284.632 	539.793 	
5.44827 	-0.00276288 	-0.558311 	0.0342269 	1.66172 	0.0165644 	-3.12553 	90.1612 	100.166 	-0.591113 	300.84 	360.634 	284.632 	539.793 	
5.5562 	-0.00277347 	-0.558946 	0.0307053 	1.66172 	0.0164675 	-3.1255 	90.1612 	99.6175 	-0.591113 	300.289 	360.634 	284.632 	539.793 	
5.6593 	-0.00278431 	-0.559551 	0.0271782 	1.66173 	0.0163704 	-3.12548 	90.1612 	99.1112 	-0.591113 	299.787 	360.634 	284.632 	539.793 	
5.76207 	-0.0027954 	-0.560124 	0.0236459 	1.66173 	0.0162731 	-3.12545 	90.1612 	98.6143 	-0.591113 	299.29 	360.634 	284.632 	539.793 	
5.86532 	-0.00280674 	-0.560667 	0.0201088 	1.66173 	0.0161756 	-3.12543 	90.1612 	98.0643 	-0.591113 	298.741 	360.634 	284.632 	539.793 	
5.9681 	-0.00281834 	-0.561178 	0.0165672 	1.66174 	0.0160778 	-3.1254 	90.1612 	97.5644 	-0.591113 	298.236 	360.634 	284.632 	539.793 	
6.07134 	-0.00283018 	-0.561659 	0.013021 	1.66174 	0.0159799 	-3.12538 	90.1612 	97.0622 	-0.591113 	297.737 	360.634 	284.632 	539.793 	
6.17424 	-0.00284228 	-0.562109 	0.00947095 	1.66174 	0.0158818 	-3.12536 	90.1612 	96.511 	-0.591113 	297.235 	360.634 	284.632 	539.793 	
6.27745 	-0.00285462 	-0.562528 	0.00591703 	1.66174 	0.0157835 	-3.12534 	90.1612 	96.0093 	-0.591113 	296.692 	360.634 	284.632 	539.793 	
6.38035 	-0.00286721 	-0.562916 	0.0023596 	1.66175 	0.015685 	-3.12532 	90.1612 	95.5123 	-0.591113 	296.19 	360.634 	284.632 	539.793 	
6.48326 	-0.00288005 	-0.563272 	-0.00120107 	1.66175 	0.0155863 	-3.1253 	90.1612 	95.0134 	-0.591113 	295.688 	360.634 	284.632 	539.793 	
6.58638 	-0.00289313 	-0.563598 	-0.00476477 	1.66175 	0.0154875 	-3.12528 	90.1612 	94.459 	-0.591113 	295.136 	360.634 	284.632 	539.793 	
6.68927 	-0.00290646 	-0.563892 	-0.00833116 	1.66176 	0.0153885 	-3.12526 	90.1612 	93.9619 	-0.591113 	294.64 	360.634 	284.632 	539.793 	
6.79607 	-0.00292003 	-0.564156 	-0.0119001 	1.66176 	0.0152893 	-3.12525 	90.1612 	93.4145 	-0.591113 	294.087 	360.634 	284.632 	539.793 	
6.89927 	-0.00293384 	-0.564388 	-0.0154711 	1.66176 	0.0151901 	-3.12523 	90.1612 	92.914 	-0.591113 	293.589 	360.634 	284.632 	539.793 	
7.00303 	-0.00294789 	-0.564589 	-0.019044 	1.66176 	0.0150907 	-3.12522 	90.1612 	92.4071 	-0.591113 	293.087 	360.634 	284.632 	539.793 	
7.10796 	-0.00296218 	-0.564759 	-0.0226185 	1.66177 	0.0149911 	-3.1252 	90.1612 	91.8569 	-0.591113 	292.538 	360.634 	284.632 	539.793 	
7.21207 	-0.00297671 	-0.564898 	-0.0261944 	1.66177 	0.0148915 	-3.12519 	90.1612 	91.3592 	-0.591113 	292.04 	360.634 	284.632 	539.793 	
7.31496 	-0.00299148 	-0.565005 	-0.0297714 	1.66177 	0.0147917 	-3.12518 	90.1612 	90.8109 	-0.591113 	291.492 	360.634 	284.632 	539.793 	
