time (NSec) 	Kinova Tip Position (t_x) 	t_y 	t_z 	Kinova Tip Angle (theta_x) 	Kinova Tip Angle (theta_y) 	Kinova Tip Angle (theta_z) 	Kinova Joint Angle (j1) 	(j2) 	(j3) 	(j4) 	Kinova Joint Angle (j5) 	(j6) 	(j7)
6.25536 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	116.591 	-0.591113 	317.365 	360.634 	284.632 	539.793 	
6.35732 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	116.54 	-0.591113 	317.265 	360.634 	284.632 	539.793 	
6.45936 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	116.136 	-0.591113 	316.83 	360.634 	284.632 	539.793 	
6.56134 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	115.655 	-0.591113 	316.346 	360.634 	284.632 	539.793 	
6.66337 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	115.162 	-0.591113 	315.846 	360.634 	284.632 	539.793 	
6.76537 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	114.652 	-0.591113 	315.342 	360.634 	284.632 	539.793 	
6.86734 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	114.158 	-0.591113 	314.842 	360.634 	284.632 	539.793 	
6.96934 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	113.598 	-0.591113 	314.296 	360.634 	284.632 	539.793 	
7.07137 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	113.102 	-0.591113 	313.793 	360.634 	284.632 	539.793 	
7.17338 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	112.594 	-0.591113 	313.297 	360.634 	284.632 	539.793 	
7.27556 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	112.104 	-0.591113 	312.79 	360.634 	284.632 	539.793 	
7.37743 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	111.595 	-0.591113 	312.3 	360.634 	284.632 	539.793 	
7.47944 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	111.044 	-0.591113 	311.747 	360.634 	284.632 	539.793 	
7.58143 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	110.538 	-0.591113 	311.244 	360.634 	284.632 	539.793 	
7.68839 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	109.989 	-0.591113 	310.741 	360.634 	284.632 	539.793 	
7.79038 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	109.487 	-0.591113 	310.195 	360.634 	284.632 	539.793 	
7.89236 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	108.987 	-0.591113 	309.697 	360.634 	284.632 	539.793 	
7.99447 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	108.491 	-0.591113 	309.199 	360.634 	284.632 	539.793 	
8.09645 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	107.979 	-0.591113 	308.694 	360.634 	284.632 	539.793 	
8.1984 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	107.438 	-0.591113 	308.193 	360.634 	284.632 	539.793 	
8.30042 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	106.93 	-0.591113 	307.647 	360.634 	284.632 	539.793 	
8.40244 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	106.433 	-0.591113 	307.143 	360.634 	284.632 	539.793 	
8.50457 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	105.928 	-0.591113 	306.649 	360.634 	284.632 	539.793 	
8.6064 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	105.427 	-0.591113 	306.143 	360.634 	284.632 	539.793 	
8.7085 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	104.876 	-0.591113 	305.651 	360.634 	284.632 	539.793 	
8.81055 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	104.378 	-0.591113 	305.094 	360.634 	284.632 	539.793 	
8.91245 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	103.881 	-0.591113 	304.598 	360.634 	284.632 	539.793 	
9.01447 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	103.37 	-0.591113 	304.096 	360.634 	284.632 	539.793 	
9.11644 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	102.876 	-0.591113 	303.596 	360.634 	284.632 	539.793 	
9.21848 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	102.321 	-0.591113 	303.094 	360.634 	284.632 	539.793 	
9.3205 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	101.825 	-0.591113 	302.546 	360.634 	284.632 	539.793 	
9.42241 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	101.319 	-0.591113 	302.05 	360.634 	284.632 	539.793 	
9.52843 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	100.773 	-0.591113 	301.545 	360.634 	284.632 	539.793 	
9.63149 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	100.271 	-0.591113 	301.003 	360.634 	284.632 	539.793 	
9.73544 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	99.7662 	-0.591113 	300.497 	360.634 	284.632 	539.793 	
9.83947 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	99.2164 	-0.591113 	299.946 	360.634 	284.632 	539.793 	
9.94346 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	98.7118 	-0.591113 	299.445 	360.634 	284.632 	539.793 	
10.0455 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	98.2137 	-0.591113 	298.951 	360.634 	284.632 	539.793 	
10.1474 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	97.7147 	-0.591113 	298.448 	360.634 	284.632 	539.793 	
10.2495 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	97.1644 	-0.591113 	297.897 	360.634 	284.632 	539.793 	
10.3515 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	96.664 	-0.591113 	297.399 	360.634 	284.632 	539.793 	
10.4535 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	96.1635 	-0.591113 	296.896 	360.634 	284.632 	539.793 	
10.5555 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	95.6669 	-0.591113 	296.401 	360.634 	284.632 	539.793 	
10.6576 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	95.1645 	-0.591113 	295.895 	360.634 	284.632 	539.793 	
10.7595 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	94.6088 	-0.591113 	295.345 	360.634 	284.632 	539.793 	
10.8616 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	94.1111 	-0.591113 	294.848 	360.634 	284.632 	539.793 	
10.9635 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	93.6155 	-0.591113 	294.349 	360.634 	284.632 	539.793 	
11.0656 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	93.1063 	-0.591113 	293.846 	360.634 	284.632 	539.793 	
11.168 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	92.6097 	-0.591113 	293.35 	360.634 	284.632 	539.793 	
11.2695 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	92.0568 	-0.591113 	292.793 	360.634 	284.632 	539.793 	
11.3715 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	91.5637 	-0.591113 	292.302 	360.634 	284.632 	539.793 	
11.4736 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	91.0585 	-0.591113 	291.797 	360.634 	284.632 	539.793 	
11.5755 	-0.00255891 	-0.519527 	0.146857 	1.66267 	0.0196305 	-3.1269 	90.1614 	90.5611 	-0.591113 	291.297 	360.634 	284.632 	539.793 	
