time (NSec) 	Kinova Tip Position (t_x) 	t_y 	t_z 	Kinova Tip Angle (theta_x) 	Kinova Tip Angle (theta_y) 	Kinova Tip Angle (theta_z) 	Kinova Joint Angle (j1) 	(j2) 	(j3) 	(j4) 	Kinova Joint Angle (j5) 	(j6) 	(j7)
2.75518 	-0.00383036 	-0.485763 	-0.243215 	1.76538 	0.0102515 	-3.10831 	90.0095 	62.3263 	-0.550781 	268.825 	360.766 	285.035 	539.184 	
2.77419 	-0.00383036 	-0.485763 	-0.243215 	1.76538 	0.0102515 	-3.10831 	90.0095 	62.3263 	-0.550781 	268.825 	360.766 	285.035 	539.184 	
2.87661 	-0.0038306 	-0.485937 	-0.243052 	1.76505 	0.0102515 	-3.12018 	90.0095 	62.3264 	-0.550781 	268.825 	360.766 	285.035 	539.383 	
2.97871 	-0.0038306 	-0.485937 	-0.243052 	1.76505 	0.0102515 	-3.12542 	90.0095 	62.3264 	-0.550781 	268.825 	360.766 	285.035 	539.747 	
3.08187 	-0.0038306 	-0.485937 	-0.243052 	1.76505 	0.0102515 	-3.12542 	90.0095 	62.3264 	-0.550781 	268.825 	360.766 	285.035 	539.771 	
3.18446 	-0.0038306 	-0.485937 	-0.243052 	1.76505 	0.0102515 	-3.12542 	90.0095 	62.3264 	-0.550781 	268.825 	360.766 	285.035 	539.777 	
3.28733 	-0.0038306 	-0.485937 	-0.243052 	1.76505 	0.0102515 	-3.12542 	90.0095 	62.3264 	-0.550781 	268.825 	360.766 	285.035 	539.781 	
3.3643 	-0.0038306 	-0.485937 	-0.243052 	1.76505 	0.0102515 	-3.12542 	90.0095 	62.3264 	-0.550781 	268.825 	360.766 	285.035 	539.783 	
3.46685 	-0.00386572 	-0.493295 	-0.237782 	1.74794 	0.0101559 	-3.12547 	90.0095 	62.4795 	-0.550781 	268.531 	360.766 	285.035 	539.785 	
3.56944 	-0.0039391 	-0.507844 	-0.226721 	1.71304 	0.00995606 	-3.12558 	90.0095 	63.2854 	-0.550781 	267.65 	360.766 	285.035 	539.787 	
3.67361 	-0.0040129 	-0.522112 	-0.215211 	1.67813 	0.00975899 	-3.12569 	90.0095 	64.2463 	-0.550781 	266.67 	360.766 	285.035 	539.788 	
3.77525 	-0.00408708 	-0.536083 	-0.20326 	1.64323 	0.00956473 	-3.1258 	90.0095 	65.2313 	-0.550781 	265.671 	360.766 	285.035 	539.789 	
3.87761 	-0.0041616 	-0.549745 	-0.190878 	1.60832 	0.00937336 	-3.12592 	90.0095 	66.3195 	-0.550781 	264.576 	360.766 	285.035 	539.79 	
3.98084 	-0.00423643 	-0.563081 	-0.178073 	1.57342 	0.00918492 	-3.12604 	90.0095 	67.3148 	-0.550781 	263.573 	360.766 	285.035 	539.79 	
4.0834 	-0.00431152 	-0.576079 	-0.164854 	1.53851 	0.00899948 	-3.12617 	90.0095 	68.2937 	-0.550781 	262.587 	360.766 	285.035 	539.791 	
4.1856 	-0.00438685 	-0.588726 	-0.151233 	1.50361 	0.00881709 	-3.1263 	90.0095 	69.3745 	-0.550781 	261.592 	360.766 	285.035 	539.791 	
4.28772 	-0.00446238 	-0.601008 	-0.137219 	1.4687 	0.00863781 	-3.12643 	90.0095 	70.3518 	-0.550781 	260.517 	360.766 	285.035 	539.792 	
4.3894 	-0.00453807 	-0.612912 	-0.122823 	1.4338 	0.00846169 	-3.12656 	90.0095 	71.3412 	-0.550781 	259.526 	360.766 	285.035 	539.792 	
4.49264 	-0.00461389 	-0.624425 	-0.108057 	1.39889 	0.00828878 	-3.1267 	90.0095 	72.3262 	-0.550781 	258.53 	360.766 	285.035 	539.793 	
4.59525 	-0.00468979 	-0.635537 	-0.0929313 	1.36399 	0.00811912 	-3.12684 	90.0095 	73.4148 	-0.550781 	257.538 	360.766 	285.035 	539.793 	
4.69738 	-0.00476576 	-0.646235 	-0.0774596 	1.32908 	0.00795274 	-3.12698 	90.0095 	74.4058 	-0.550781 	256.442 	360.766 	285.035 	539.793 	
4.79942 	-0.00484175 	-0.656507 	-0.0616539 	1.29418 	0.00778971 	-3.12713 	90.0095 	75.3927 	-0.550781 	255.454 	360.766 	285.035 	539.793 	
4.90154 	-0.00491772 	-0.666343 	-0.0455269 	1.25927 	0.00763005 	-3.12727 	90.0095 	76.3925 	-0.550781 	254.455 	360.766 	285.035 	539.793 	
5.00469 	-0.00499365 	-0.675733 	-0.0290922 	1.22437 	0.00747381 	-3.12742 	90.0095 	77.3644 	-0.550781 	253.466 	360.766 	285.035 	539.793 	
5.10751 	-0.00506951 	-0.684666 	-0.0123632 	1.18946 	0.007321 	-3.12758 	90.0095 	78.4584 	-0.550781 	252.376 	360.766 	285.035 	539.793 	
5.20956 	-0.00514525 	-0.693133 	0.00464582 	1.15456 	0.00717167 	-3.12773 	90.0095 	79.4322 	-0.550781 	251.378 	360.766 	285.035 	539.794 	
5.31216 	-0.00522085 	-0.701124 	0.021921 	1.11965 	0.00702584 	-3.12789 	90.0095 	80.4298 	-0.550781 	250.383 	360.766 	285.035 	539.794 	
5.41426 	-0.00529627 	-0.708632 	0.0394472 	1.08475 	0.00688354 	-3.12805 	90.0095 	81.4132 	-0.550781 	249.392 	360.766 	285.035 	539.794 	
5.51762 	-0.00537149 	-0.715647 	0.05721 	1.04984 	0.00674479 	-3.12821 	90.0095 	82.496 	-0.550781 	248.303 	360.766 	285.035 	539.794 	
5.62082 	-0.00544647 	-0.722162 	0.0751942 	1.01494 	0.00660962 	-3.12837 	90.0095 	83.4867 	-0.550781 	247.305 	360.766 	285.035 	539.794 	
5.7225 	-0.00552118 	-0.72817 	0.093384 	0.980035 	0.00647803 	-3.12854 	90.0095 	84.4891 	-0.550781 	246.318 	360.766 	285.035 	539.794 	
5.82478 	-0.0055956 	-0.733664 	0.111764 	0.945129 	0.00635004 	-3.1287 	90.0095 	85.4861 	-0.550781 	245.32 	360.766 	285.035 	539.794 	
5.92678 	-0.00566969 	-0.738638 	0.130319 	0.910224 	0.00622568 	-3.12887 	90.0095 	86.5679 	-0.550781 	244.226 	360.766 	285.035 	539.794 	
6.02889 	-0.00574343 	-0.743087 	0.149032 	0.875319 	0.00610495 	-3.12904 	90.0095 	87.5645 	-0.550781 	243.232 	360.766 	285.035 	539.794 	
6.13071 	-0.00580947 	-0.746636 	0.165995 	0.843904 	0.0059994 	-3.1292 	90.0095 	88.5477 	-0.550781 	242.24 	360.766 	285.035 	539.794 	
6.23288 	-0.00588246 	-0.750072 	0.184963 	0.808999 	0.00588559 	-3.12937 	90.0095 	89.5386 	-0.550781 	241.253 	360.766 	285.035 	539.794 	
6.33857 	-0.00596225 	-0.753228 	0.205956 	0.770603 	0.00576462 	-3.12956 	90.0095 	90.6356 	-0.550781 	240.144 	360.766 	285.035 	539.794 	
6.4412 	-0.0060343 	-0.755527 	0.225138 	0.735699 	0.00565848 	-3.12974 	90.0095 	91.6184 	-0.550781 	239.163 	360.766 	285.035 	539.794 	
6.54462 	-0.00610586 	-0.75728 	0.244395 	0.700793 	0.00555599 	-3.12992 	90.0095 	92.6198 	-0.550781 	238.161 	360.766 	285.035 	539.794 	
6.64697 	-0.00617691 	-0.758485 	0.26371 	0.665888 	0.00545715 	-3.1301 	90.0095 	93.7025 	-0.550781 	237.069 	360.766 	285.035 	539.794 	
6.74942 	-0.00624743 	-0.759139 	0.283067 	0.630982 	0.00536195 	-3.13027 	90.0095 	94.6959 	-0.550781 	236.079 	360.766 	285.035 	539.794 	
6.85123 	-0.0063174 	-0.759241 	0.302448 	0.596078 	0.00527039 	-3.13045 	90.0095 	95.6894 	-0.550781 	235.082 	360.766 	285.035 	539.794 	
6.9536 	-0.00638678 	-0.75879 	0.321837 	0.561172 	0.00518247 	-3.13064 	90.0095 	96.6977 	-0.550781 	234.08 	360.766 	285.035 	539.794 	
7.05663 	-0.00652372 	-0.756232 	0.360568 	0.491362 	0.00501747 	-3.131 	90.0094 	97.7809 	-0.550781 	232.99 	360.766 	285.035 	539.794 	
7.15932 	-0.00659123 	-0.754125 	0.379876 	0.456456 	0.00494036 	-3.13118 	90.0095 	98.7884 	-0.550781 	232 	360.766 	285.035 	539.794 	
7.26119 	-0.00665809 	-0.751468 	0.399123 	0.421551 	0.00486683 	-3.13137 	90.0095 	99.7667 	-0.550781 	231.001 	360.766 	285.035 	539.794 	
7.36256 	-0.00672426 	-0.748262 	0.418291 	0.386645 	0.00479686 	-3.13155 	90.0095 	100.786 	-0.550781 	229.989 	360.766 	285.035 	539.794 	
7.46584 	-0.00678973 	-0.744512 	0.437365 	0.35174 	0.00473044 	-3.13174 	90.0095 	101.867 	-0.550781 	228.909 	360.766 	285.035 	539.794 	
7.56813 	-0.00685449 	-0.740219 	0.456326 	0.316835 	0.00466753 	-3.13192 	90.0095 	102.87 	-0.550781 	227.904 	360.766 	285.035 	539.794 	
7.67394 	-0.00691852 	-0.735388 	0.475159 	0.281929 	0.00460811 	-3.13211 	90.0095 	103.865 	-0.550781 	226.912 	360.766 	285.035 	539.794 	
7.77567 	-0.0069818 	-0.730022 	0.493846 	0.247024 	0.00455217 	-3.13229 	90.0095 	104.86 	-0.550781 	225.912 	360.766 	285.035 	539.794 	
7.87753 	-0.00704431 	-0.724127 	0.512372 	0.212118 	0.00449967 	-3.13248 	90.0095 	105.976 	-0.550781 	224.801 	360.766 	285.035 	539.794 	
7.98117 	-0.00710605 	-0.717707 	0.530719 	0.177213 	0.00445059 	-3.13266 	90.0095 	106.966 	-0.550781 	223.813 	360.766 	285.035 	539.794 	
8.08332 	-0.007167 	-0.710769 	0.548872 	0.142307 	0.0044049 	-3.13285 	90.0094 	107.979 	-0.550781 	222.804 	360.766 	285.036 	539.794 	
8.18551 	-0.00722715 	-0.703319 	0.566815 	0.107402 	0.00436257 	-3.13303 	90.0095 	109.068 	-0.550781 	221.815 	360.766 	285.036 	539.794 	
8.28717 	-0.00728648 	-0.695364 	0.584532 	0.0724967 	0.00432356 	-3.13322 	90.0095 	110.078 	-0.550781 	220.721 	360.766 	285.036 	539.794 	
8.38932 	-0.00734498 	-0.686911 	0.602008 	0.0375912 	0.00428785 	-3.1334 	90.0095 	111.077 	-0.550781 	219.719 	360.766 	285.036 	539.794 	
8.49183 	-0.00740265 	-0.677968 	0.619227 	0.00268561 	0.0042554 	-3.13359 	90.0095 	112.086 	-0.550781 	218.724 	360.766 	285.036 	539.795 	
8.59454 	-0.00745948 	-0.668543 	0.636175 	-0.0322199 	0.00422618 	-3.13377 	90.0095 	113.079 	-0.550781 	217.722 	360.766 	285.036 	539.795 	
8.69673 	-0.00751545 	-0.658646 	0.652837 	-0.0671256 	0.00420015 	-3.13396 	90.0095 	114.196 	-0.550879 	216.627 	360.766 	285.037 	539.795 	
8.79881 	-0.00757055 	-0.648285 	0.669198 	-0.102031 	0.00417727 	-3.13414 	90.0095 	115.184 	-0.550879 	215.624 	360.766 	285.037 	539.795 	
8.90069 	-0.00762498 	-0.637614 	0.685022 	-0.136588 	0.00415703 	-3.13433 	90.0095 	116.079 	-0.550879 	214.614 	360.766 	285.037 	539.795 	
9.00396 	-0.00768776 	-0.633103 	0.690641 	-0.155451 	0.00411825 	-3.13451 	90.0095 	116.324 	-0.550879 	213.592 	360.766 	285.038 	539.795 	
9.10656 	-0.00775095 	-0.629089 	0.695292 	-0.172903 	0.00408079 	-3.1347 	90.0095 	116.354 	-0.550879 	212.504 	360.766 	285.038 	539.795 	
9.20894 	-0.00781373 	-0.624994 	0.699872 	-0.190356 	0.0040466 	-3.13489 	90.0095 	116.354 	-0.550879 	211.527 	360.766 	285.038 	539.795 	
