time (NSec) 	Kinova Tip Position (t_x) 	t_y 	t_z 	Kinova Tip Angle (theta_x) 	Kinova Tip Angle (theta_y) 	Kinova Tip Angle (theta_z) 	Kinova Joint Angle (j1) 	(j2) 	(j3) 	(j4) 	Kinova Joint Angle (j5) 	(j6) 	(j7)
0.0336347 	-0.120373 	0.0872392 	1.22081 	-0.448374 	-0.278731 	-0.485358 	108.191 	174.377 	121.107 	189.362 	198.893 	204.703 	44.1207 	
0.136705 	-0.122183 	0.0863261 	1.22028 	-0.449617 	-0.282204 	-0.487254 	107.873 	174.05 	120.846 	189.593 	199.174 	205.013 	44.3624 	
0.239758 	-0.136469 	0.0812311 	1.21456 	-0.471332 	-0.309148 	-0.526839 	106.995 	173.171 	119.894 	190.5 	201.075 	206.875 	46.206 	
0.342864 	-0.150332 	0.0771478 	1.20747 	-0.500992 	-0.33486 	-0.584157 	106.015 	172.197 	118.919 	191.486 	203.044 	208.871 	48.1646 	
0.44632 	-0.163619 	0.072433 	1.19994 	-0.530575 	-0.35942 	-0.643345 	104.92 	171.088 	117.919 	192.488 	205.053 	210.835 	50.1571 	
0.548923 	-0.176282 	0.0671083 	1.192 	-0.560083 	-0.382692 	-0.704347 	103.919 	170.098 	116.822 	193.559 	207.256 	213.045 	52.3651 	
0.657404 	-0.188273 	0.0611974 	1.18369 	-0.589494 	-0.404541 	-0.767085 	102.806 	169.001 	115.83 	194.554 	209.248 	215.041 	54.3709 	
0.759964 	-0.199549 	0.0547263 	1.17506 	-0.618772 	-0.424845 	-0.831462 	101.821 	168.013 	114.714 	195.672 	211.472 	217.256 	56.5953 	
0.86297 	-0.210072 	0.0477222 	1.16612 	-0.647853 	-0.443486 	-0.897358 	100.813 	167.041 	113.717 	196.675 	213.489 	219.248 	58.603 	
0.965812 	-0.219806 	0.0402131 	1.15693 	-0.676653 	-0.460362 	-0.964628 	99.7298 	165.961 	112.733 	197.668 	215.503 	221.23 	60.5974 	
1.06969 	-0.228723 	0.0322286 	1.14753 	-0.705065 	-0.475382 	-1.03311 	98.7255 	164.967 	111.639 	198.739 	217.675 	223.407 	62.7597 	
1.17365 	-0.243998 	0.0149496 	1.12823 	-0.760192 	-0.499566 	-1.17292 	97.7297 	163.955 	110.635 	199.758 	219.675 	225.399 	64.7724 	
1.27569 	-0.250318 	0.00571367 	1.1184 	-0.786596 	-0.508631 	-1.24381 	96.6339 	162.896 	109.636 	200.754 	221.701 	227.408 	66.8011 	
1.37778 	-0.25574 	-0.00388174 	1.10851 	-0.811998 	-0.515643 	-1.31504 	95.6342 	161.918 	108.553 	201.849 	223.889 	229.587 	68.9676 	
1.47977 	-0.260254 	-0.0138095 	1.09859 	-0.836215 	-0.520599 	-1.38638 	94.6357 	160.93 	107.556 	202.832 	225.887 	231.593 	70.9526 	
1.58172 	-0.263854 	-0.0240429 	1.08866 	-0.859067 	-0.523515 	-1.45755 	93.6508 	159.949 	106.557 	203.848 	227.891 	233.594 	72.9585 	
1.68368 	-0.266539 	-0.0345573 	1.07876 	-0.880377 	-0.524427 	-1.52833 	92.6368 	158.938 	105.561 	204.824 	229.907 	235.574 	74.9651 	
1.78572 	-0.268308 	-0.0453287 	1.06891 	-0.899981 	-0.523385 	-1.59846 	91.5361 	157.855 	104.569 	205.829 	231.89 	237.588 	76.969 	
1.89294 	-0.269361 	-0.0553952 	1.05914 	-0.91894 	-0.517681 	-1.67017 	90.6763 	156.866 	103.466 	206.937 	234.101 	239.794 	78.9516 	
1.99604 	-0.27028 	-0.0627545 	1.04947 	-0.939373 	-0.501376 	-1.74799 	90.2943 	155.855 	102.472 	207.919 	236.122 	241.79 	81.1678 	
2.0992 	-0.270795 	-0.0694695 	1.0399 	-0.958191 	-0.480519 	-1.82604 	90.2439 	154.78 	101.373 	209.023 	238.31 	243.979 	83.3839 	
2.20239 	-0.270754 	-0.0764056 	1.03046 	-0.974242 	-0.457786 	-1.90205 	90.2338 	153.769 	100.371 	210.018 	240.333 	245.999 	85.3785 	
2.30502 	-0.270181 	-0.0835812 	1.02115 	-0.987503 	-0.433355 	-1.976 	90.2332 	152.805 	99.3814 	211.01 	242.34 	247.995 	87.376 	
2.40823 	-0.269101 	-0.0910148 	1.01197 	-0.997979 	-0.407401 	-2.04788 	90.2332 	151.72 	98.2815 	212.132 	244.526 	250.193 	89.5696 	
2.51117 	-0.267541 	-0.098724 	1.00292 	-1.0057 	-0.380098 	-2.11771 	90.2328 	150.772 	97.3029 	213.106 	246.541 	252.201 	91.5759 	
2.614 	-0.265531 	-0.106725 	0.993996 	-1.01073 	-0.351609 	-2.18555 	90.233 	149.766 	96.2944 	214.129 	248.525 	254.2 	93.5679 	
2.71708 	-0.263099 	-0.115033 	0.985189 	-1.01314 	-0.32209 	-2.25143 	90.2329 	148.66 	95.1961 	215.216 	250.75 	256.19 	95.5791 	
2.8202 	-0.260275 	-0.12366 	0.976485 	-1.01299 	-0.29169 	-2.31544 	90.2329 	147.643 	94.1913 	216.217 	252.733 	258.381 	97.7862 	
2.92305 	-0.257091 	-0.132618 	0.967865 	-1.0104 	-0.260549 	-2.37764 	90.2324 	146.668 	93.2085 	217.202 	254.749 	260.398 	99.7838 	
3.02624 	-0.253576 	-0.141915 	0.959308 	-1.00545 	-0.228795 	-2.43811 	90.2324 	145.582 	92.2087 	218.21 	256.756 	262.393 	101.762 	
3.12916 	-0.24976 	-0.151555 	0.950789 	-0.998238 	-0.196551 	-2.49693 	90.2326 	144.607 	91.1079 	219.321 	258.953 	264.604 	103.986 	
3.23229 	-0.245676 	-0.161541 	0.942279 	-0.988871 	-0.163932 	-2.55415 	90.2327 	143.614 	90.1089 	220.332 	260.925 	266.612 	105.977 	
3.33515 	-0.241351 	-0.171871 	0.933746 	-0.977451 	-0.13104 	-2.60986 	90.2326 	142.628 	89.117 	221.318 	262.947 	268.608 	107.971 	
3.43821 	-0.236814 	-0.182539 	0.925158 	-0.96408 	-0.0979742 	-2.66412 	90.2325 	141.518 	88.0162 	222.421 	265.146 	270.802 	110.188 	
3.54115 	-0.232093 	-0.193536 	0.916477 	-0.948861 	-0.064823 	-2.71699 	90.2316 	140.547 	87.0306 	223.406 	267.163 	272.817 	112.187 	
3.64395 	-0.227215 	-0.204848 	0.907668 	-0.931896 	-0.0316684 	-2.76852 	90.2321 	139.568 	86.0193 	224.426 	269.134 	274.813 	114.184 	
3.74691 	-0.222203 	-0.216457 	0.89869 	-0.913286 	0.00141482 	-2.81876 	90.2317 	138.498 	84.9278 	225.517 	271.339 	276.813 	116.174 	
3.84997 	-0.217082 	-0.22834 	0.889506 	-0.893133 	0.0343577 	-2.86774 	90.232 	137.48 	83.9222 	226.528 	273.328 	279.003 	118.366 	
3.95828 	-0.211874 	-0.24047 	0.880076 	-0.871537 	0.0670971 	-2.9155 	90.2318 	136.371 	82.8069 	227.628 	275.554 	281.015 	120.377 	
4.0612 	-0.206597 	-0.252816 	0.870364 	-0.8486 	0.0995764 	-2.96207 	90.2318 	135.396 	81.8277 	228.634 	277.529 	283.232 	122.601 	
4.16402 	-0.201475 	-0.265446 	0.860484 	-0.823726 	0.130959 	-3.00755 	90.2319 	134.423 	80.8362 	229.633 	279.522 	284.518 	124.572 	
4.26999 	-0.202504 	-0.296864 	0.84773 	-0.733126 	0.148883 	-3.10152 	90.2319 	133.367 	79.7524 	230.72 	281.712 	284.691 	126.78 	
