time (NSec) 	Kinova Tip Position (t_x) 	t_y 	t_z 	Kinova Tip Angle (theta_x) 	Kinova Tip Angle (theta_y) 	Kinova Tip Angle (theta_z) 	Kinova Joint Angle (j1) 	(j2) 	(j3) 	(j4) 	Kinova Joint Angle (j5) 	(j6) 	(j7)
1.39221 	0.225782 	-0.348758 	0.504223 	-1.9341 	1.03081 	-2.71129 	89.3018 	154.54 	359.384 	261.352 	110.028 	292.675 	287.314 	
1.49523 	0.225454 	-0.34949 	0.502116 	-1.93427 	1.0318 	-2.70855 	89.4649 	154.414 	359.182 	261.489 	110.065 	292.522 	287.349 	
1.59845 	0.2244 	-0.351677 	0.495537 	-1.93478 	1.03479 	-2.70011 	89.835 	154.028 	358.727 	261.885 	110.39 	292.086 	287.765 	
1.70158 	0.225623 	-0.352237 	0.488964 	-1.9313 	1.03146 	-2.69643 	89.9536 	153.543 	358.239 	262.362 	110.862 	291.602 	288.237 	
1.80443 	0.227576 	-0.352155 	0.482403 	-1.92655 	1.02595 	-2.69435 	89.9707 	152.985 	357.695 	262.863 	111.33 	291.086 	288.732 	
1.90741 	0.229503 	-0.351915 	0.475857 	-1.92182 	1.02025 	-2.69239 	89.9717 	152.492 	357.186 	263.406 	111.911 	290.536 	289.302 	
2.01064 	0.231402 	-0.351518 	0.46933 	-1.91709 	1.01438 	-2.69056 	89.9715 	152.007 	356.678 	263.922 	112.415 	290.055 	289.815 	
2.11353 	0.233271 	-0.350964 	0.462825 	-1.91236 	1.00833 	-2.68886 	89.9715 	151.501 	356.17 	264.422 	112.883 	289.555 	290.297 	
2.21681 	0.235109 	-0.350255 	0.456347 	-1.90762 	1.0021 	-2.6873 	89.9715 	150.983 	355.621 	264.972 	113.449 	289.007 	290.861 	
2.32487 	0.236916 	-0.349391 	0.449898 	-1.90287 	0.995704 	-2.68589 	89.9743 	150.403 	355.081 	265.462 	113.966 	288.512 	291.38 	
2.42755 	0.238688 	-0.348375 	0.443483 	-1.89811 	0.989134 	-2.68463 	89.9743 	149.906 	354.571 	266.021 	114.501 	287.957 	291.903 	
2.53035 	0.240426 	-0.347208 	0.437106 	-1.89332 	0.982394 	-2.68354 	89.9754 	149.408 	354.077 	266.522 	115.013 	287.454 	292.401 	
2.63439 	0.242129 	-0.34589 	0.430768 	-1.88851 	0.975485 	-2.68261 	89.9756 	148.847 	353.522 	267.034 	115.525 	286.958 	292.926 	
