time (NSec) 	Kinova Tip Position (t_x) 	t_y 	t_z 	Kinova Tip Angle (theta_x) 	Kinova Tip Angle (theta_y) 	Kinova Tip Angle (theta_z) 	Kinova Joint Angle (j1) 	(j2) 	(j3) 	(j4) 	Kinova Joint Angle (j5) 	(j6) 	(j7)
2.11956 	-0.00255779 	-0.519685 	0.147241 	1.66199 	0.0196338 	-3.12691 	90.161 	116.608 	-0.591113 	317.36 	360.634 	284.632 	539.793 	
2.22279 	-0.00255959 	-0.520216 	0.146314 	1.66164 	0.0196018 	-3.12688 	90.161 	116.542 	-0.591113 	317.228 	360.634 	284.632 	539.793 	
2.32564 	-0.00256143 	-0.521831 	0.143121 	1.66164 	0.0195166 	-3.12683 	90.161 	116.179 	-0.591113 	316.823 	360.634 	284.632 	539.793 	
2.42903 	-0.00256354 	-0.523417 	0.139914 	1.66164 	0.019431 	-3.12678 	90.161 	115.704 	-0.591113 	316.335 	360.634 	284.632 	539.793 	
2.53202 	-0.00256591 	-0.524976 	0.136693 	1.66165 	0.0193449 	-3.12672 	90.161 	115.208 	-0.591113 	315.836 	360.634 	284.632 	539.793 	
2.63472 	-0.00256855 	-0.526506 	0.133458 	1.66165 	0.0192583 	-3.12667 	90.161 	114.646 	-0.591113 	315.283 	360.634 	284.632 	539.793 	
2.73796 	-0.00257147 	-0.528008 	0.130211 	1.66165 	0.0191713 	-3.12662 	90.161 	114.15 	-0.591113 	314.786 	360.634 	284.632 	539.793 	
2.84081 	-0.00257465 	-0.529482 	0.12695 	1.66165 	0.0190839 	-3.12657 	90.161 	113.643 	-0.591113 	314.285 	360.634 	284.632 	539.793 	
2.94407 	-0.0025781 	-0.530927 	0.123677 	1.66166 	0.018996 	-3.12652 	90.161 	113.095 	-0.591113 	313.737 	360.634 	284.632 	539.793 	
3.04698 	-0.00258182 	-0.532344 	0.120391 	1.66166 	0.0189078 	-3.12648 	90.161 	112.588 	-0.591113 	313.237 	360.634 	284.632 	539.793 	
3.15029 	-0.0025858 	-0.533732 	0.117093 	1.66166 	0.0188191 	-3.12643 	90.161 	112.097 	-0.591113 	312.732 	360.634 	284.632 	539.793 	
3.2594 	-0.00259006 	-0.535091 	0.113783 	1.66166 	0.01873 	-3.12638 	90.161 	111.54 	-0.591113 	312.187 	360.634 	284.632 	539.793 	
3.3617 	-0.00259458 	-0.536421 	0.110461 	1.66167 	0.0186405 	-3.12634 	90.161 	111.037 	-0.591113 	311.683 	360.634 	284.632 	539.793 	
3.46459 	-0.00259937 	-0.537722 	0.107128 	1.66167 	0.0185506 	-3.12629 	90.161 	110.487 	-0.591113 	311.136 	360.634 	284.632 	539.793 	
3.56901 	-0.00260442 	-0.538994 	0.103783 	1.66167 	0.0184603 	-3.12625 	90.161 	109.981 	-0.591113 	310.632 	360.634 	284.632 	539.793 	
3.6748 	-0.00261533 	-0.54145 	0.0970614 	1.66167 	0.0182786 	-3.12616 	90.161 	109.434 	-0.591113 	310.089 	360.634 	284.632 	539.793 	
3.77776 	-0.00262119 	-0.542634 	0.0936847 	1.66168 	0.0181872 	-3.12612 	90.161 	108.934 	-0.591113 	309.584 	360.634 	284.632 	539.793 	
3.88119 	-0.0026273 	-0.543788 	0.0902978 	1.66168 	0.0180954 	-3.12608 	90.161 	108.433 	-0.591113 	309.088 	360.634 	284.632 	539.793 	
3.9836 	-0.00263369 	-0.544913 	0.0869009 	1.66168 	0.0180033 	-3.12604 	90.161 	107.878 	-0.591113 	308.534 	360.634 	284.632 	539.793 	
4.08666 	-0.00264033 	-0.546008 	0.0834943 	1.66168 	0.0179108 	-3.126 	90.161 	107.383 	-0.591113 	308.037 	360.634 	284.632 	539.793 	
4.18973 	-0.00264724 	-0.547073 	0.0800783 	1.66169 	0.017818 	-3.12596 	90.161 	106.879 	-0.591113 	307.535 	360.634 	284.632 	539.793 	
4.29277 	-0.00265442 	-0.548109 	0.0766531 	1.66169 	0.0177248 	-3.12592 	90.161 	106.329 	-0.591113 	306.984 	360.634 	284.632 	539.793 	
4.39556 	-0.00266185 	-0.549115 	0.073219 	1.66169 	0.0176314 	-3.12589 	90.161 	105.823 	-0.591113 	306.486 	360.634 	284.632 	539.793 	
4.49889 	-0.00266955 	-0.55009 	0.0697762 	1.66169 	0.0175376 	-3.12585 	90.161 	105.324 	-0.591113 	305.987 	360.634 	284.632 	539.793 	
4.6018 	-0.00267751 	-0.551036 	0.0663249 	1.6617 	0.0174435 	-3.12582 	90.161 	104.822 	-0.591113 	305.488 	360.634 	284.632 	539.793 	
4.70441 	-0.00268573 	-0.551951 	0.0628657 	1.6617 	0.0173491 	-3.12578 	90.161 	104.274 	-0.591113 	304.936 	360.634 	284.632 	539.793 	
4.80792 	-0.00269421 	-0.552836 	0.0593985 	1.6617 	0.0172544 	-3.12575 	90.161 	103.767 	-0.591113 	304.437 	360.634 	284.632 	539.793 	
4.91694 	-0.00270295 	-0.553691 	0.0559237 	1.66171 	0.0171594 	-3.12571 	90.161 	103.217 	-0.591113 	303.887 	360.634 	284.632 	539.793 	
5.01987 	-0.00271195 	-0.554515 	0.0524417 	1.66171 	0.0170641 	-3.12568 	90.161 	102.714 	-0.591113 	303.39 	360.634 	284.632 	539.793 	
