time (NSec) 	Kinova Tip Position (t_x) 	t_y 	t_z 	Kinova Tip Angle (theta_x) 	Kinova Tip Angle (theta_y) 	Kinova Tip Angle (theta_z) 	Kinova Joint Angle (j1) 	(j2) 	(j3) 	(j4) 	Kinova Joint Angle (j5) 	(j6) 	(j7)
1.56316 	-0.0177666 	-0.554141 	0.933098 	0.919878 	-0.0159254 	-3.13871 	90.1559 	116.563 	-0.591211 	113.624 	360.634 	123.455 	539.793 	
1.66611 	-0.017756 	-0.558529 	0.930659 	0.924415 	-0.0158905 	-3.13877 	90.1559 	116.488 	-0.591211 	113.741 	360.634 	123.551 	539.793 	
1.77405 	-0.0177373 	-0.566098 	0.926361 	0.932269 	-0.0158296 	-3.13886 	90.1559 	116.128 	-0.591211 	114.136 	360.634 	123.987 	539.793 	
1.87706 	-0.0177161 	-0.57447 	0.92147 	0.940995 	-0.0157608 	-3.13896 	90.1559 	115.571 	-0.591211 	114.686 	360.634 	124.538 	539.793 	
1.9802 	-0.017692 	-0.583631 	0.915952 	0.950594 	-0.015684 	-3.13907 	90.1559 	115.045 	-0.591211 	115.202 	360.634 	125.062 	539.793 	
2.08327 	-0.0176696 	-0.591913 	0.910809 	0.95932 	-0.0156131 	-3.13917 	90.1559 	114.558 	-0.591211 	115.69 	360.634 	125.524 	539.793 	
2.18634 	-0.0176465 	-0.600148 	0.905547 	0.968046 	-0.0155411 	-3.13927 	90.1559 	114.008 	-0.591211 	116.25 	360.634 	126.02 	539.793 	
2.28914 	-0.017623 	-0.608336 	0.900166 	0.976772 	-0.0154681 	-3.13936 	90.1559 	113.487 	-0.591211 	116.758 	360.634 	126.614 	539.793 	
2.39245 	-0.0175988 	-0.616474 	0.894667 	0.985499 	-0.0153941 	-3.13946 	90.1559 	112.987 	-0.591211 	117.264 	360.634 	127.077 	539.793 	
2.4953 	-0.0175741 	-0.62456 	0.889049 	0.994225 	-0.0153191 	-3.13956 	90.1559 	112.438 	-0.591211 	117.763 	360.634 	127.565 	539.793 	
2.59849 	-0.0175489 	-0.632593 	0.883314 	1.00295 	-0.015243 	-3.13965 	90.1559 	111.929 	-0.591211 	118.325 	360.634 	128.162 	539.793 	
2.70131 	-0.0175231 	-0.64057 	0.877461 	1.01168 	-0.015166 	-3.13975 	90.1559 	111.418 	-0.591211 	118.833 	360.634 	128.626 	539.793 	
2.80436 	-0.0174967 	-0.64849 	0.871493 	1.0204 	-0.0150879 	-3.13984 	90.1559 	110.917 	-0.591211 	119.329 	360.634 	129.095 	539.793 	
2.90769 	-0.0174698 	-0.656352 	0.865408 	1.02913 	-0.0150089 	-3.13993 	90.1559 	110.363 	-0.591211 	119.89 	360.634 	129.709 	539.793 	
3.01341 	-0.0174423 	-0.664152 	0.859209 	1.03786 	-0.0149288 	-3.14003 	90.1559 	109.854 	-0.591211 	120.395 	360.634 	130.193 	539.793 	
3.11617 	-0.0174142 	-0.67189 	0.852894 	1.04658 	-0.0148478 	-3.14012 	90.1559 	109.303 	-0.591211 	120.963 	360.634 	130.648 	539.793 	
3.21919 	-0.0173856 	-0.679563 	0.846466 	1.05531 	-0.0147658 	-3.14021 	90.1559 	108.798 	-0.591211 	121.451 	360.634 	131.246 	539.793 	
3.32306 	-0.0173564 	-0.68717 	0.839925 	1.06403 	-0.0146828 	-3.1403 	90.1559 	108.29 	-0.591211 	121.967 	360.634 	131.753 	539.793 	
3.42712 	-0.0172964 	-0.702178 	0.826507 	1.08149 	-0.014514 	-3.14047 	90.1559 	107.738 	-0.591211 	122.517 	360.634 	132.242 	539.793 	
3.53092 	-0.0172656 	-0.709576 	0.819632 	1.09021 	-0.0144281 	-3.14056 	90.1559 	107.229 	-0.591211 	123.029 	360.634 	132.791 	539.793 	
3.63408 	-0.0172342 	-0.7169 	0.812646 	1.09894 	-0.0143413 	-3.14065 	90.1559 	106.729 	-0.591211 	123.527 	360.634 	133.308 	539.793 	
3.7371 	-0.0172023 	-0.724149 	0.805552 	1.10767 	-0.0142536 	-3.14073 	90.1559 	106.179 	-0.591211 	124.086 	360.634 	133.801 	539.793 	
3.83982 	-0.0171698 	-0.731321 	0.79835 	1.11639 	-0.0141649 	-3.14082 	90.1559 	105.67 	-0.591211 	124.589 	360.634 	134.33 	539.793 	
3.94328 	-0.0171367 	-0.738415 	0.79104 	1.12512 	-0.0140753 	-3.1409 	90.1559 	105.163 	-0.591211 	125.095 	360.634 	134.857 	539.793 	
4.0461 	-0.0171031 	-0.745429 	0.783625 	1.13384 	-0.0139848 	-3.14098 	90.1559 	104.608 	-0.591211 	125.646 	360.634 	135.299 	539.793 	
4.14903 	-0.017069 	-0.75236 	0.776104 	1.14257 	-0.0138934 	-3.14107 	90.1559 	104.108 	-0.591211 	126.146 	360.634 	135.866 	539.793 	
4.25216 	-0.0170342 	-0.759208 	0.768479 	1.1513 	-0.013801 	-3.14115 	90.1559 	103.603 	-0.591211 	126.653 	360.634 	136.4 	539.793 	
4.35526 	-0.016999 	-0.76597 	0.760751 	1.16002 	-0.0137078 	-3.14123 	90.1559 	103.045 	-0.591211 	127.158 	360.634 	136.858 	539.793 	
4.45849 	-0.0169632 	-0.772645 	0.752921 	1.16875 	-0.0136137 	-3.14131 	90.1559 	102.546 	-0.591211 	127.717 	360.634 	137.407 	539.793 	
4.56118 	-0.0169268 	-0.779232 	0.74499 	1.17748 	-0.0135187 	-3.14138 	90.1559 	102.037 	-0.591211 	128.212 	360.634 	137.948 	539.793 	
