time (NSec) 	Kinova Tip Position (t_x) 	t_y 	t_z 	Kinova Tip Angle (theta_x) 	Kinova Tip Angle (theta_y) 	Kinova Tip Angle (theta_z) 	Kinova Joint Angle (j1) 	(j2) 	(j3) 	(j4) 	Kinova Joint Angle (j5) 	(j6) 	(j7)
0.139669 	0.0692388 	-0.0212821 	1.16772 	0.55416 	0.205548 	-3.072 	94.6514 	173.417 	178.942 	218.021 	164.616 	116.561 	180 	
0.242911 	0.0691166 	-0.0213088 	1.16777 	0.553694 	0.205539 	-3.07181 	94.3802 	173.166 	178.671 	218.32 	164.862 	116.827 	180.208 	
0.346914 	0.0519439 	-0.0199866 	1.17518 	0.492287 	0.179824 	-3.08422 	93.4376 	172.239 	177.734 	219.299 	166.704 	118.707 	182.083 	
0.453531 	0.0405505 	-0.0187664 	1.17933 	0.45519 	0.158232 	-3.09876 	92.3516 	171.111 	176.741 	220.271 	168.718 	120.705 	184.075 	
0.556352 	0.0287864 	-0.0178603 	1.18284 	0.41953 	0.13489 	-3.11467 	91.3571 	170.122 	175.653 	221.357 	170.921 	122.914 	186.271 	
0.658695 	0.0165875 	-0.0174 	1.18569 	0.385948 	0.107675 	-3.13759 	90.5396 	169.106 	174.645 	222.368 	172.93 	124.921 	188.28 	
0.761888 	0.00392213 	-0.0172103 	1.18788 	0.354331 	0.0756688 	3.11117 	90.2643 	168.099 	173.651 	223.372 	174.925 	126.93 	190.265 	
0.864923 	-0.0090045 	-0.0169929 	1.1894 	0.32333 	0.0428923 	3.07384 	90.2237 	166.999 	172.542 	224.472 	177.129 	129.128 	192.27 	
0.974251 	-0.0221345 	-0.0167417 	1.19022 	0.29276 	0.0098372 	3.03455 	90.2025 	165.888 	171.554 	225.476 	179.114 	131.137 	194.46 	
1.07751 	-0.0354262 	-0.0164674 	1.19035 	0.262534 	-0.0233938 	2.99327 	90.1981 	164.888 	170.435 	226.577 	181.34 	133.357 	196.667 	
1.18079 	-0.0488361 	-0.0161799 	1.18979 	0.232564 	-0.0566934 	2.94993 	90.1972 	163.867 	169.442 	227.585 	183.332 	135.367 	198.668 	
