time (NSec) 	Kinova Tip Position (t_x) 	t_y 	t_z 	Kinova Tip Angle (theta_x) 	Kinova Tip Angle (theta_y) 	Kinova Tip Angle (theta_z) 	Kinova Joint Angle (j1) 	(j2) 	(j3) 	(j4) 	Kinova Joint Angle (j5) 	(j6) 	(j7)
1.82471 	-0.00256513 	-0.52547 	0.149881 	1.64394 	0.0194497 	-3.12682 	90.0096 	116.657 	-0.550977 	316.27 	360.766 	285.035 	539.796 	
1.9265 	-0.0025665 	-0.525542 	0.149846 	1.6436 	0.0194414 	-3.12681 	90.0096 	116.467 	-0.550977 	316.073 	360.766 	285.035 	539.796 	
2.02862 	-0.00257093 	-0.528377 	0.144223 	1.64359 	0.0192896 	-3.12672 	90.0096 	115.659 	-0.550977 	315.243 	360.766 	285.035 	539.796 	
2.13117 	-0.00257699 	-0.531493 	0.137781 	1.64359 	0.0191155 	-3.12662 	90.0096 	114.687 	-0.550977 	314.28 	360.766 	285.035 	539.796 	
2.24146 	-0.00258412 	-0.534496 	0.131287 	1.64359 	0.0189396 	-3.12652 	90.0096 	113.579 	-0.550977 	313.174 	360.766 	285.035 	539.796 	
2.3435 	-0.00259232 	-0.537386 	0.12474 	1.64359 	0.0187621 	-3.12643 	90.0096 	112.587 	-0.550977 	312.182 	360.766 	285.035 	539.796 	
2.4454 	-0.0026016 	-0.540161 	0.118145 	1.64359 	0.0185829 	-3.12633 	90.0095 	111.482 	-0.550977 	311.083 	360.766 	285.035 	539.796 	
2.54716 	-0.00261195 	-0.54282 	0.111502 	1.64358 	0.0184022 	-3.12625 	90.0096 	110.474 	-0.550977 	310.087 	360.766 	285.035 	539.796 	
2.64985 	-0.00263583 	-0.547789 	0.0980813 	1.64358 	0.0180363 	-3.12608 	90.0096 	109.574 	-0.550977 	309.18 	360.766 	285.035 	539.796 	
2.7523 	-0.00264937 	-0.550097 	0.091308 	1.64358 	0.0178512 	-3.126 	90.0096 	108.456 	-0.550977 	308.078 	360.766 	285.035 	539.796 	
2.85456 	-0.00266396 	-0.552287 	0.0844957 	1.64358 	0.0176648 	-3.12593 	90.0096 	107.371 	-0.550977 	306.986 	360.766 	285.035 	539.796 	
2.95621 	-0.0026796 	-0.554357 	0.0776461 	1.64358 	0.0174771 	-3.12585 	90.0096 	106.363 	-0.550977 	305.982 	360.766 	285.035 	539.796 	
