time (NSec) 	Kinova Tip Position (t_x) 	t_y 	t_z 	Kinova Tip Angle (theta_x) 	Kinova Tip Angle (theta_y) 	Kinova Tip Angle (theta_z) 	Kinova Joint Angle (j1) 	(j2) 	(j3) 	(j4) 	Kinova Joint Angle (j5) 	(j6) 	(j7)
0.0253727 	-0.00382993 	-0.485722 	-0.24323 	1.76551 	0.010253 	-3.10831 	90.0527 	63.1248 	-0.619238 	268.867 	360.844 	285.227 	539.185 	
0.0456867 	-0.00382993 	-0.485722 	-0.24323 	1.76551 	0.010253 	-3.10831 	90.0528 	63.1253 	-0.619434 	268.867 	360.844 	285.227 	539.185 	
0.0884187 	-0.00383138 	-0.486011 	-0.243024 	1.76482 	0.0102489 	-3.10866 	90.0527 	63.128 	-0.619336 	268.867 	360.844 	285.227 	539.186 	
0.190491 	-0.00381493 	-0.486901 	-0.241233 	1.7654 	0.0103148 	-3.11668 	90.0528 	63.3812 	-0.619531 	269.08 	360.844 	285.227 	539.417 	
0.292938 	-0.00376783 	-0.490098 	-0.234831 	1.76539 	0.0105086 	-3.12535 	90.0528 	64.2762 	-0.619434 	269.91 	360.844 	285.227 	539.683 	
0.395567 	-0.00372142 	-0.493184 	-0.228375 	1.76539 	0.0107033 	-3.1253 	90.0529 	65.3456 	-0.619043 	270.987 	360.844 	285.227 	539.693 	
0.498688 	-0.00367573 	-0.496157 	-0.221866 	1.76539 	0.0108989 	-3.12525 	90.0527 	66.3438 	-0.619434 	271.976 	360.844 	285.227 	539.696 	
0.601452 	-0.00363075 	-0.499015 	-0.215306 	1.76539 	0.0110953 	-3.12521 	90.0527 	67.3185 	-0.619531 	272.975 	360.844 	285.227 	539.697 	
0.703931 	-0.00358652 	-0.501759 	-0.208697 	1.76539 	0.0112924 	-3.12517 	90.0528 	68.3194 	-0.619336 	273.969 	360.844 	285.227 	539.698 	
0.806866 	-0.00354304 	-0.504386 	-0.202042 	1.76539 	0.0114901 	-3.12513 	90.0529 	69.4404 	-0.619238 	275.065 	360.844 	285.227 	539.699 	
0.909675 	-0.00350033 	-0.506898 	-0.195341 	1.76539 	0.0116885 	-3.1251 	90.0528 	70.467 	-0.619336 	276.073 	360.844 	285.227 	539.7 	
1.01233 	-0.00345839 	-0.509291 	-0.188598 	1.76539 	0.0118874 	-3.12507 	90.0527 	71.4621 	-0.619434 	277.072 	360.844 	285.227 	539.7 	
1.11482 	-0.00341725 	-0.511567 	-0.181814 	1.76539 	0.0120868 	-3.12505 	90.0528 	72.4702 	-0.619434 	278.069 	360.844 	285.227 	539.701 	
1.2185 	-0.00337691 	-0.513724 	-0.174991 	1.76539 	0.0122866 	-3.12502 	90.0528 	73.5834 	-0.619434 	279.168 	360.844 	285.227 	539.701 	
1.3214 	-0.00333738 	-0.515762 	-0.168132 	1.76539 	0.0124868 	-3.125 	90.0529 	74.5713 	-0.619336 	280.182 	360.844 	285.227 	539.702 	
1.42392 	-0.00329869 	-0.517679 	-0.161238 	1.76539 	0.0126872 	-3.12499 	90.053 	75.5826 	-0.61875 	281.18 	360.844 	285.227 	539.702 	
1.52679 	-0.00326083 	-0.519477 	-0.154311 	1.76539 	0.0128879 	-3.12498 	90.053 	76.6741 	-0.618945 	282.278 	360.844 	285.227 	539.702 	
1.62962 	-0.00322383 	-0.521152 	-0.147355 	1.76539 	0.0130888 	-3.12497 	90.0528 	77.6819 	-0.619238 	283.272 	360.844 	285.227 	539.702 	
1.73207 	-0.00318769 	-0.522707 	-0.14037 	1.76539 	0.0132898 	-3.12496 	90.0525 	78.7014 	-0.619629 	284.283 	360.844 	285.227 	539.702 	
1.83495 	-0.00315242 	-0.524138 	-0.133359 	1.76539 	0.0134908 	-3.12496 	90.0526 	79.7139 	-0.619434 	285.282 	360.844 	285.227 	539.703 	
1.94135 	-0.00311804 	-0.525448 	-0.126324 	1.76539 	0.0136919 	-3.12496 	90.0528 	80.7951 	-0.619336 	286.379 	360.844 	285.227 	539.703 	
2.04382 	-0.00308455 	-0.526634 	-0.119268 	1.76539 	0.0138929 	-3.12497 	90.0529 	81.7747 	-0.619043 	287.385 	360.844 	285.227 	539.703 	
2.14668 	-0.00305197 	-0.527697 	-0.112191 	1.76539 	0.0140937 	-3.12498 	90.053 	82.8884 	-0.619043 	288.478 	360.844 	285.227 	539.703 	
2.25259 	-0.0030203 	-0.528637 	-0.105098 	1.76539 	0.0142944 	-3.12499 	90.0529 	83.865 	-0.619043 	289.474 	360.844 	285.227 	539.703 	
2.35681 	-0.00298956 	-0.529452 	-0.0979889 	1.76539 	0.0144948 	-3.12501 	90.0529 	84.9514 	-0.619043 	290.578 	360.844 	285.227 	539.703 	
2.45882 	-0.00295976 	-0.530144 	-0.0908666 	1.76539 	0.0146948 	-3.12503 	90.0529 	85.9618 	-0.619141 	291.578 	360.844 	285.227 	539.703 	
2.56163 	-0.00290298 	-0.531153 	-0.0765915 	1.76539 	0.0150938 	-3.12508 	90.0526 	86.9849 	-0.619531 	292.579 	360.844 	285.227 	539.703 	
2.66365 	-0.00287603 	-0.53147 	-0.069443 	1.7654 	0.0152926 	-3.12511 	90.0526 	87.9932 	-0.619629 	293.589 	360.844 	285.227 	539.704 	
2.76571 	-0.00285005 	-0.531663 	-0.06229 	1.7654 	0.0154909 	-3.12514 	90.0528 	89.096 	-0.619531 	294.583 	360.844 	285.227 	539.704 	
2.86773 	-0.00282504 	-0.531731 	-0.0551347 	1.7654 	0.0156885 	-3.12518 	90.0528 	90.0874 	-0.619336 	295.676 	360.844 	285.227 	539.704 	
2.97461 	-0.00280102 	-0.531674 	-0.0479793 	1.7654 	0.0158854 	-3.12522 	90.0529 	91.1013 	-0.619141 	296.677 	360.844 	285.227 	539.704 	
3.07648 	-0.00277799 	-0.531492 	-0.040826 	1.7654 	0.0160816 	-3.12526 	90.0528 	92.1791 	-0.619141 	297.783 	360.844 	285.227 	539.704 	
3.17857 	-0.00275596 	-0.531185 	-0.0336768 	1.7654 	0.016277 	-3.12531 	90.0529 	93.1879 	-0.619238 	298.779 	360.844 	285.227 	539.704 	
3.2805 	-0.00273493 	-0.530754 	-0.0265343 	1.7654 	0.0164716 	-3.12536 	90.0528 	94.1867 	-0.619043 	299.777 	360.844 	285.227 	539.704 	
3.38252 	-0.00271492 	-0.530198 	-0.0194003 	1.7654 	0.0166652 	-3.12541 	90.0529 	95.1653 	-0.619336 	300.781 	360.844 	285.227 	539.704 	
3.48473 	-0.00269592 	-0.529518 	-0.0122771 	1.7654 	0.0168579 	-3.12547 	90.0528 	96.1703 	-0.619336 	301.78 	360.844 	285.227 	539.704 	
3.58651 	-0.00267795 	-0.528713 	-0.00516681 	1.7654 	0.0170495 	-3.12553 	90.0527 	97.2565 	-0.619238 	302.884 	360.844 	285.227 	539.704 	
3.68857 	-0.00266101 	-0.527784 	0.00192839 	1.76541 	0.0172401 	-3.1256 	90.0528 	98.2751 	-0.619238 	303.883 	360.844 	285.227 	539.704 	
3.79064 	-0.0026451 	-0.526732 	0.00900608 	1.76541 	0.0174295 	-3.12566 	90.0527 	99.3097 	-0.619336 	304.884 	360.844 	285.227 	539.704 	
3.8926 	-0.00263023 	-0.525556 	0.0160646 	1.76541 	0.0176176 	-3.12573 	90.0528 	100.322 	-0.619238 	305.886 	360.844 	285.227 	539.704 	
3.99483 	-0.00261641 	-0.524257 	0.0231013 	1.76541 	0.0178046 	-3.12581 	90.0528 	101.258 	-0.619238 	306.88 	360.844 	285.227 	539.704 	
4.09758 	-0.00260363 	-0.522836 	0.0301144 	1.76541 	0.0179902 	-3.12589 	90.0527 	102.388 	-0.619531 	307.987 	360.844 	285.227 	539.704 	
4.19954 	-0.0025919 	-0.521293 	0.0371016 	1.76541 	0.0181744 	-3.12597 	90.0528 	103.362 	-0.619238 	308.978 	360.844 	285.227 	539.704 	
4.30302 	-0.00258123 	-0.519627 	0.0440608 	1.76541 	0.0183572 	-3.12605 	90.0528 	104.337 	-0.619434 	309.982 	360.844 	285.227 	539.705 	
4.40575 	-0.00257162 	-0.517841 	0.0509898 	1.76542 	0.0185385 	-3.12614 	90.0529 	105.439 	-0.619141 	310.977 	360.844 	285.226 	539.705 	
4.50754 	-0.00256307 	-0.515934 	0.0578866 	1.76542 	0.0187182 	-3.12623 	90.0528 	106.466 	-0.619434 	312.081 	360.844 	285.227 	539.705 	
4.60985 	-0.00255559 	-0.513907 	0.0647492 	1.76542 	0.0188964 	-3.12632 	90.0528 	107.503 	-0.619141 	313.082 	360.844 	285.227 	539.705 	
4.71304 	-0.00254917 	-0.51176 	0.0715753 	1.76542 	0.0190729 	-3.12642 	90.0527 	108.487 	-0.619336 	314.093 	360.844 	285.227 	539.705 	
4.81586 	-0.00254382 	-0.509495 	0.0783628 	1.76542 	0.0192477 	-3.12652 	90.0526 	109.574 	-0.619434 	315.08 	360.844 	285.227 	539.705 	
4.91938 	-0.00253954 	-0.507111 	0.0851098 	1.76543 	0.0194207 	-3.12662 	90.0528 	110.552 	-0.619238 	316.184 	360.844 	285.227 	539.705 	
5.02208 	-0.00253633 	-0.50461 	0.0918142 	1.76543 	0.0195919 	-3.12672 	90.0529 	111.542 	-0.619336 	317.096 	360.844 	285.227 	539.705 	
5.12525 	-0.00253817 	-0.505635 	0.0998389 	1.75438 	0.0196514 	-3.12678 	90.0529 	112.538 	-0.619238 	317.31 	360.844 	285.227 	539.705 	
5.22802 	-0.00254235 	-0.508623 	0.10869 	1.73693 	0.0196472 	-3.1268 	90.0528 	113.66 	-0.619434 	317.355 	360.844 	285.227 	539.705 	
5.33122 	-0.0025463 	-0.511457 	0.117592 	1.71948 	0.0196434 	-3.12683 	90.0528 	114.643 	-0.619336 	317.369 	360.844 	285.227 	539.705 	
5.43441 	-0.00255004 	-0.514135 	0.126542 	1.70203 	0.01964 	-3.12685 	90.0528 	115.661 	-0.619336 	317.383 	360.844 	285.227 	539.705 	
5.47172 	-0.00255356 	-0.516656 	0.135538 	1.68457 	0.019637 	-3.12688 	90.0529 	116.06 	-0.619238 	317.385 	360.844 	285.227 	539.705 	
5.57532 	-0.00255949 	-0.521277 	0.143925 	1.66223 	0.0195488 	-3.12685 	90.0528 	116.852 	-0.619336 	317.168 	360.844 	285.226 	539.705 	
5.67833 	-0.00256858 	-0.527873 	0.151283 	1.63605 	0.0193744 	-3.12678 	90.0529 	117.556 	-0.619238 	316.256 	360.844 	285.227 	539.705 	
5.78088 	-0.00257726 	-0.533291 	0.154181 	1.6186 	0.0191998 	-3.12671 	90.0529 	117.638 	-0.619434 	315.28 	360.844 	285.227 	539.705 	
5.88274 	-0.00258711 	-0.538657 	0.157173 	1.60114 	0.0190238 	-3.12663 	90.0529 	117.659 	-0.618945 	314.284 	360.844 	285.227 	539.705 	
