time (NSec) 	Kinova Tip Position (t_x) 	t_y 	t_z 	Kinova Tip Angle (theta_x) 	Kinova Tip Angle (theta_y) 	Kinova Tip Angle (theta_z) 	Kinova Joint Angle (j1) 	(j2) 	(j3) 	(j4) 	Kinova Joint Angle (j5) 	(j6) 	(j7)
3.51231 	-0.0191498 	-0.503627 	-0.258693 	1.5808 	0.0104127 	-3.13936 	92.0327 	55.3191 	0.706836 	252.808 	2.42074 	287.492 	180.001 	
3.61774 	-0.0188385 	-0.503716 	-0.258668 	1.58113 	0.0108949 	-3.13933 	91.8845 	55.5201 	0.554395 	252.943 	2.47003 	287.275 	180.078 	
3.72055 	-0.0111457 	-0.505816 	-0.258024 	1.5893 	0.0228546 	-3.13859 	91.3981 	55.9882 	0.12168 	253.348 	2.8456 	286.834 	180.492 	
3.82383 	-0.00317011 	-0.507826 	-0.257302 	1.59752 	0.0353444 	-3.13797 	90.914 	56.521 	-0.367188 	253.875 	3.39773 	286.272 	181.055 	
3.9278 	0.0104006 	-0.511377 	-0.255769 	1.61426 	0.0651249 	3.13653 	90.4865 	57.0387 	-0.506738 	254.374 	3.89403 	285.765 	181.567 	
4.03083 	0.0126851 	-0.512925 	-0.25419 	1.61857 	0.0733678 	3.13045 	90.3093 	57.5295 	-0.529883 	254.899 	4.39119 	285.393 	182.048 	
4.1334 	0.0151534 	-0.514841 	-0.250773 	1.61825 	0.082733 	3.12341 	90.2818 	58.0946 	-0.534375 	255.448 	4.95384 	285.349 	182.616 	
4.2429 	0.0173953 	-0.516537 	-0.247644 	1.61795 	0.0912466 	3.11702 	90.2841 	58.6275 	-0.538867 	256.003 	5.49756 	285.338 	183.117 	
4.34602 	0.0196352 	-0.518187 	-0.244491 	1.61762 	0.0997598 	3.11062 	90.2742 	59.1348 	-0.544727 	256.498 	5.98354 	285.33 	183.634 	
4.44863 	0.0218729 	-0.519792 	-0.241316 	1.61727 	0.108273 	3.10424 	90.273 	59.6473 	-0.549707 	257.001 	6.49693 	285.324 	184.147 	
4.55183 	0.0238847 	-0.521197 	-0.23844 	1.61694 	0.115934 	3.09849 	90.2203 	60.2031 	-0.556641 	257.549 	7.0035 	285.324 	184.653 	
4.65489 	0.0261176 	-0.522715 	-0.235224 	1.61655 	0.124446 	3.09211 	90.193 	60.689 	-0.557227 	258.029 	7.53697 	285.324 	185.189 	
4.75775 	0.0283478 	-0.524187 	-0.231986 	1.61615 	0.132957 	3.08574 	90.1901 	61.1895 	-0.557324 	258.534 	8.04169 	285.324 	185.709 	
4.86095 	0.0305751 	-0.525614 	-0.228728 	1.61572 	0.141468 	3.07937 	90.1887 	61.6931 	-0.558301 	259.029 	8.56109 	285.324 	186.222 	
4.96412 	0.0330215 	-0.527129 	-0.225118 	1.61522 	0.150829 	3.07237 	90.1885 	62.2521 	-0.558398 	259.583 	9.09419 	285.324 	186.749 	
5.06674 	0.0350202 	-0.528328 	-0.222147 	1.6148 	0.158488 	3.06665 	90.1882 	62.7482 	-0.558691 	260.077 	9.61464 	285.324 	187.259 	
5.16982 	0.0372406 	-0.527563 	-0.221016 	1.61845 	0.166997 	3.06031 	90.1882 	62.979 	-0.558789 	260.573 	10.1209 	285.324 	187.768 	
5.273 	0.0394604 	-0.524494 	-0.222275 	1.62666 	0.175506 	3.05398 	90.1872 	63.0059 	-0.55957 	261.124 	10.6614 	285.324 	188.247 	
5.37598 	0.0418979 	-0.521086 	-0.223618 	1.63567 	0.184864 	3.04702 	90.1864 	63.0104 	-0.560059 	261.631 	11.1598 	285.324 	188.817 	
5.47909 	0.0441095 	-0.517959 	-0.2248 	1.64383 	0.193371 	3.0407 	90.1863 	63.0124 	-0.560059 	262.132 	11.647 	285.324 	189.324 	
5.5819 	0.0460965 	-0.515121 	-0.225832 	1.65116 	0.201027 	3.03503 	90.1855 	63.0128 	-0.560645 	262.678 	12.1531 	285.324 	189.804 	
5.68518 	0.0485201 	-0.511625 	-0.227051 	1.6601 	0.210382 	3.0281 	90.1854 	63.0143 	-0.560938 	263.186 	12.708 	285.324 	190.355 	
5.78786 	0.0507187 	-0.508418 	-0.228119 	1.6682 	0.218886 	3.02181 	90.1854 	63.0151 	-0.561035 	263.687 	13.2186 	285.324 	190.864 	
5.89118 	0.0526934 	-0.505511 	-0.229046 	1.67547 	0.226539 	3.01616 	90.1853 	63.0163 	-0.561133 	264.192 	13.7162 	285.324 	191.357 	
5.99389 	0.0551016 	-0.50193 	-0.230136 	1.68433 	0.235891 	3.00926 	90.1852 	63.0166 	-0.561426 	264.738 	14.2571 	285.324 	191.915 	
6.09716 	0.0572855 	-0.498649 	-0.231085 	1.69236 	0.244392 	3.003 	90.1852 	63.0166 	-0.561523 	265.249 	14.7561 	285.324 	192.42 	
6.19998 	0.0594642 	-0.495345 	-0.231993 	1.70037 	0.252891 	2.99675 	90.1851 	63.0166 	-0.561719 	265.746 	15.2703 	285.324 	192.912 	
6.30912 	0.0616376 	-0.492017 	-0.232861 	1.70835 	0.261389 	2.99051 	90.1851 	63.0173 	-0.561816 	266.306 	15.8149 	285.324 	193.455 	
6.41205 	0.0638053 	-0.488667 	-0.233686 	1.71631 	0.269885 	2.98428 	90.1851 	63.0171 	-0.561914 	266.849 	16.333 	285.324 	193.954 	
6.51461 	0.0657513 	-0.485633 	-0.234393 	1.72346 	0.277531 	2.97869 	90.1851 	63.0171 	-0.562012 	267.355 	16.8761 	285.324 	194.5 	
6.62114 	0.0681233 	-0.481901 	-0.235211 	1.73216 	0.286874 	2.97187 	90.1851 	63.017 	-0.562012 	267.852 	17.3564 	285.324 	195.008 	
