time (NSec) 	Kinova Tip Position (t_x) 	t_y 	t_z 	Kinova Tip Angle (theta_x) 	Kinova Tip Angle (theta_y) 	Kinova Tip Angle (theta_z) 	Kinova Joint Angle (j1) 	(j2) 	(j3) 	(j4) 	Kinova Joint Angle (j5) 	(j6) 	(j7)
0.0254922 	-0.00383036 	-0.485763 	-0.243215 	1.76538 	0.0102515 	-3.10831 	90.0546 	63.1162 	-0.618945 	268.864 	360.844 	285.236 	539.196 	
0.0455289 	-0.00383036 	-0.485763 	-0.243215 	1.76538 	0.0102515 	-3.10831 	90.0546 	63.1183 	-0.618848 	268.864 	360.844 	285.236 	539.196 	
0.0724697 	-0.00383036 	-0.485763 	-0.243215 	1.76538 	0.0102515 	-3.10831 	90.0546 	63.1193 	-0.619043 	268.863 	360.844 	285.236 	539.196 	
0.176667 	-0.00379601 	-0.488193 	-0.238679 	1.7654 	0.0103922 	-3.12259 	90.0546 	63.4512 	-0.619043 	269.147 	360.844 	285.235 	539.417 	
0.279528 	-0.00374454 	-0.491655 	-0.23161 	1.76539 	0.0106059 	-3.12532 	90.0546 	64.3618 	-0.619238 	270.012 	360.844 	285.235 	539.684 	
0.381661 	-0.00369848 	-0.494685 	-0.225127 	1.76539 	0.010801 	-3.12527 	90.0546 	65.3437 	-0.619141 	270.972 	360.844 	285.235 	539.694 	
0.484577 	-0.00365315 	-0.4976 	-0.218592 	1.76539 	0.010997 	-3.12523 	90.0546 	66.4519 	-0.619043 	272.08 	360.844 	285.235 	539.697 	
0.586537 	-0.00360854 	-0.500401 	-0.212008 	1.76539 	0.0111938 	-3.12519 	90.0546 	67.4494 	-0.619043 	273.076 	360.844 	285.235 	539.698 	
0.688574 	-0.00356469 	-0.503087 	-0.205375 	1.76539 	0.0113912 	-3.12515 	90.0546 	68.4577 	-0.619043 	274.073 	360.844 	285.235 	539.699 	
0.790505 	-0.00352159 	-0.505657 	-0.198697 	1.76539 	0.0115893 	-3.12512 	90.0546 	69.4718 	-0.619238 	275.063 	360.844 	285.235 	539.7 	
0.896582 	-0.00347926 	-0.508109 	-0.191975 	1.76539 	0.0117879 	-3.12509 	90.0545 	70.5461 	-0.619336 	276.182 	360.844 	285.235 	539.701 	
0.998535 	-0.00343772 	-0.510444 	-0.185211 	1.76539 	0.011987 	-3.12506 	90.0546 	71.4626 	-0.619141 	277.073 	360.844 	285.235 	539.701 	
1.10054 	-0.00339698 	-0.512661 	-0.178407 	1.76539 	0.0121866 	-3.12503 	90.0546 	72.4578 	-0.618945 	278.071 	360.844 	285.235 	539.702 	
1.20257 	-0.00335704 	-0.514758 	-0.171566 	1.76539 	0.0123866 	-3.12501 	90.0546 	73.4755 	-0.619043 	279.174 	360.844 	285.235 	539.702 	
1.30485 	-0.00331793 	-0.516736 	-0.164689 	1.76539 	0.012587 	-3.125 	90.0546 	74.655 	-0.619043 	280.269 	360.844 	285.235 	539.702 	
1.40753 	-0.00327965 	-0.518593 	-0.157779 	1.76539 	0.0127875 	-3.12498 	90.0546 	75.6716 	-0.619043 	281.27 	360.844 	285.235 	539.703 	
1.50987 	-0.00324222 	-0.520329 	-0.150837 	1.76539 	0.0129883 	-3.12497 	90.0546 	76.6668 	-0.619141 	282.277 	360.844 	285.235 	539.703 	
1.61281 	-0.00320565 	-0.521945 	-0.143866 	1.76539 	0.0131893 	-3.12497 	90.0546 	77.6899 	-0.619043 	283.269 	360.844 	285.235 	539.703 	
1.71564 	-0.00316995 	-0.523438 	-0.136868 	1.76539 	0.0133903 	-3.12496 	90.0546 	78.7842 	-0.619043 	284.374 	360.844 	285.235 	539.703 	
1.81891 	-0.00313512 	-0.524809 	-0.129845 	1.76539 	0.0135914 	-3.12496 	90.0546 	79.7901 	-0.619043 	285.379 	360.844 	285.235 	539.703 	
1.92157 	-0.00310118 	-0.526056 	-0.122799 	1.76539 	0.0137924 	-3.12497 	90.0546 	80.7825 	-0.618945 	286.374 	360.844 	285.235 	539.704 	
2.02392 	-0.00306815 	-0.527181 	-0.115732 	1.76539 	0.0139933 	-3.12497 	90.0547 	81.8746 	-0.619043 	287.478 	360.844 	285.235 	539.704 	
2.12702 	-0.00303602 	-0.528183 	-0.108647 	1.76539 	0.0141941 	-3.12498 	90.0546 	82.8727 	-0.619043 	288.47 	360.844 	285.235 	539.704 	
2.22975 	-0.00300482 	-0.52906 	-0.101545 	1.76539 	0.0143946 	-3.125 	90.0546 	83.8877 	-0.619336 	289.467 	360.844 	285.235 	539.704 	
2.3328 	-0.00297454 	-0.529814 	-0.0944292 	1.76539 	0.0145948 	-3.12502 	90.0545 	84.8873 	-0.619141 	290.472 	360.844 	285.235 	539.704 	
2.43577 	-0.0029452 	-0.530442 	-0.0873013 	1.76539 	0.0147948 	-3.12504 	90.0545 	85.9815 	-0.619629 	291.573 	360.844 	285.235 	539.704 	
2.53879 	-0.00291681 	-0.530947 	-0.0801635 	1.76539 	0.0149943 	-3.12506 	90.0545 	86.9823 	-0.619238 	292.582 	360.844 	285.235 	539.704 	
2.64164 	-0.00288938 	-0.531327 	-0.073018 	1.7654 	0.0151933 	-3.12509 	90.0546 	87.9772 	-0.619141 	293.573 	360.844 	285.235 	539.704 	
2.74489 	-0.00286292 	-0.531582 	-0.0658669 	1.7654 	0.0153918 	-3.12512 	90.0546 	89.0941 	-0.619238 	294.673 	360.844 	285.235 	539.704 	
2.84819 	-0.00283742 	-0.531713 	-0.0587124 	1.7654 	0.0155898 	-3.12516 	90.0544 	90.1075 	-0.619043 	295.68 	360.844 	285.235 	539.704 	
2.95083 	-0.00281291 	-0.531718 	-0.0515568 	1.7654 	0.015787 	-3.1252 	90.0545 	91.0901 	-0.619141 	296.683 	360.844 	285.235 	539.704 	
